,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,1,6,1.4462772,1,969,-1.8365707511287575e-06,easy,positivefb
1,1,6,1.3251146,1,1087,-2.5852335406782257e-07,easy,positivefb
2,1,4,1.9432115,1,762,3.2249931555889427e-06,hard,positivefb
3,1,6,1.5860728,1,463,-4.633396081664947e-06,easy,positivefb
4,1,6,1.0468703,1,598,3.3740761353439483e-06,medium,positivefb
5,1,4,1.5907243,1,617,1.306040816850277e-06,medium,positivefb
6,1,3,1.5266242,0,775,8.627201930049136e-06,hard,positivefb
7,1,6,1.6187956,1,1050,4.124185543242758e-06,medium,positivefb
8,1,4,1.2309415,1,1087,8.307300559490863e-06,hard,positivefb
9,1,6,0.9659229,1,405,8.633473129967117e-06,easy,positivefb
10,1,4,1.5954009,1,660,6.751814045169216e-06,hard,positivefb
11,1,5,1.1898344,1,795,-8.814151802262225e-06,medium,positivefb
12,1,3,1.6614691,0,963,-1.1433523079520167e-05,hard,positivefb
13,1,5,1.0993266,1,819,7.87576654815769e-06,easy,positivefb
14,1,5,1.243607,1,420,-1.2339105084328544e-05,hard,positivefb
15,1,4,1.7954822,1,1195,-2.9731834665579414e-07,hard,positivefb
16,1,4,1.6810031,1,1339,-4.448640111523022e-06,medium,positivefb
17,1,5,1.0918195,0,862,-1.1456890531363812e-05,medium,positivefb
18,1,6,0.6572234,1,684,2.2985435603596267e-07,easy,positivefb
19,1,5,1.160173,1,693,-9.455413428095186e-07,easy,positivefb
20,1,4,1.1689459,1,942,2.4753733934188815e-06,hard,positivefb
21,1,5,1.5330111,0,816,7.45020860990091e-06,hard,positivefb
22,1,4,1.3618845,1,1147,-2.385834503309643e-07,easy,positivefb
23,1,4,0.9293596,1,364,-3.063092870761306e-06,medium,positivefb
24,1,4,0.7355629,1,275,6.744584357635579e-06,easy,positivefb
25,1,5,1.8541316,1,417,5.906709972269645e-06,hard,positivefb
26,1,4,1.2966254,1,384,1.6749042027316243e-05,medium,positivefb
27,1,6,0.9125283,1,547,6.491715144149229e-06,medium,positivefb
28,1,5,1.0610381,0,322,-2.216778239099912e-06,hard,positivefb
29,1,6,0.7751339,1,457,1.8347636971267922e-05,easy,positivefb
30,1,6,0.6596043,1,399,5.852159570708268e-07,easy,positivefb
31,1,6,1.3618434,0,796,-5.0539944755881236e-06,hard,positivefb
32,1,4,1.4680496,1,884,1.214724005744999e-05,easy,positivefb
33,1,5,1.1743806,1,886,7.208687706591323e-06,medium,positivefb
34,1,5,1.1247193,0,424,-5.310025073097603e-06,hard,positivefb
