,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,19,2,0.8229785,1,15504,-8.814419797030556e-06,hard,negativefb,-1.9960549735907075e-06
1,19,5,1.4289591,0,1332,-5.592434875642596e-06,hard,negativefb,4.502532284471413e-06
2,19,6,0.9611801,1,571,4.758443383515489e-06,medium,negativefb,-5.017135346350277e-06
3,19,6,2.4076400001,1,230,3.639181268825046e-06,medium,negativefb,-4.90823417326008e-06
4,19,2,1.3449334998,1,1083,1.6982181286256658e-05,hard,negativefb,-8.250261985417078e-06
5,19,4,0.7434295001,0,3108,1.0869676411180907e-05,hard,negativefb,-7.123137939990296e-06
6,19,5,0.5030348001,1,1240,1.5008937266206056e-05,medium,negativefb,-2.0968277222445178e-05
7,19,3,1.3695224,1,1601,-4.020620288139645e-07,hard,negativefb,1.4348633682797779e-05
8,19,5,1.7253292999,1,623,6.959682575532888e-06,hard,negativefb,2.6113781249534727e-06
9,19,6,0.8018504002,1,904,1.3442105908398243e-05,hard,negativefb,-9.991695765868034e-06
10,19,6,0.8050722999,1,712,-4.035896796744753e-06,easy,negativefb,-3.645655762502586e-06
11,19,5,0.7954942,1,1167,5.623200169223382e-07,medium,negativefb,-1.0976675911279828e-05
12,19,5,0.8908299999,1,1072,1.116540215199909e-05,hard,negativefb,-2.9467719243400173e-05
13,19,5,0.7532938002,1,728,5.308084896819414e-06,medium,negativefb,-8.310867628918906e-06
14,19,5,0.7630328001,1,559,4.525538282786283e-06,easy,negativefb,-1.6672139379946582e-06
15,19,4,1.1325466,0,1264,4.904026578290431e-06,medium,negativefb,-5.440023771775897e-06
16,19,5,1.1290376,0,675,1.1586172677244772e-05,medium,negativefb,5.1645869258652285e-06
17,19,4,1.4326426,0,1602,8.18695197472643e-06,medium,negativefb,-7.686535904233332e-06
18,19,2,2.7066557999,1,984,-2.169399414282021e-06,hard,negativefb,-9.896794652910926e-06
19,19,6,0.8577343,1,738,2.1018802627305514e-05,hard,negativefb,-1.1293417815655902e-05
20,19,5,2.1865699999,0,496,7.238599775136764e-06,medium,negativefb,-5.6968475027240564e-06
21,19,6,0.8786797,1,603,-9.625600049763392e-07,easy,negativefb,-2.2616271446051033e-06
22,19,6,0.8734122,1,307,7.733321924970079e-06,easy,negativefb,-7.659803860479122e-06
23,19,6,0.9680182999,1,387,1.055058090596593e-05,easy,negativefb,-1.119770352048019e-05
24,19,4,1.7216483001,0,2130,2.7108588725865483e-06,medium,negativefb,-4.2224371056644565e-06
25,19,5,0.7807572,1,689,2.1786579056434185e-05,easy,negativefb,-1.526362870590955e-05
26,19,6,0.7248992,1,362,1.9711003437523732e-05,medium,negativefb,-7.410943846785027e-06
27,19,6,2.1279372,1,267,-5.814306778661658e-06,hard,negativefb,1.5830192028667753e-06
28,19,5,0.9072235001,1,448,3.8109465528992035e-06,medium,negativefb,1.1221863462119576e-06
29,19,6,1.1272638999,1,516,8.58510928245565e-06,medium,negativefb,-1.8104251273352526e-05
30,19,6,0.9763672999,1,987,9.726494595154842e-06,easy,negativefb,-3.705397802301256e-06
31,19,6,0.8539863999,1,372,5.5652167780278515e-06,medium,negativefb,-9.72312304891287e-06
32,19,6,2.2537315001,0,303,-7.813275896302833e-06,medium,negativefb,-3.868089868389292e-06
33,19,6,0.8899852,1,290,2.0149980486341975e-05,easy,negativefb,-1.855998849443081e-05
34,19,5,0.9685287999,1,1059,-1.6070276673282815e-06,easy,negativefb,-6.966626368637936e-07
35,19,6,1.0331566001,1,402,1.0885138758375458e-05,easy,negativefb,-3.414190077874206e-05
36,19,5,1.0903693,1,617,4.469554836008679e-06,hard,negativefb,-1.2661736757003133e-05
37,19,3,2.7754410999,0,661,1.2495150674377595e-05,medium,negativefb,-7.547200717196578e-06
38,19,3,1.3983457,1,661,1.1388342141873525e-06,medium,negativefb,-1.3658746871851119e-05
39,19,5,1.1506232,1,432,1.094462041242606e-05,hard,negativefb,-5.9711270892313906e-06
40,19,2,3.2960807001,0,1501,5.597388796193673e-06,hard,negativefb,-7.433693227488655e-06
41,19,6,1.0075470998,1,604,1.0329145525649357e-05,easy,negativefb,-7.778527579165585e-06
42,19,1,2.6715823999,0,1885,1.13506983603773e-05,hard,negativefb,-1.5340577677335115e-06
43,19,5,1.1416724999,0,871,-3.6848917480847548e-06,hard,negativefb,-4.1170488009611974e-06
