,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,31,5,2.5062965001,1,5324,1.3137260485814227e-06,easy,hard,-2.7070466433898393e-06
1,31,6,3.0977534,1,750,-1.8445696828206235e-06,easy,hard,4.898038439088426e-06
2,31,4,4.8767839996,1,704,4.5677334861261664e-06,easy,hard,1.8333268184193384e-06
3,31,1,2.7912003999,1,503,4.900561365283818e-06,medium,hard,1.0290603177781197e-05
4,31,6,1.8745647999,1,877,2.9098815769851425e-06,easy,hard,3.4285290294245673e-06
5,31,4,7.7814286002,1,423,2.664315765674897e-06,easy,hard,4.112897989278757e-06
6,31,6,1.8368480001,1,368,9.963420814326462e-06,easy,hard,2.672861898214728e-06
7,31,6,1.4126154999,0,811,1.7625126352245563e-06,medium,hard,3.127708734956558e-06
8,31,6,1.5623056996,1,399,2.5470314425978865e-06,easy,hard,6.869326536463551e-06
9,31,6,1.8825156,1,519,1.211912740035396e-06,medium,hard,-7.677293986000639e-09
10,31,4,3.1592168999,0,1304,1.4371708555657585e-06,hard,hard,7.272075517284599e-06
11,31,3,6.1380101,1,498,4.064245685315792e-06,easy,hard,2.5915449200463733e-06
12,31,4,3.9129403001,1,596,1.191916746063319e-06,hard,hard,5.259636804695598e-06
13,31,5,1.8660562001,1,980,6.055345790415189e-06,hard,hard,6.410964434939112e-06
14,31,6,1.8005006998,1,393,2.363794779910849e-07,hard,hard,3.44220869582656e-06
15,31,5,2.5021694,1,312,8.33580833083546e-08,hard,hard,9.029895831351966e-06
16,31,5,1.9957266999,1,350,-3.3063707936340872e-06,hard,hard,5.990097068539931e-06
17,31,4,0.9767491003,1,811,-3.0172917607911327e-06,hard,hard,2.9586403750941163e-07
18,31,6,1.2510519996,1,476,3.936550867451331e-06,easy,hard,3.988310767097831e-06
19,31,6,1.2048009001,1,444,4.60691404459875e-06,medium,hard,8.576210958784633e-06
20,31,6,0.9853834002,1,838,4.6875667209540185e-06,hard,hard,4.520995578530606e-06
21,31,4,1.2923546,0,499,1.0848556302627448e-07,hard,hard,3.543103719552786e-06
22,31,5,0.8118308,1,1155,-1.1027515539861056e-06,medium,hard,9.419139501871581e-06
23,31,6,1.0237181,1,527,-7.369753105950994e-07,easy,hard,1.1488112373305798e-05
24,31,4,2.3180442001,1,816,-3.5203669072900145e-06,medium,hard,7.100704946230846e-06
25,31,5,2.1151419003,1,845,9.310194566916346e-07,medium,hard,3.524053496083193e-06
26,31,5,1.5353363003,1,1170,4.60121452231264e-06,medium,hard,4.6679285930344044e-06
27,31,5,2.7452572999,1,984,4.765833681510636e-06,hard,hard,-5.906835234468836e-06
28,31,5,1.7128198999,1,272,-2.5664461872808757e-06,easy,hard,1.0721480852673676e-06
29,31,5,1.2429228998,1,646,6.606373816863797e-06,hard,hard,1.0912095821249635e-06
30,31,6,1.3942669998,1,440,2.8823011343251743e-06,medium,hard,5.518070081911346e-06
