,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,12,5,1.6180289,1,6996,-5.340808081399118e-06,hard,easy,4.485642629322427e-06
1,12,6,1.5374999,1,1728,8.144035215761219e-06,easy,easy,2.1611557977169274e-07
2,12,5,1.7946529001,1,1942,1.850567551162042e-05,easy,easy,-3.357673712657565e-06
3,12,5,1.6496973,1,1466,3.7615157760532237e-06,medium,easy,-2.8169567293445492e-06
4,12,5,1.1127926001,1,1414,8.075705070292594e-06,medium,easy,7.535971725279836e-06
5,12,2,1.4977818,1,1365,9.816203667746141e-06,hard,easy,-7.713696576929795e-06
6,12,5,3.3775425,0,1482,1.1897891525378918e-05,hard,easy,-7.347562508917989e-06
7,12,6,1.5309028999,0,997,4.636710123428773e-06,hard,easy,9.796779881334192e-06
8,12,5,2.2486514001,0,1638,1.2092050278106306e-05,hard,easy,2.37086885219595e-07
9,12,5,1.4872844,1,960,7.157747119226424e-06,medium,easy,-5.024834994100391e-06
10,12,6,0.9859847,1,949,2.084535606086021e-05,easy,easy,-6.640681605491836e-06
11,12,4,2.6129004001,1,874,7.924534374763264e-06,medium,easy,-8.021151496225691e-07
12,12,5,2.1048259999,1,1062,1.3134317484802154e-05,easy,easy,4.798639321791505e-07
13,12,6,0.9008237,1,1066,5.512934315546246e-06,medium,easy,3.97930207208819e-06
14,12,5,1.8961244,0,1143,8.979022408438686e-06,hard,easy,-2.180946536365495e-06
15,12,6,1.1361685999,0,1023,1.7153088675840806e-05,hard,easy,-4.963757160300176e-06
16,12,6,0.8069475,1,1017,1.464388846429939e-05,hard,easy,-1.1446340199587795e-06
17,12,6,1.2461172,1,898,1.9265234102791534e-05,medium,easy,-8.731295427416304e-07
18,12,5,1.7326041,1,891,3.2061489580034984e-05,medium,easy,-1.1452281530070693e-05
19,12,6,1.5708178,1,716,1.0149409330749198e-05,medium,easy,-4.322047456996848e-06
20,12,6,0.8797973001,1,831,1.8365708911998753e-05,easy,easy,4.991534506197089e-06
21,12,5,1.4992619,1,774,1.3301829994927683e-05,hard,easy,-2.5093143292220874e-06
22,12,4,1.6547337,1,792,1.613021489788477e-05,easy,easy,-7.338168136563977e-06
23,12,5,2.2791933001,0,1432,1.3594856759698928e-05,hard,easy,1.2839271474540313e-06
24,12,6,0.9986002001,1,697,1.4970559396938231e-05,easy,easy,-1.2780057917910407e-06
25,12,6,1.0919004,1,812,1.1818060436846213e-05,medium,easy,1.966558884475914e-06
26,12,5,1.4666613,1,788,1.0018954650281635e-05,hard,easy,-4.569529870330079e-09
27,12,6,0.8749210001,1,789,2.1493294344051776e-05,medium,easy,-1.9819671655166126e-06
28,12,6,0.8229231,1,745,7.072309032693811e-06,easy,easy,-2.4434238341728604e-06
29,12,6,1.1840353,1,687,8.593298958982853e-06,hard,easy,4.664375943064693e-07
30,12,5,2.0097235,0,918,1.6193453938170228e-05,hard,easy,-1.0578260153006087e-05
31,12,6,1.0118002,1,940,9.343702762137173e-06,hard,easy,-1.4236251280309657e-07
32,12,5,1.3554511,1,643,6.7822135170864235e-06,medium,easy,9.44405139549262e-06
33,12,6,1.2864886001,1,665,2.5102482600105733e-05,hard,easy,-9.264990597087839e-06
34,12,5,1.0815309001,1,1046,3.1874822848865408e-06,medium,easy,-1.6319566992089113e-06
35,12,6,1.3985372999,1,584,6.851852627371267e-06,easy,easy,4.6910329785390147e-07
36,12,3,4.4460151,1,1410,3.4397415282518603e-06,medium,easy,-2.0954721133147516e-06
37,12,6,0.7529238,1,607,2.6851602828565516e-05,easy,easy,-6.860347617024939e-06
38,12,6,1.6398073001,0,1128,8.939140446448491e-06,hard,easy,1.5240592347149471e-06
39,12,4,2.4352419999,1,1005,6.0197057734572816e-06,hard,easy,-3.8922086713475245e-06
40,12,6,0.9406927,1,738,1.077929395658929e-05,easy,easy,-9.052497681864299e-07
41,12,5,1.6895673,1,740,1.3490268725937803e-05,easy,easy,-7.3667451760551974e-06
42,12,4,2.2898277,1,1902,2.1108050902900417e-05,medium,easy,-1.0729825560776743e-05
43,12,6,1.6621102,1,707,7.12324557060172e-06,easy,easy,2.8465093896049546e-06
44,12,5,1.5059889,1,749,1.817426992400651e-05,hard,easy,-4.565590830940669e-06
45,12,5,1.2616893001,1,1184,1.0248099350198521e-05,medium,easy,6.364084135006302e-06
46,12,5,1.2623262,1,737,2.018801575023766e-05,hard,easy,-7.3845009299998416e-06
47,12,6,1.2414004999,1,677,1.2349481947713493e-05,easy,easy,-2.4912441280011426e-06
48,12,5,1.2862402,1,570,3.734220157387952e-06,hard,easy,5.040918990659443e-06
49,12,6,0.9419448,1,801,1.7744999569473906e-05,easy,easy,3.039248245602022e-07
50,12,6,0.9114972,1,719,9.604994283616272e-06,medium,easy,-2.0198891643679545e-06
51,12,2,3.1438299,0,1182,3.482636832178478e-06,medium,easy,-8.031460884665652e-06
52,12,4,4.5918713,1,2954,1.970033681557011e-06,medium,easy,5.8794454278036095e-06
53,12,4,1.2874667001,1,755,1.751065140493144e-05,hard,easy,-6.723456640000532e-06
54,12,5,1.2578745,1,582,1.0608035410474075e-05,medium,easy,2.284416786357939e-06
55,12,5,1.4104733,1,745,9.765125587505709e-06,medium,easy,-8.282551647825743e-06
56,12,5,1.1816097,0,895,1.3543770215028438e-05,easy,easy,-9.585071553804935e-06
57,12,5,1.2846063001,1,539,1.9152778611558902e-06,medium,easy,8.003045629634573e-07
58,12,5,0.7905705001,1,665,2.3477743417468707e-05,hard,easy,-2.4894064929934156e-06
59,12,4,1.5125300001,1,997,7.5259304144609e-06,medium,easy,-2.2272382007422797e-06
60,12,6,0.8318689,1,671,2.2639021492195804e-05,easy,easy,-1.4495863079157265e-05
61,12,5,1.3561777,1,1074,1.5093193793262388e-06,easy,easy,2.592827318533579e-06
62,12,5,1.0564065001,1,1023,1.4182521398712709e-05,hard,easy,-1.5320118438660787e-06
63,12,6,0.9233782999,1,740,5.703738902337506e-06,hard,easy,7.1616416826024644e-06
64,12,6,0.721725,1,717,2.305659333292441e-05,medium,easy,-5.2266453607887345e-06
65,12,6,0.7949224999,1,772,3.659214988674501e-06,medium,easy,2.5951314248269477e-06
66,12,6,0.6744405,0,829,2.635651353758299e-06,hard,easy,4.812762662700955e-06
67,12,5,1.0339474999,1,758,2.632777879131685e-05,hard,easy,-1.5611156181864655e-05
68,12,6,0.836491,0,697,2.7943971964930713e-06,hard,easy,2.480598933636504e-06
