,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,8,6,1.7330076001,1,3540,-2.6989744239904512e-05,hard,positivefb
1,8,6,0.6528473999,1,1503,-5.108852009545721e-06,easy,positivefb
2,8,6,0.4619924,1,692,4.776910859947008e-06,medium,positivefb
3,8,6,0.5418327,1,725,-1.0124489352834638e-06,easy,positivefb
4,8,5,0.7719277999,0,2317,5.747917727762886e-08,hard,positivefb
5,8,6,0.495687,1,913,1.500170024032349e-05,easy,positivefb
6,8,1,0.9188494,1,666,3.4629394978707015e-07,hard,positivefb
7,8,6,1.0306224,0,4441,-7.330971391364238e-07,hard,positivefb
8,8,6,0.5731581999,1,915,1.1535525924154628e-05,easy,positivefb
9,8,6,0.9837475,1,715,-4.104151236802273e-09,easy,positivefb
10,8,4,1.3811380999,0,3772,-4.564372211610871e-06,hard,positivefb
11,8,4,0.6868184,1,2459,-2.87801906939402e-06,medium,positivefb
12,8,6,0.7395902,1,1053,1.1234605456767954e-05,easy,positivefb
13,8,3,0.9927942,0,2208,-2.0768165921949396e-05,medium,positivefb
14,8,5,0.7565928,1,1244,1.4825257851487633e-05,hard,positivefb
15,8,6,0.4366062999,1,1004,-1.3346065120039392e-05,hard,positivefb
16,8,4,0.8247381999,1,2613,-8.920895368807508e-06,hard,positivefb
17,8,4,1.2645267,0,1726,-9.518472661324011e-07,hard,positivefb
18,8,3,0.6545361001,0,1954,-3.4284861290530775e-06,medium,positivefb
19,8,6,0.7789555,1,1255,9.36554337808971e-06,easy,positivefb
20,8,5,0.9247681,1,1477,-2.0616189803174003e-06,medium,positivefb
21,8,4,0.4523607,1,1210,2.951844191270901e-06,medium,positivefb
22,8,5,0.5500762,1,1622,2.527587788817299e-06,medium,positivefb
23,8,6,0.6604137,1,925,-2.3815127619188728e-06,easy,positivefb
24,8,4,0.7052450001,0,1007,5.2954955851463986e-06,easy,positivefb
25,8,6,0.590687,1,627,-8.942100284493127e-06,medium,positivefb
26,8,2,0.471469,0,2874,4.089689063919063e-06,medium,positivefb
27,8,6,0.7035753999,1,782,3.948245960917234e-07,hard,positivefb
28,8,6,0.4819898,1,671,-2.0783319060194737e-06,easy,positivefb
29,8,6,0.3787257,1,727,3.843818678283621e-06,hard,positivefb
30,8,2,0.3697942999,0,1616,1.1757155405992497e-05,hard,positivefb
31,8,2,0.4475090001,0,848,7.453509213099901e-06,medium,positivefb
32,8,6,0.6666751001,1,1031,9.412567874744526e-06,medium,positivefb
33,8,5,0.5832149,1,1065,1.444671998855569e-06,hard,positivefb
34,8,6,0.4500016,1,687,1.6810982793530174e-06,medium,positivefb
35,8,6,0.5436101001,1,754,1.6034279310754988e-07,medium,positivefb
36,8,6,0.4597404,1,613,8.031066108069544e-06,medium,positivefb
37,8,6,0.5852951001,1,696,5.793344375248189e-06,easy,positivefb
38,8,6,0.4867134,1,603,3.3795462652714288e-06,easy,positivefb
39,8,6,0.5434265001,1,689,3.4398105164487743e-06,medium,positivefb
40,8,6,0.5580541,1,819,-6.66314773754535e-07,easy,positivefb
41,8,3,0.3796299,0,2438,1.371623540574518e-06,hard,positivefb
42,8,1,0.4427933,0,1062,1.0280691392618386e-05,easy,positivefb
43,8,6,0.785114,1,768,5.690516347205098e-06,easy,positivefb
44,8,4,0.5975802001,1,955,7.086548214421473e-06,hard,positivefb
45,8,6,0.708721,1,861,-5.749642782173491e-06,medium,positivefb
46,8,6,0.5170626,1,537,-2.4922191899001365e-06,medium,positivefb
47,8,6,0.5402949,1,577,4.3227125523582855e-06,easy,positivefb
48,8,6,0.4335012001,1,443,-4.0627655061072594e-07,easy,positivefb
49,8,4,0.4165603999,1,1964,6.606036742917247e-06,hard,positivefb
50,8,4,0.6159204,1,1655,8.060520037831532e-06,hard,positivefb
51,8,5,0.4399615,1,647,-5.065652389190888e-06,medium,positivefb
52,8,5,0.4637610001,1,1549,5.811583313879903e-06,easy,positivefb
53,8,6,0.7943348001,1,963,6.292239920096289e-06,hard,positivefb
54,8,5,0.4841123,1,1019,3.4086963682750244e-06,hard,positivefb
55,8,6,0.4901779001,1,643,7.560528527454023e-06,medium,positivefb
56,8,3,0.5348865,0,1527,-8.962461039023297e-06,hard,positivefb
57,8,4,0.733938,1,1920,1.1678963208640963e-06,medium,positivefb
