,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,23,6,1.5169542001,1,753,5.425101980711817e-06,easy,hard
1,23,6,1.6656462001,1,522,1.130484419934489e-05,easy,hard
2,23,6,1.3027740999,1,644,5.767185733055771e-06,hard,hard
3,23,6,1.3014167,1,617,2.2860018983623746e-05,easy,hard
4,23,6,1.3281706001,1,894,9.999633759625163e-06,medium,hard
5,23,6,2.0026650999,1,494,3.354289407988531e-06,easy,hard
6,23,6,1.3481608999,1,647,1.4983110511082153e-05,medium,hard
7,23,6,1.0608828999,0,742,1.9043204774999448e-05,hard,hard
8,23,6,1.0380267,1,610,6.658391163125043e-06,easy,hard
9,23,6,0.9158604001,1,647,1.675682676896692e-05,easy,hard
10,23,6,1.0897434,1,410,5.562121344272686e-06,medium,hard
11,23,5,1.4832440999,1,850,-6.47809127329854e-06,easy,hard
12,23,6,1.2014138999,1,587,9.555289060137304e-06,hard,hard
13,23,6,1.1816171999,1,429,7.12473995837304e-06,hard,hard
14,23,6,1.7281942,1,779,1.6561195298588812e-06,medium,hard
15,23,6,0.8817761,1,508,6.4468987936224526e-06,easy,hard
16,23,6,1.3013522001,1,567,2.589453529152091e-06,medium,hard
17,23,6,0.8378252999,1,545,-3.5999744825619655e-06,medium,hard
18,23,6,1.0059042999,1,434,2.320752509844453e-05,medium,hard
19,23,6,0.7914483,1,436,1.2616264655575784e-05,medium,hard
20,23,5,1.4890117999,1,763,-1.0612622820963542e-05,medium,hard
21,23,6,0.9914436,1,480,6.232353067689437e-06,easy,hard
22,23,6,1.8798203,1,322,5.458399348981147e-06,medium,hard
23,23,5,1.5389874,1,650,5.073624352734131e-06,easy,hard
24,23,6,0.8906697999,1,544,1.2188529939429227e-06,easy,hard
25,23,6,1.1325482,1,528,2.4428301671404385e-06,hard,hard
26,23,6,1.1682014,1,782,-1.075677258493392e-06,easy,hard
27,23,6,0.8770518999,1,638,8.826607819853556e-06,hard,hard
28,23,6,0.6861261001,1,541,-6.337472110844966e-06,hard,hard
29,23,5,1.1499130002,1,605,4.833555033734828e-06,hard,hard
30,23,6,0.7570343001,1,439,1.0156881697881466e-05,medium,hard
31,23,6,0.7520446002,1,284,3.495049640362817e-06,medium,hard
32,23,6,0.7737083,1,358,-8.942036017154596e-06,easy,hard
33,23,6,0.7621319001,1,1004,2.2840351677801676e-07,easy,hard
34,23,6,0.8841999001,1,453,-1.2914541432368978e-06,medium,hard
35,23,4,1.2926313998,1,577,-6.608839567390743e-08,medium,hard
36,23,5,2.0302896998,1,412,5.787149970639026e-06,hard,hard
37,23,6,1.0674635,1,430,5.853100426136813e-06,easy,hard
38,23,5,1.162301,0,464,9.330836789300836e-06,hard,hard
39,23,6,0.9585380999,1,283,-5.9913526526186726e-06,easy,hard
40,23,6,0.9251483001,1,686,-1.0231056475336168e-05,medium,hard
41,23,6,0.7863296999,1,344,1.0477974693259255e-05,medium,hard
42,23,5,0.9632977999,1,630,1.6047953922061734e-06,medium,hard
43,23,3,1.5439661001,1,979,8.647592883904798e-06,easy,hard
44,23,6,0.8554608999,1,339,-4.041614957256757e-08,easy,hard
45,23,4,2.0521529999,1,391,1.1933900226474131e-05,easy,hard
46,23,6,0.7281204001,1,690,1.3009142720277926e-05,easy,hard
47,23,6,0.9847550001,1,418,5.029797452370279e-06,medium,hard
48,23,6,1.2067604,1,628,-1.0881196522881987e-05,easy,hard
49,23,6,0.8802268999,1,347,-6.061055892283864e-07,medium,hard
50,23,6,0.9120853001,1,427,-1.385695982460814e-06,medium,hard
51,23,4,1.347849,1,632,5.4132438739547615e-06,hard,hard
52,23,5,0.8451395,1,543,9.587130840179951e-06,medium,hard
53,23,6,0.7827971,1,381,-6.563417118471764e-06,easy,hard
54,23,6,0.7269564001,1,292,4.273652456352403e-06,hard,hard
55,23,5,1.8715028001,1,588,2.0031926362698503e-05,easy,hard
56,23,3,1.3868364,1,721,6.8535803434197e-06,easy,hard
57,23,6,1.3658436001,1,601,-9.867989147827227e-07,easy,hard
58,23,6,0.8246392,1,371,-3.992451872248477e-06,easy,hard
59,23,6,0.7419457,1,521,6.570321948447699e-06,medium,hard
60,23,6,0.8606926999,1,384,1.5020355569964913e-06,medium,hard
61,23,6,1.4384391,1,365,3.3196434223858656e-06,hard,hard
62,23,6,0.8759579002,1,639,2.556275739382732e-06,medium,hard
63,23,6,0.7689178002,1,396,1.2809076162781198e-05,easy,hard
64,23,6,1.3108703999,0,875,-2.3702567153111061e-07,easy,hard
65,23,6,0.9996585001,1,451,4.922344516327832e-06,medium,hard
66,23,5,1.6744756,1,705,-1.3576760499864065e-05,medium,hard
67,23,6,0.7032208999,1,475,3.902513049310748e-06,medium,hard
68,23,6,0.7164538002,1,446,-2.4363264619964013e-06,hard,hard
69,23,6,0.8125504998,1,271,5.476486099826035e-06,easy,hard
70,23,5,0.9549149,0,385,7.7741647318286e-07,hard,hard
71,23,4,1.3571332002,1,526,-2.4512870335611238e-06,hard,hard
72,23,6,1.2502082998,1,362,3.46241045800128e-07,medium,hard
73,23,3,1.1990933002,0,653,5.477314627363371e-06,hard,hard
74,23,6,0.7198722002,1,299,1.2764355637214837e-05,hard,hard
75,23,6,0.7303934,1,341,2.803679723366262e-06,hard,hard
76,23,4,1.9516304,1,380,-3.798726062486711e-06,hard,hard
77,23,6,0.8485473001,1,430,5.308205457374359e-06,easy,hard
78,23,5,1.0109491001,0,839,-6.6922007248192585e-06,hard,hard
79,23,6,1.4362667999,1,430,2.320889454491223e-05,medium,hard
80,23,6,1.2777718001,1,302,-1.1896578078315191e-05,medium,hard
81,23,6,0.7406914001,1,375,9.627422292364847e-06,hard,hard
82,23,4,1.2495288001,1,601,1.147824497892572e-05,hard,hard
83,23,4,1.2097698001,0,397,3.233804126042674e-06,hard,hard
84,23,6,0.8960706999,1,524,-5.089100821330572e-06,easy,hard
85,23,6,0.6679002999,1,304,-1.0825702540294232e-05,hard,hard
86,23,6,0.9400223,1,385,-1.1384670611914468e-06,easy,hard
87,23,6,0.6755261999,1,313,1.168600429397234e-05,easy,hard
88,23,4,0.8958729999,0,700,-6.943848709879716e-06,medium,hard
89,23,6,0.7132518999,1,583,1.0745807049422936e-05,medium,hard
