,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,26,6,1.2351440997,1,650,-9.568592690628791e-06,hard,negativefb
1,26,6,1.2153552002,1,913,-2.1459887146847993e-05,easy,negativefb
2,26,6,1.1485564001,1,387,-7.078844260225505e-06,medium,negativefb
3,26,6,1.5389104998,1,526,-7.782008261925553e-06,hard,negativefb
4,26,6,1.2367819003,1,569,-7.4408870589408965e-06,medium,negativefb
5,26,6,1.2435707999,1,549,-3.3702915307875748e-06,medium,negativefb
6,26,6,0.9787030001,1,699,-1.2259665468269056e-05,easy,negativefb
7,26,6,0.8632417,1,607,-1.257445410162148e-06,medium,negativefb
8,26,6,1.2793227001,1,560,-1.0240675438235092e-05,easy,negativefb
9,26,5,1.0956373001,1,1238,-2.0034179024345568e-05,easy,negativefb
10,26,5,1.3301176997,1,906,-6.3019526819277126e-06,medium,negativefb
11,26,6,1.2259988999,1,293,-1.097966038254228e-05,hard,negativefb
12,26,5,1.2134726997,1,685,5.515007873298007e-07,hard,negativefb
13,26,6,1.0417227,1,525,-1.1115079435606406e-05,easy,negativefb
14,26,5,1.2650100002,1,733,-2.0890608692132605e-05,medium,negativefb
15,26,6,0.8808399001,1,287,-4.366732501327299e-06,hard,negativefb
16,26,5,1.9396436,1,394,-6.101067275874345e-06,hard,negativefb
17,26,6,0.9019578001,1,425,-1.1134548510460434e-05,hard,negativefb
18,26,6,1.0218121,1,323,-9.211898278550612e-07,hard,negativefb
19,26,6,0.8905754001,1,405,-1.188895999268891e-06,hard,negativefb
20,26,6,1.7111038999,1,355,-2.4648037291721315e-06,easy,negativefb
21,26,6,0.9748769999,1,463,-3.077661092397981e-06,medium,negativefb
22,26,4,1.7081917999,1,779,-1.804118982310324e-06,easy,negativefb
23,26,6,1.2116238,1,532,-3.383450287133081e-06,easy,negativefb
24,26,6,1.0306754,1,281,-5.20706098647964e-06,easy,negativefb
25,26,5,1.1952888002,1,368,-8.194620404214826e-06,medium,negativefb
26,26,4,1.5564832003,0,813,-7.762446618250957e-06,hard,negativefb
27,26,5,1.3835062999,1,424,-6.779551175799653e-06,easy,negativefb
28,26,5,1.0708388002,1,256,2.528695246811095e-06,hard,negativefb
29,26,6,1.6408050996,1,615,-8.330429514335245e-06,medium,negativefb
30,26,6,1.1552762999,1,301,1.1136067268060666e-05,medium,negativefb
31,26,5,2.1462874003,1,318,4.677528279527266e-06,hard,negativefb
32,26,6,1.2080938001,0,276,-1.4321654380319716e-05,hard,negativefb
33,26,6,1.2366654999,1,267,-1.1761597867798232e-05,easy,negativefb
