,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,29,5,1.3637909,1,921,1.2930060818756201e-05,easy,easy
1,29,4,1.9419263001,1,1178,4.9376373884452e-07,medium,easy
2,29,5,1.2453761003,1,1194,-6.647996678013171e-06,easy,easy
3,29,4,1.4301842996,1,2358,9.008577746906628e-06,medium,easy
4,29,5,0.9152044002,1,809,-2.5077893416615388e-05,hard,easy
5,29,6,1.0702081998,1,929,-1.5710537047935688e-05,easy,easy
6,29,5,1.0508940998,1,854,-1.2440532690541562e-07,medium,easy
7,29,5,1.6532117999,1,1015,1.6468381626558294e-06,easy,easy
8,29,6,1.3513270002,1,1017,-6.328368874381626e-06,easy,easy
9,29,5,1.9385230001,1,1080,1.0053218219003689e-05,hard,easy
10,29,5,1.2941682003,1,1215,4.218137720139283e-06,medium,easy
11,29,5,1.645246,0,783,1.0532323719877703e-05,hard,easy
12,29,5,1.2809977001,1,1168,-5.758075270912282e-06,hard,easy
13,29,4,1.7743476997,1,749,-3.871691312500536e-06,medium,easy
14,29,5,1.0135973999,1,1274,-6.350350348709959e-06,easy,easy
15,29,4,1.7014520997,1,936,1.0278362223296675e-05,medium,easy
16,29,5,1.4092740999,1,733,8.054748823401666e-07,easy,easy
17,29,5,1.1769230999,1,1124,-5.436239145781754e-06,easy,easy
18,29,4,1.6354224002,1,921,-9.718258156481933e-07,medium,easy
19,29,5,1.8052514,1,782,5.30172158993711e-07,hard,easy
20,29,5,1.3275496,1,589,1.9355219176557573e-05,medium,easy
21,29,4,1.4870925001,1,1517,3.588913072010226e-06,medium,easy
22,29,6,1.0290278001,1,1209,-4.504372607093596e-05,medium,easy
23,29,5,1.7346921,0,902,6.25561025072166e-05,hard,easy
24,29,5,1.4073724002,1,1101,1.0507989464829362e-05,easy,easy
25,29,5,1.1113878,1,1320,-6.7636327395988085e-06,medium,easy
26,29,5,1.0553814997,1,477,1.2024462544038642e-07,easy,easy
27,29,3,1.8083863002,0,1534,1.696140761822476e-05,easy,easy
28,29,5,1.2768498999,1,640,2.6013739550133355e-06,medium,easy
29,29,4,1.9711139002,0,1484,8.19388171502751e-06,hard,easy
30,29,5,1.5805115998,1,899,1.71814226894432e-06,easy,easy
31,29,4,1.727122,1,1756,1.1316052044287686e-06,hard,easy
32,29,4,1.5384252002,1,700,-1.0521840249057166e-05,hard,easy
33,29,5,1.0063093998,1,459,1.4871449865808852e-05,medium,easy
34,29,5,1.0668241,1,539,-1.1453041293750705e-05,easy,easy
35,29,5,1.3543985002,1,658,2.3028161093768e-05,hard,easy
36,29,5,1.0526178996,1,625,-2.6462571889374732e-05,medium,easy
37,29,5,1.3010906,1,550,-1.7386306029362542e-05,medium,easy
38,29,4,1.8463738002,1,1177,3.837446580855794e-05,easy,easy
39,29,4,1.3355987002,1,534,-1.1835802342094222e-05,easy,easy
40,29,5,1.6256355997,1,656,-5.301434297843054e-06,easy,easy
41,29,5,1.5841843998,1,556,-1.0298231442604702e-05,medium,easy
42,29,3,1.9700701996,1,442,1.3669590107891841e-05,hard,easy
43,29,6,1.4163587,1,1044,-1.117384026729342e-05,easy,easy
44,29,6,1.2038953002,1,876,-2.4749718509731733e-06,hard,easy
45,29,5,1.8019317999,0,933,-6.086052418596673e-06,easy,easy
