,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,7,3,1.5568259,1,2644,-7.477318681336523e-06,medium,hard,3.887746285233723e-06
1,7,5,1.2271343,1,1644,-6.540791176362829e-06,hard,hard,1.2365135668539138e-05
2,7,6,1.0227922,1,370,6.365380503762959e-06,medium,hard,-1.1937290434596045e-05
3,7,5,1.8113507,1,431,4.598820294455573e-06,medium,hard,-1.0192157670579987e-06
4,7,4,1.9084703999,1,403,-1.1584346126620954e-06,hard,hard,9.466643116851376e-06
5,7,5,1.1933764999,1,550,1.0135275373664122e-05,hard,hard,1.1025783921986593e-06
6,7,4,1.2143838999,1,1523,8.503110564741075e-06,medium,hard,-1.6162478375804026e-05
7,7,5,1.3744221,1,402,5.277739817029194e-06,medium,hard,-2.564888387854484e-06
8,7,6,0.9432702,1,320,5.108096110628054e-06,easy,hard,1.9563669205192017e-07
9,7,6,0.811111,1,406,4.77133276781634e-06,hard,hard,2.3596604605654997e-06
10,7,1,1.1760762,0,1114,7.205139199539169e-06,hard,hard,-1.1862890066619547e-05
11,7,6,2.1350285,1,923,-7.298612844344213e-06,hard,hard,2.738072871072868e-06
12,7,6,1.6087177999,1,921,1.0634170569656913e-05,medium,hard,-9.920871608708841e-06
13,7,6,0.8941251,1,389,8.132581325749561e-06,hard,hard,7.793367814432695e-08
14,7,4,1.7566809,1,945,3.6329603408513e-06,hard,hard,-6.643183168929913e-06
15,7,5,0.8028986,1,398,1.647427014741067e-05,easy,hard,-1.8830718868957587e-05
16,7,5,1.5309981001,1,372,4.790597649996659e-06,hard,hard,-8.421723632408335e-06
17,7,5,2.0241257,1,504,4.018384724464679e-06,hard,hard,9.485158539105538e-07
18,7,6,0.912008,1,210,1.357498451631007e-05,easy,hard,-5.29931794871376e-06
19,7,6,0.7364855999,1,288,9.147540992626242e-06,easy,hard,-5.411860820870557e-07
20,7,6,0.8781086999,1,243,-3.5861258848585293e-07,easy,hard,6.744087056150679e-06
21,7,5,1.1892045999,1,637,6.920011061839615e-06,medium,hard,-2.669099081251029e-06
22,7,5,0.9432933,1,354,1.5495116296866141e-06,medium,hard,7.977082823097528e-07
23,7,6,0.9434819,1,274,1.4114087273885336e-05,easy,hard,-1.597500972754221e-06
24,7,6,0.8050532,1,282,-1.9946753246692556e-06,hard,hard,9.046324747172346e-06
25,7,6,0.7324003001,1,260,8.206683613106604e-06,hard,hard,-1.7710203503282013e-06
26,7,6,0.7546786,1,271,7.051019967408901e-06,hard,hard,-4.228301986316564e-06
27,7,6,0.9764849,1,257,4.197902586555014e-06,medium,hard,-1.1726567348706627e-05
28,7,6,0.7420779,1,283,1.4967962638960822e-05,medium,hard,1.4116328616032163e-06
29,7,6,0.9635399,1,445,7.924747804631407e-06,easy,hard,-2.5965669525597607e-06
30,7,6,1.4878052,1,594,3.0030745153847512e-06,medium,hard,-3.2077201857710664e-06
31,7,6,0.9321828999,1,269,8.47167024109016e-06,easy,hard,-1.1418983665985931e-06
32,7,6,0.7296517,1,233,5.444318218259111e-06,medium,hard,-1.5857925591841462e-06
