,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,9,5,1.45603,1,234,4.723799657448281e-06,easy,positivefb
1,9,5,0.8937827001,1,416,-1.703285575167049e-05,medium,positivefb
2,9,6,0.7279969001,1,869,3.5773870192793877e-06,medium,positivefb
3,9,5,0.7412729,1,359,4.432427109603326e-06,easy,positivefb
4,9,4,0.7344348,0,351,1.1991033353381808e-05,hard,positivefb
5,9,4,0.8948217001,0,352,6.340928926023484e-06,hard,positivefb
6,9,5,0.7732490001,1,358,6.186965404757725e-06,hard,positivefb
7,9,5,0.6872592,1,303,-3.784817764738107e-06,easy,positivefb
8,9,5,0.7918279,1,326,-2.1850928497961087e-06,medium,positivefb
9,9,5,0.7360184001,1,335,-3.3680409299200374e-06,medium,positivefb
10,9,4,0.80879,1,388,4.35309861310775e-06,medium,positivefb
11,9,5,0.7902172001,1,360,-4.3628378876977133e-07,easy,positivefb
12,9,5,0.8010563001,0,285,-7.322671729292216e-06,hard,positivefb
13,9,3,1.1254771,0,440,-4.9152935898533684e-06,hard,positivefb
14,9,4,1.0724264,1,333,-1.8725907992784359e-06,easy,positivefb
15,9,3,1.3612024999,1,381,4.368901217732881e-06,hard,positivefb
16,9,5,0.9038635001,1,249,-9.796225186785894e-06,medium,positivefb
17,9,5,0.6963835,1,262,6.422562018871746e-06,easy,positivefb
18,9,4,0.6666809999,1,277,1.0497162046233102e-05,hard,positivefb
19,9,5,0.8198894999,1,300,-1.0528058648875798e-05,easy,positivefb
20,9,5,0.9624305001,1,268,-3.366914289672939e-06,medium,positivefb
21,9,4,0.9120005,1,304,1.1610480933164425e-05,medium,positivefb
22,9,5,0.95514,1,193,-8.288342789775832e-06,easy,positivefb
23,9,4,0.9528666,1,231,-3.6543558062565033e-06,easy,positivefb
24,9,5,0.8141123001,1,224,1.6172435260860298e-06,medium,positivefb
25,9,4,0.7720811999,0,203,6.856558521999893e-06,easy,positivefb
26,9,4,1.1601454,0,264,1.9254693980713407e-06,hard,positivefb
27,9,3,1.7963432,1,186,-1.5531884692808346e-06,hard,positivefb
28,9,4,1.1107923,1,215,-3.0042236391659964e-07,medium,positivefb
29,9,5,0.8303339001,1,225,-6.115074208596539e-07,medium,positivefb
30,9,3,1.5706225,1,205,-1.2828766324112971e-05,medium,positivefb
31,9,4,0.8907691,1,194,5.516360261706655e-06,medium,positivefb
32,9,3,1.0660888,1,244,2.9116729277522374e-06,hard,positivefb
33,9,3,1.7255774001,1,322,5.7312100057721155e-06,easy,positivefb
34,9,4,0.7067226999,1,316,5.130016742341598e-07,easy,positivefb
35,9,4,0.6781578,1,216,1.808706710880166e-06,hard,positivefb
36,9,5,0.7470257001,0,244,1.6615304483487126e-05,hard,positivefb
37,9,5,0.6517484001,1,259,7.990671368061382e-08,easy,positivefb
38,9,4,1.0536286,0,418,-5.094597296626585e-06,hard,positivefb
39,9,3,1.5593596,0,182,5.342015284666593e-06,medium,positivefb
40,9,4,1.030189,1,217,-1.0705593749110501e-05,easy,positivefb
41,9,3,1.608123,1,163,-1.938338922703442e-06,medium,positivefb
42,9,4,1.0335788,1,501,4.582281615361324e-06,hard,positivefb
43,9,3,0.5901263,1,733,-2.5758657906193407e-06,hard,positivefb
44,9,4,0.8118656001,1,178,-1.0463482914986528e-05,hard,positivefb
45,9,3,0.883057,1,187,-7.738680218982514e-06,easy,positivefb
46,9,3,1.1357294,1,168,5.22092473723744e-06,medium,positivefb
47,9,4,0.7758826,1,230,-1.560942097760419e-06,easy,positivefb
48,9,4,0.96673,1,201,-1.0570841111425581e-05,hard,positivefb
49,9,4,1.0270284,1,219,1.273655202525426e-05,hard,positivefb
50,9,5,0.8921688,1,223,-8.782930314355747e-06,medium,positivefb
51,9,4,0.9699384,1,180,-5.679622383223653e-06,easy,positivefb
52,9,4,0.6625714001,1,218,1.4924392816362375e-06,medium,positivefb
53,9,4,0.9104393,1,239,-5.048563590272943e-06,medium,positivefb
54,9,4,1.1440497,0,250,-3.0542428531274666e-07,easy,positivefb
55,9,4,1.0539009999,1,161,4.7791163592211724e-06,medium,positivefb
56,9,3,1.0165774,0,182,7.200726863405426e-06,hard,positivefb
57,9,4,0.8571321,1,175,1.1617990170518771e-05,easy,positivefb
58,9,4,0.8716743999,0,184,2.005632688120352e-06,medium,positivefb
59,9,4,0.8279351001,1,195,-7.0031447008134395e-06,easy,positivefb
60,9,4,0.9004142,1,186,1.2338228813872629e-05,medium,positivefb
61,9,5,1.0601943,1,172,1.0014280575761768e-05,easy,positivefb
62,9,5,0.9178362,1,169,-8.780351517202716e-07,hard,positivefb
63,9,5,1.1277176,0,152,8.292960910393726e-06,hard,positivefb
64,9,5,1.3941942999,1,157,-1.621277287838074e-05,easy,positivefb
65,9,4,0.9867537001,1,130,-1.1093194939885483e-05,medium,positivefb
66,9,5,0.8816641,1,141,-3.920478088993225e-06,easy,positivefb
67,9,6,1.1712409999,1,267,-8.64624290308053e-06,medium,positivefb
68,9,5,0.9245322001,1,240,1.3679171970504559e-05,easy,positivefb
69,9,5,0.6286706,0,832,-3.12677211921509e-06,hard,positivefb
70,9,4,0.9472933999,1,139,-6.816312956146447e-06,hard,positivefb
71,9,3,1.6536658,1,183,-1.7967241832486263e-05,medium,positivefb
72,9,5,0.7295774999,1,197,-3.7165337050917575e-06,easy,positivefb
73,9,4,0.831578,1,190,3.959915444526181e-06,hard,positivefb
74,9,4,0.7032052,1,319,-1.5229037505201336e-06,easy,positivefb
75,9,4,0.6107574,1,365,4.742661014868892e-06,easy,positivefb
76,9,4,0.8283656,1,160,3.7369105501278874e-07,easy,positivefb
