,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,8,6,1.7330076001,1,3540,-1.2052784462113561e-05,hard,positivefb,-2.665650567087962e-06
1,8,6,0.6528473999,1,1503,-4.7521642698592276e-06,easy,positivefb,1.4823567106081433e-06
2,8,6,0.4619924,1,692,6.788251266574049e-06,medium,positivefb,6.237651328595916e-07
3,8,6,0.5418327,1,725,5.365725817754595e-06,easy,positivefb,3.894164587700945e-06
4,8,5,0.7719277999,0,2317,8.95699063572709e-06,hard,positivefb,5.821986473920775e-07
5,8,6,0.495687,1,913,3.7682547820400575e-06,easy,positivefb,3.291423064302596e-06
6,8,1,0.9188494,1,666,3.921733297654661e-06,hard,positivefb,-1.1373587883235061e-06
7,8,6,1.0306224,0,4441,8.68119064735842e-06,hard,positivefb,-7.3054024136639025e-06
8,8,6,0.5731581999,1,915,3.7327364352189915e-06,easy,positivefb,8.536178797780366e-06
9,8,6,0.9837475,1,715,1.154950463508186e-05,easy,positivefb,-3.257657273691208e-06
10,8,4,1.3811380999,0,3772,3.290525275926812e-07,hard,positivefb,8.544136667308558e-06
11,8,4,0.6868184,1,2459,-9.64158256691834e-06,medium,positivefb,5.873218971893981e-06
12,8,6,0.7395902,1,1053,4.9457631521590595e-06,easy,positivefb,4.917032149748355e-06
13,8,3,0.9927942,0,2208,5.3325977733798365e-06,medium,positivefb,-3.8344478264254635e-06
14,8,5,0.7565928,1,1244,1.4736168661316957e-05,hard,positivefb,-1.0201699020114801e-06
15,8,6,0.4366062999,1,1004,-1.0407145892622528e-05,hard,positivefb,6.282076315330143e-06
16,8,4,0.8247381999,1,2613,4.7148084038670765e-06,hard,positivefb,4.317974039117972e-06
17,8,4,1.2645267,0,1726,6.224531489812013e-06,hard,positivefb,-2.809209528963634e-06
18,8,3,0.6545361001,0,1954,-4.5886978119428065e-06,medium,positivefb,5.007856117487114e-06
19,8,6,0.7789555,1,1255,1.0893583817418606e-05,easy,positivefb,-3.3435806068643774e-06
20,8,5,0.9247681,1,1477,3.2906837155212865e-06,medium,positivefb,-7.300592983328193e-08
21,8,4,0.4523607,1,1210,7.18715420420153e-06,medium,positivefb,4.7164279033837396e-07
22,8,5,0.5500762,1,1622,-4.386477177033464e-06,medium,positivefb,9.148682044563513e-07
23,8,6,0.6604137,1,925,4.601903317228646e-06,easy,positivefb,9.581899501876294e-07
24,8,4,0.7052450001,0,1007,6.35104092227815e-06,easy,positivefb,-1.325783794099482e-06
25,8,6,0.590687,1,627,-3.3222789422771322e-06,medium,positivefb,5.874390204740568e-06
26,8,2,0.471469,0,2874,6.057784739755548e-06,medium,positivefb,-7.511905666408585e-06
27,8,6,0.7035753999,1,782,7.914827302874389e-06,hard,positivefb,1.1308826184047397e-05
28,8,6,0.4819898,1,671,4.652439264952363e-06,easy,positivefb,6.913534682547029e-06
29,8,6,0.3787257,1,727,6.624181897529899e-06,hard,positivefb,8.227522508324882e-06
30,8,2,0.3697942999,0,1616,6.467714882959348e-06,hard,positivefb,1.2361260644418384e-06
31,8,2,0.4475090001,0,848,4.875626751413457e-06,medium,positivefb,3.23622511959096e-06
32,8,6,0.6666751001,1,1031,7.677162244034613e-06,medium,positivefb,-7.096774834609352e-06
33,8,5,0.5832149,1,1065,7.25117393528214e-06,hard,positivefb,6.861398247345437e-07
34,8,6,0.4500016,1,687,3.879217573613181e-08,medium,positivefb,6.552979697243807e-06
35,8,6,0.5436101001,1,754,5.383568819112421e-06,medium,positivefb,2.61220182791571e-06
