,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,31,6,1.8745647999,1,877,7.592077083257152e-07,easy,hard
1,31,6,1.8368480001,1,368,4.8485181667397455e-06,easy,hard
2,31,6,1.4126154999,0,811,-1.989391483676479e-06,medium,hard
3,31,6,1.5623056996,1,399,-4.098357475710006e-06,easy,hard
4,31,6,1.8825156,1,519,-3.1740712101180757e-06,medium,hard
5,31,5,1.8660562001,1,980,-6.353907596946836e-07,hard,hard
6,31,6,1.8005006998,1,393,-4.205525431945139e-06,hard,hard
7,31,5,1.9957266999,1,350,-2.557262504820876e-06,hard,hard
8,31,4,0.9767491003,1,811,-6.5014575290392175e-06,hard,hard
9,31,6,1.2510519996,1,476,-4.586504299972218e-06,easy,hard
10,31,6,1.2048009001,1,444,-8.13899135699822e-07,medium,hard
11,31,6,0.9853834002,1,838,-3.608064088524864e-06,hard,hard
12,31,4,1.2923546,0,499,-2.7258371047331813e-06,hard,hard
13,31,5,0.8118308,1,1155,3.253889785473319e-06,medium,hard
14,31,6,1.0237181,1,527,-7.505973991067927e-06,easy,hard
15,31,5,1.5353363003,1,1170,-1.7015573099206327e-06,medium,hard
16,31,5,1.7128198999,1,272,-5.232891289564446e-06,easy,hard
17,31,5,1.2429228998,1,646,1.6054089444628749e-06,hard,hard
18,31,6,1.3942669998,1,440,-5.604407256032416e-06,medium,hard
19,31,3,1.8696156,0,862,-3.18007685993161e-06,hard,hard
20,31,5,1.1248663999,1,586,1.333757337212139e-06,hard,hard
21,31,6,0.9761394002,1,335,-2.0590506672271854e-06,easy,hard
22,31,6,0.8956209002,1,353,-1.2484282295969394e-05,easy,hard
23,31,4,1.2146087,1,464,2.4689628492742005e-06,medium,hard
24,31,4,1.1159251002,1,1157,-4.524093956442909e-06,medium,hard
25,31,4,1.3863784,1,1008,-3.6523225407113452e-06,easy,hard
26,31,4,1.5357108996,1,411,2.95055095310778e-06,medium,hard
27,31,5,1.1121266,1,373,-3.154636166942264e-06,medium,hard
28,31,6,0.8363475003,1,567,-3.8421662030983775e-06,easy,hard
29,31,5,0.8070355998,1,375,-7.437246905402151e-07,hard,hard
30,31,4,1.3176945001,1,439,-4.861017609322195e-06,hard,hard
31,31,5,1.1072193002,1,653,-7.459052848521229e-06,hard,hard
32,31,6,1.7597210002,1,352,-3.230887623776668e-06,easy,hard
33,31,3,1.6286649001,1,1107,2.7328464442609127e-06,medium,hard
34,31,5,0.8704557,1,312,-1.1352064301914449e-06,easy,hard
35,31,2,1.6862949999,1,1593,-1.8486756309037891e-06,medium,hard
36,31,5,1.5390507001,1,510,-2.728034946650128e-07,hard,hard
37,31,6,0.8689760999,1,219,-5.649376819387162e-07,easy,hard
38,31,6,0.9767384999,1,335,-1.2010561071764417e-05,easy,hard
39,31,4,1.9427823001,1,453,-1.1999902678942436e-07,medium,hard
40,31,5,1.1271792999,1,422,1.1009677372086762e-06,easy,hard
41,31,6,0.8252977999,1,359,1.973893473537687e-06,hard,hard
42,31,3,1.4500082,1,513,-6.709918750196226e-07,medium,hard
43,31,6,0.9860991002,1,519,-1.290203147926384e-06,easy,hard
44,31,6,0.7090572002,1,378,-4.048322063807031e-06,easy,hard
45,31,6,0.7152219,1,322,-6.731901372450053e-07,easy,hard
46,31,6,0.6250931001,1,350,-2.1989695027715472e-06,medium,hard
47,31,6,0.6472719,1,346,5.981145556635463e-06,medium,hard
48,31,4,0.6487720003,0,1045,1.1734148433944337e-05,hard,hard
49,31,5,1.1837777998,1,464,8.148793443685148e-07,medium,hard
50,31,4,1.1329517001,1,499,3.0057339360671843e-06,medium,hard
51,31,5,1.6586675998,1,687,-4.205624653255927e-06,hard,hard
52,31,5,0.8258121,1,644,-2.9556844526845393e-06,easy,hard
53,31,4,1.9835229996,1,783,-5.501312671469864e-06,hard,hard
54,31,5,0.6733109998,1,352,-5.853123077536051e-06,medium,hard
55,31,4,1.1455814,1,424,-6.655491565777132e-06,hard,hard
56,31,2,1.3193077999,0,1268,1.2650062191053093e-07,hard,hard
57,31,5,1.2270251,1,323,-1.7078317770013312e-07,hard,hard
58,31,6,0.9381675003,1,389,1.3080143565076218e-06,medium,hard
59,31,3,1.7875321,1,2161,3.5950550653764206e-07,easy,hard
60,31,1,1.0867001996,0,1713,6.485410590544118e-06,hard,hard
61,31,4,1.5104405,1,411,-7.140677885701706e-06,medium,hard
62,31,5,1.0183917996,1,325,6.296015126037274e-07,easy,hard
63,31,6,0.8022558,1,379,1.2235994769368991e-06,medium,hard
64,31,5,1.1694379002,1,352,-6.421809879359643e-06,hard,hard
65,31,4,0.6780904001,1,794,1.8281884548112844e-07,hard,hard
66,31,5,1.3022563001,1,472,-2.6254004231670627e-06,hard,hard
67,31,6,0.7084084,1,364,3.9558941078039245e-06,easy,hard
68,31,5,1.1325806999,1,739,-7.907333011654831e-06,medium,hard
69,31,6,1.2384640002,1,536,4.424344499715556e-06,easy,hard
70,31,5,1.4415100003,1,352,4.466543797908312e-06,easy,hard
71,31,4,1.2268488999,1,661,-2.120925012838727e-06,hard,hard
72,31,4,1.7418475999,0,671,-1.188859730628852e-06,hard,hard
73,31,4,1.6088593001,1,391,-3.079014798812981e-06,medium,hard
74,31,5,1.0381832998,1,881,-3.8113331408892937e-06,medium,hard
75,31,5,0.9622086999,1,681,5.27854351830851e-06,medium,hard
76,31,6,1.0469236001,1,361,-1.3318205940303014e-06,hard,hard
77,31,5,1.4702901999,1,818,-3.449032243215136e-06,hard,hard
78,31,6,0.8966126,1,2609,-2.655078073171057e-06,easy,hard
79,31,6,1.0870853001,1,497,5.562475380013173e-07,easy,hard
80,31,6,0.8671013,1,429,-4.630485891002313e-06,medium,hard
81,31,6,1.0645031999,1,387,-5.933941236138991e-07,easy,hard
82,31,5,1.4231978999,0,639,-2.0849691630545636e-07,hard,hard
83,31,6,0.7536403998,1,394,3.2539906965326887e-06,easy,hard
84,31,4,1.3377150996,1,534,-2.2798424904324814e-06,easy,hard
85,31,5,1.1445032,1,1975,4.089004971562883e-06,hard,hard
86,31,4,1.0527094998,1,834,-4.994932588902682e-06,easy,hard
87,31,5,1.1473099999,1,693,-6.561742022730174e-06,medium,hard
