,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,13,6,1.2859671001,1,997,4.305656949972009e-05,medium,easy
1,13,6,0.7779103001,1,465,-2.5947456625963884e-06,easy,easy
2,13,5,1.869739,1,1660,4.667705073694281e-06,easy,easy
3,13,5,1.1833571,1,508,1.071250573582794e-05,easy,easy
4,13,6,0.914065,0,632,1.0240693781433292e-05,medium,easy
5,13,6,0.9426755001,1,444,3.2077977024036213e-06,hard,easy
6,13,6,0.9508486,1,374,-1.185679325705876e-06,medium,easy
7,13,6,0.8150407,1,427,-5.6154527141336e-06,easy,easy
8,13,6,1.4161736,1,564,-4.695015762393631e-06,medium,easy
9,13,6,1.3006547999,1,342,-2.4920216584126104e-05,medium,easy
10,13,6,0.876065,1,377,1.758800237551629e-05,hard,easy
11,13,6,0.9651105,1,310,7.049519729315491e-06,hard,easy
12,13,6,1.098153,1,325,-3.017466574272892e-05,medium,easy
13,13,6,1.0523318,1,445,-3.2601124586657006e-06,medium,easy
14,13,6,1.1991939,1,414,1.9116887311487302e-06,medium,easy
15,13,6,1.2323611,1,687,6.317982208279187e-07,hard,easy
16,13,6,0.9406524999,1,386,-2.6343283335780912e-05,easy,easy
17,13,6,0.7441489,1,423,-6.362061925772137e-06,hard,easy
18,13,4,1.9395215,0,1004,-2.54758738075854e-05,hard,easy
19,13,6,1.6324763,1,490,4.72693420196064e-06,medium,easy
20,13,6,1.9172201001,1,366,-3.0951362247868893e-06,easy,easy
21,13,6,1.2586114,1,368,9.860020378923535e-07,medium,easy
22,13,6,1.0070883001,1,316,9.779281678587641e-07,easy,easy
23,13,6,1.1246814,1,342,-4.175404540766934e-06,hard,easy
24,13,6,0.7724003,1,391,-7.508182012020802e-06,easy,easy
25,13,6,0.9855961,1,611,9.323231792470635e-07,easy,easy
26,13,6,0.8488638999,1,362,-5.317661940605346e-07,medium,easy
27,13,6,1.5122664,0,340,-1.153460629981959e-05,hard,easy
28,13,6,0.7679842,1,426,7.080754770221812e-06,medium,easy
29,13,6,1.4660153,0,370,-1.075538764509734e-05,hard,easy
30,13,6,1.4054777999,0,365,3.50522728028694e-06,hard,easy
31,13,6,1.2111191,1,353,-1.0924305167807977e-05,hard,easy
32,13,4,1.9399565,0,2423,-2.24180577879698e-05,easy,easy
33,13,6,0.9681127,1,243,3.2405092627673844e-06,hard,easy
34,13,6,1.0503338,1,355,-1.3966561858311112e-05,medium,easy
35,13,6,0.772277,1,440,-1.6947127156172407e-05,easy,easy
36,13,6,0.9345365,0,325,2.7484309389493427e-06,medium,easy
37,13,6,0.6665892,1,368,2.833894375054165e-06,easy,easy
38,13,6,0.8413122999,1,386,2.840130428662062e-06,easy,easy
39,13,6,0.9907639,1,495,4.4265881331699344e-06,hard,easy
40,13,6,0.6465803001,0,404,-1.8617303650879733e-06,hard,easy
41,13,6,0.9920505,1,352,-6.2902190286306655e-06,hard,easy
42,13,6,1.1738755001,1,357,2.1084956384155546e-05,easy,easy
43,13,6,0.7855796,1,298,-2.2573637645752603e-06,medium,easy
44,13,6,1.1761063,1,355,6.346691253508842e-06,easy,easy
45,13,6,0.9524998,1,353,-5.455790049254155e-06,easy,easy
46,13,6,1.7089973,1,905,-2.3810888094364806e-05,easy,easy
47,13,6,1.8326064,1,416,-2.2847431748460263e-06,hard,easy
48,13,6,1.0759966,1,375,8.02909996723254e-06,hard,easy
49,13,6,0.9671349,1,372,-1.148182805423368e-06,easy,easy
50,13,5,1.8944749001,1,482,1.502311879130121e-05,easy,easy
51,13,5,1.5600798,1,900,-4.543693627063585e-06,medium,easy
52,13,6,1.0999306999,1,415,1.4631718570142678e-05,easy,easy
53,13,6,0.9926699999,1,378,-8.575591985383393e-07,easy,easy
54,13,6,0.9471167,1,824,-2.0152072706568195e-06,medium,easy
