,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,1,6,1.4462772,1,969,3.516370225034796e-06,easy,positivefb
1,1,6,1.3251146,1,1087,2.0461800122222393e-06,easy,positivefb
2,1,6,1.5860728,1,463,1.332880947008104e-05,easy,positivefb
3,1,6,1.0468703,1,598,1.817672844589165e-06,medium,positivefb
4,1,4,1.5907243,1,617,2.877525113545999e-06,medium,positivefb
5,1,3,1.5266242,0,775,-5.877941444327765e-06,hard,positivefb
6,1,4,1.2309415,1,1087,1.181457109589249e-05,hard,positivefb
7,1,6,0.9659229,1,405,-5.7698751913676825e-06,easy,positivefb
8,1,4,1.5954009,1,660,9.215072066790663e-06,hard,positivefb
9,1,5,1.1898344,1,795,2.0514836038924905e-05,medium,positivefb
10,1,3,1.6614691,0,963,8.659421760243691e-06,hard,positivefb
11,1,5,1.0993266,1,819,6.297191406430646e-07,easy,positivefb
12,1,5,1.243607,1,420,2.5632101897326654e-05,hard,positivefb
13,1,5,1.0918195,0,862,2.222270670577666e-06,medium,positivefb
14,1,6,0.6572234,1,684,1.056272662151712e-05,easy,positivefb
15,1,5,1.160173,1,693,1.4272100037145812e-05,easy,positivefb
16,1,4,1.1689459,1,942,5.656241946016079e-06,hard,positivefb
17,1,5,1.5330111,0,816,6.828148053474492e-06,hard,positivefb
18,1,4,1.3618845,1,1147,1.2783209822092722e-06,easy,positivefb
19,1,4,0.9293596,1,364,1.5893144476540619e-06,medium,positivefb
20,1,4,0.7355629,1,275,-8.807374115083792e-06,easy,positivefb
21,1,5,1.8541316,1,417,-3.7152387633037313e-06,hard,positivefb
22,1,4,1.2966254,1,384,9.350959639144057e-06,medium,positivefb
23,1,6,0.9125283,1,547,-7.537737188785316e-06,medium,positivefb
24,1,5,1.0610381,0,322,5.675511412665559e-06,hard,positivefb
25,1,6,0.7751339,1,457,-1.420326334591778e-05,easy,positivefb
26,1,6,0.6596043,1,399,1.43880680778626e-06,easy,positivefb
27,1,6,1.3618434,0,796,-5.946930483024845e-06,hard,positivefb
28,1,4,1.4680496,1,884,-4.52728381176954e-06,easy,positivefb
29,1,5,1.1743806,1,886,-1.3283271559394646e-05,medium,positivefb
30,1,5,1.1247193,0,424,7.928435910668314e-06,hard,positivefb
31,1,5,1.2222041,1,474,6.679075654575526e-06,easy,positivefb
32,1,5,1.4214358,0,338,-3.250917991900818e-08,hard,positivefb
33,1,5,1.8252143,1,350,-9.920926520645857e-06,medium,positivefb
34,1,5,1.8391002,1,753,6.797746168091578e-07,easy,positivefb
35,1,5,1.1598392,1,423,2.512505497137225e-06,medium,positivefb
36,1,5,0.8399561,1,519,-8.834770933631594e-06,medium,positivefb
37,1,4,0.8941214,1,562,-7.656416882671449e-06,hard,positivefb
38,1,4,0.9522553,0,360,4.014159123711516e-06,hard,positivefb
39,1,3,1.0179232,1,868,-1.3061406461613688e-05,hard,positivefb
40,1,5,1.6954207,1,832,6.399786802958563e-06,medium,positivefb
41,1,6,0.7616497,1,692,7.1707603568060355e-06,easy,positivefb
42,1,5,1.3358967,1,550,7.57743322795436e-07,hard,positivefb
43,1,5,1.1824765,1,404,3.391159351193313e-06,hard,positivefb
44,1,4,0.92482,1,561,-5.965226581977905e-06,hard,positivefb
45,1,5,0.7856124,1,541,4.010586689234931e-06,easy,positivefb
46,1,3,1.3359172,1,390,-3.391489305660244e-06,easy,positivefb
47,1,5,0.8881899,1,486,-2.9794806829595876e-06,easy,positivefb
48,1,6,1.9392464,1,375,-7.992340162506377e-06,easy,positivefb
49,1,6,0.7060821,1,1085,1.6181411960268513e-06,hard,positivefb
50,1,6,0.6605022,1,476,2.2174149742005218e-05,easy,positivefb
51,1,6,0.6696692,1,337,-1.5889673307278582e-06,easy,positivefb
52,1,6,0.8598136,1,388,-2.2250242094250114e-06,hard,positivefb
53,1,6,0.7227108,1,283,2.7979364408825096e-06,medium,positivefb
54,1,5,1.1284086,1,517,1.198491460420855e-06,medium,positivefb
55,1,5,1.1156452,1,293,6.463905392508216e-06,hard,positivefb
56,1,5,0.8539926,0,827,1.827202822943621e-05,hard,positivefb
57,1,5,0.9472977,1,1095,5.243235580966538e-06,medium,positivefb
58,1,5,1.1537416,1,559,1.0110008721533607e-05,medium,positivefb
59,1,5,0.7188315,1,302,1.378452410300542e-06,medium,positivefb
60,1,4,1.7784786,0,288,1.4958127484975262e-05,medium,positivefb
61,1,4,1.0058036,1,256,-5.357363286085683e-06,medium,positivefb
62,1,4,0.7712726,1,232,-4.2424619455530904e-06,hard,positivefb
63,1,4,0.7304928,1,358,4.183779629553569e-06,easy,positivefb
64,1,5,0.7370004,1,539,-5.106380691325831e-07,easy,positivefb
65,1,4,0.7202662,1,301,9.323796018605747e-06,easy,positivefb
66,1,5,0.7237303,1,295,-3.1927658325180562e-06,hard,positivefb
67,1,4,0.9651702,1,648,6.3351921558591976e-06,hard,positivefb
68,1,5,1.1083539,1,645,-1.2865953269621275e-05,easy,positivefb
69,1,2,1.4699357,1,479,1.0326031259941347e-05,easy,positivefb
70,1,5,1.0015187,1,983,5.905858015519871e-06,hard,positivefb
71,1,1,0.9595492,1,1020,-5.424836860105544e-06,medium,positivefb
72,1,5,1.0751847,1,745,-7.497393883984832e-06,hard,positivefb
73,1,5,0.8305243,1,510,1.0610062606080896e-05,easy,positivefb
74,1,5,1.472354,1,786,1.215260003693136e-05,medium,positivefb
75,1,5,1.6890331,1,402,1.41163952151667e-05,easy,positivefb
76,1,4,1.5419653,1,792,-3.932351859398444e-06,hard,positivefb
77,1,5,2.0213856,0,346,5.81933818879878e-06,medium,positivefb
78,1,5,1.1683155,1,640,1.6746538768332092e-06,easy,positivefb
79,1,4,2.1185844,1,452,1.3856155433641112e-05,medium,positivefb
80,1,4,0.9431423,1,350,-1.4336396101296346e-06,medium,positivefb
81,1,4,1.4472486,1,554,5.016507812574215e-06,hard,positivefb
82,1,5,0.9228914,1,611,2.1228316612503175e-06,hard,positivefb
83,1,6,0.7155248,1,465,1.4127874482261367e-06,easy,positivefb
84,1,6,0.8651935,1,255,1.048125662637768e-06,easy,positivefb
85,1,4,1.078194,1,856,-1.7301107338261676e-06,medium,positivefb
86,1,3,2.0506638,1,587,1.6066389569645147e-05,medium,positivefb
87,1,5,1.925989,1,427,-4.99078084676735e-06,medium,positivefb
88,1,4,0.7384436,1,791,-3.2448426305878075e-06,medium,positivefb
89,1,5,0.8059086,1,520,4.1057504145783113e-07,medium,positivefb
90,1,5,1.059173,1,555,-1.7192674501096157e-06,hard,positivefb
91,1,5,0.6907372,1,226,-6.344362017827545e-07,hard,positivefb
92,1,5,1.3136135,1,373,4.54786268591257e-06,medium,positivefb
93,1,5,1.1249655,1,379,1.1780420950299433e-05,medium,positivefb
94,1,5,0.8641769,1,348,2.1247127707242176e-05,hard,positivefb
95,1,6,1.2951241,1,478,-5.168969699682164e-06,hard,positivefb
96,1,4,1.536133,1,593,-3.6255614674279674e-06,medium,positivefb
97,1,5,1.8829504,0,385,3.212535759242397e-06,hard,positivefb
98,1,5,0.928465,1,575,-2.955342447010783e-06,medium,positivefb
99,1,5,1.1548466,1,557,-6.717029511890124e-06,medium,positivefb
100,1,6,1.271787,1,359,-6.187404623148786e-06,easy,positivefb
101,1,5,1.8651693,1,657,2.6823031976761468e-06,medium,positivefb
102,1,3,1.5550008,1,715,1.0734474369183185e-05,medium,positivefb
103,1,5,0.7800042,1,322,7.101516673921822e-06,easy,positivefb
104,1,5,0.8706678,1,293,5.202738850806567e-06,hard,positivefb
105,1,3,1.1686058,0,685,-4.540628560185071e-06,hard,positivefb
106,1,2,1.1420503,1,951,5.4572407524230214e-06,easy,positivefb
107,1,5,1.2254116,0,324,-6.296489603662025e-06,hard,positivefb
108,1,5,1.039732,1,302,1.4369724481936598e-05,hard,positivefb
109,1,4,1.2725989,1,500,-3.7173689210029955e-06,hard,positivefb
110,1,4,1.092587,1,231,8.221697997499009e-06,hard,positivefb
111,1,4,0.7486477,1,291,4.900801107489256e-06,easy,positivefb
112,1,6,1.0354068,1,546,5.57542614884634e-06,medium,positivefb
113,1,6,1.1172493,1,337,5.418729182720094e-06,easy,positivefb
114,1,5,0.7264106,1,427,1.2803876379752238e-05,medium,positivefb
115,1,5,0.7522235,1,287,-7.4365083651785855e-06,easy,positivefb
116,1,6,0.7077567,1,217,-1.8019143964602684e-06,hard,positivefb
117,1,1,0.901968,0,1216,-6.390605275856749e-06,hard,positivefb
118,1,5,1.0104905,1,362,4.0159933550656195e-06,hard,positivefb
119,1,6,0.8519097,1,396,9.121411921076695e-06,hard,positivefb
120,1,5,0.9500397,1,378,1.2743542311030989e-05,easy,positivefb
121,1,5,1.1701596,1,255,-5.061892307944273e-06,medium,positivefb
122,1,5,1.8592137,1,397,-1.3071682710482594e-05,hard,positivefb
123,1,6,0.8791852,1,590,3.956721903249877e-07,easy,positivefb
124,1,1,1.2484947,0,1153,6.772049182836824e-06,easy,positivefb
125,1,5,1.0422522,1,271,-2.370427277739326e-06,easy,positivefb
126,1,5,0.859852,1,691,-2.0302788043785995e-05,easy,positivefb
127,1,4,0.8884164,1,311,-1.1846785982649843e-05,hard,positivefb
128,1,5,0.7980727,1,367,-1.0235351292779637e-06,easy,positivefb
129,1,4,0.9110147,1,1024,-1.420472064942068e-06,medium,positivefb
130,1,4,1.0886982,1,638,3.82298565657531e-06,hard,positivefb
131,1,4,1.4406929,1,428,8.11354874356142e-06,easy,positivefb
132,1,5,0.7828424,1,687,-8.398816817283358e-06,medium,positivefb
133,1,5,0.6423573,1,349,3.1411038841053675e-06,easy,positivefb
134,1,5,1.1458482,1,371,1.2489814861894329e-05,easy,positivefb
135,1,5,0.9874951,1,322,8.838308171759525e-06,hard,positivefb
136,1,5,1.243391,1,326,2.8770378934858207e-06,easy,positivefb
137,1,5,0.9054285,1,406,1.1230594364314298e-06,medium,positivefb
138,1,5,1.0849567,1,736,-1.2648505292145748e-05,medium,positivefb
139,1,5,0.6732716,1,267,8.611858394045719e-06,easy,positivefb
140,1,5,0.9450476,1,333,7.120675233795811e-06,medium,positivefb
141,1,6,1.2438941,1,545,-4.2238151462283734e-06,easy,positivefb
142,1,5,0.7815322,1,319,-4.103899527225273e-06,easy,positivefb
143,1,4,1.1403524,1,515,5.7806373998919655e-06,hard,negativefb
144,1,4,1.0633408,1,470,2.5836280726964787e-06,hard,negativefb
145,1,4,1.3079527,1,275,1.3759571907949356e-05,easy,negativefb
146,1,5,1.6574074,1,367,4.532108017514322e-06,hard,negativefb
147,1,4,0.8597774,1,785,3.507620939656938e-06,hard,negativefb
148,1,5,0.6773187,1,473,7.340362265057806e-06,easy,negativefb
149,1,5,0.7913983,1,537,-1.9847711478284644e-06,medium,negativefb
150,1,5,1.3886054,0,463,-1.1590691296406414e-05,hard,negativefb
151,1,5,1.3297587,1,378,-8.346704468022412e-06,hard,negativefb
152,1,5,1.0641389,1,324,5.5205176403670985e-06,easy,negativefb
153,1,5,1.6566371,1,312,1.1829685101353842e-05,hard,negativefb
154,1,5,0.8011673,1,302,1.4189746770202954e-06,easy,negativefb
155,1,5,1.4577365,0,249,-1.4382360886678928e-06,hard,negativefb
156,1,5,1.0648263,0,215,-5.760805200671569e-06,hard,negativefb
157,1,5,0.7606844,0,244,-2.7435960808155844e-06,medium,negativefb
158,1,4,1.3322078,1,424,9.029554570890652e-06,hard,negativefb
159,1,3,1.2880786,1,311,5.561146352658067e-06,medium,negativefb
160,1,2,1.4502797,0,723,-3.6991326909888725e-06,hard,negativefb
161,1,4,1.2831646,0,474,1.9498577746611506e-05,hard,negativefb
162,1,5,1.5604527,1,745,3.683786037752211e-06,easy,negativefb
163,1,5,0.914136,1,394,2.663165568698543e-06,medium,negativefb
164,1,5,1.3345306,0,759,2.1542910389932968e-07,hard,negativefb
165,1,5,1.5848595,1,379,-2.618067467786091e-06,medium,negativefb
166,1,5,0.9129552,1,635,9.854092031253715e-08,hard,negativefb
167,1,3,0.4912574,0,978,4.117883417474853e-06,medium,negativefb
168,1,5,1.5099763,1,402,-1.774393397537336e-05,medium,negativefb
169,1,5,0.9446808,1,414,-2.941836327902717e-06,easy,negativefb
170,1,5,0.9662241,1,1018,5.225534021648264e-06,easy,negativefb
171,1,4,0.8241216,1,467,-3.6503837473641113e-06,medium,negativefb
172,1,6,0.9265744,1,430,4.802348969631924e-06,medium,negativefb
173,1,5,0.7813873,1,417,1.9007624369924335e-06,medium,negativefb
174,1,2,0.7052926,0,1703,2.2559691525725257e-06,medium,negativefb
175,1,5,0.8241343,1,693,-4.894634359381762e-06,easy,negativefb
176,1,4,1.1063977,1,510,-3.6163824220230306e-06,medium,negativefb
177,1,4,0.7975644,1,463,1.619608997779097e-05,easy,negativefb
178,1,4,1.1993353,0,208,-5.081840009976238e-06,easy,negativefb
179,1,5,0.9961242,1,836,-5.247308647290442e-07,easy,negativefb
180,1,5,1.016734,1,497,-4.949712804076932e-06,medium,negativefb
181,1,5,0.8936369,1,302,-3.058269299872833e-06,easy,negativefb
182,1,4,1.1407583,1,1000,6.196057271451002e-06,easy,negativefb
183,1,4,1.1628646,1,290,-2.497616452083235e-06,hard,negativefb
184,1,4,1.0819467,0,413,9.356867790119724e-06,hard,negativefb
185,1,4,2.0799872,1,397,1.0384992219871809e-05,medium,negativefb
186,1,5,0.8520467,1,295,3.327015987447015e-06,easy,negativefb
187,1,4,0.8139168,1,702,-1.6790829782396134e-06,medium,negativefb
188,1,5,0.9067492,1,480,1.420103381911635e-05,easy,negativefb
189,1,5,0.9638061,1,344,-6.679456668133299e-07,medium,negativefb
190,1,5,0.8654742,1,924,-2.5614116171047054e-06,hard,negativefb
191,1,4,0.7901981,0,523,1.2349143682627355e-06,hard,negativefb
192,1,5,0.7411336,1,875,-5.084110071851657e-06,medium,negativefb
193,1,6,0.9286647,1,492,4.326169068021921e-06,easy,negativefb
194,1,6,0.7009289,1,399,1.1377367456854127e-05,hard,negativefb
195,1,5,0.9812957,1,298,-1.9248976831457545e-05,hard,negativefb
196,1,5,0.9280294,1,315,4.3352589095587535e-06,easy,negativefb
197,1,5,0.8238034,0,178,-1.7713239184026674e-06,easy,negativefb
198,1,5,1.1998414,0,220,2.436606332370033e-06,medium,negativefb
199,1,5,1.4926118,1,220,-9.578696995659187e-07,medium,negativefb
200,1,4,1.4227514,0,558,6.726574951729892e-06,hard,negativefb
