,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,19,2,0.8229785,1,15504,-9.994366110528344e-06,hard,negativefb
1,19,5,1.4289591,0,1332,3.266903912189834e-06,hard,negativefb
2,19,6,0.9611801,1,571,5.8481873967609e-06,medium,negativefb
3,19,2,1.3449334998,1,1083,7.650544035785906e-06,hard,negativefb
4,19,4,0.7434295001,0,3108,8.08447918180197e-06,hard,negativefb
5,19,5,0.5030348001,1,1240,1.0114675750547516e-05,medium,negativefb
6,19,3,1.3695224,1,1601,-4.958802939516333e-06,hard,negativefb
7,19,5,1.7253292999,1,623,6.082203157225565e-06,hard,negativefb
8,19,6,0.8018504002,1,904,3.1747917729201318e-06,hard,negativefb
9,19,6,0.8050722999,1,712,-8.99263992880672e-06,easy,negativefb
10,19,5,0.7954942,1,1167,2.042120640357417e-06,medium,negativefb
11,19,5,0.8908299999,1,1072,1.3001579054238537e-05,hard,negativefb
12,19,5,0.7532938002,1,728,6.540027304569539e-06,medium,negativefb
13,19,5,0.7630328001,1,559,8.302301521936719e-07,easy,negativefb
14,19,4,1.1325466,0,1264,-1.2362125920244066e-05,medium,negativefb
15,19,5,1.1290376,0,675,1.9658438776843113e-05,medium,negativefb
16,19,4,1.4326426,0,1602,2.9698721424815712e-05,medium,negativefb
17,19,6,0.8577343,1,738,2.4758281695776703e-05,hard,negativefb
18,19,6,0.8786797,1,603,-4.969700786439963e-06,easy,negativefb
19,19,6,0.8734122,1,307,1.6169826060614895e-06,easy,negativefb
20,19,6,0.9680182999,1,387,6.150631476068311e-06,easy,negativefb
21,19,4,1.7216483001,0,2130,-9.185010207602752e-06,medium,negativefb
22,19,5,0.7807572,1,689,1.886210210058306e-05,easy,negativefb
23,19,6,0.7248992,1,362,1.0035542489928884e-05,medium,negativefb
24,19,5,0.9072235001,1,448,-9.230527985528384e-06,medium,negativefb
25,19,6,1.1272638999,1,516,8.417693918246709e-06,medium,negativefb
26,19,6,0.9763672999,1,987,6.926860335426551e-06,easy,negativefb
27,19,6,0.8539863999,1,372,-1.4368577063231679e-05,medium,negativefb
28,19,6,0.8899852,1,290,1.7801679764915497e-05,easy,negativefb
29,19,5,0.9685287999,1,1059,-4.37528486881029e-06,easy,negativefb
30,19,6,1.0331566001,1,402,-3.4479006992437246e-06,easy,negativefb
31,19,5,1.0903693,1,617,9.153944942185895e-06,hard,negativefb
32,19,3,1.3983457,1,661,-1.373511461345807e-05,medium,negativefb
33,19,5,1.1506232,1,432,1.658986434248705e-05,hard,negativefb
34,19,6,1.0075470998,1,604,8.707020630592522e-06,easy,negativefb
35,19,5,1.1416724999,0,871,7.434281803148498e-06,hard,negativefb
36,19,6,0.9770835,1,1232,2.440703678002601e-05,medium,negativefb
37,19,5,1.1431549999,1,883,8.334476907071104e-06,easy,negativefb
38,19,5,0.8756760999,1,529,-1.3266987075320985e-06,easy,negativefb
39,19,5,0.8479607,1,1275,8.582608967860073e-07,easy,negativefb
40,19,3,1.6179803999,1,460,1.8142961246164314e-05,hard,negativefb
41,19,6,0.9297695002,1,473,-2.6698278303313273e-06,easy,negativefb
42,19,5,0.8524289001,1,391,1.050117902091429e-05,easy,negativefb
43,19,5,0.9178938002,1,421,1.3047439647914642e-05,medium,negativefb
44,19,6,0.7529169,1,330,-4.512486824892395e-06,easy,negativefb
45,19,3,1.4118565,0,423,-1.8450852652619938e-05,hard,negativefb
46,19,5,0.9841501,1,527,-6.54095582633193e-06,medium,negativefb
47,19,4,0.7962447999,1,1229,-5.85091956308183e-06,medium,negativefb
48,19,4,1.4456835,0,709,1.231074277081093e-05,hard,negativefb
49,19,4,1.449523,0,770,-7.302826188168232e-06,hard,negativefb
50,19,3,1.4432963999,0,1165,4.09281069158389e-06,hard,negativefb
51,19,4,1.2264144998,0,737,1.0258982692681393e-05,hard,negativefb
52,19,5,1.1050064,1,298,-6.184270244280905e-06,medium,negativefb
53,19,6,1.5641933,1,482,1.2686610061149132e-06,easy,negativefb
54,19,5,1.2760733999,1,559,2.405603993511176e-06,hard,negativefb
55,19,5,0.9356924,0,566,-7.4643447150640284e-06,medium,negativefb
56,19,5,0.8965419,0,767,1.7108663547887615e-05,medium,negativefb
57,19,5,0.6961235001,1,232,-7.650018153594147e-07,medium,negativefb
58,19,5,1.7108918,1,155,-1.2982303181273874e-05,hard,negativefb
59,19,4,1.2038787999,0,394,-8.891219907036064e-06,medium,negativefb
60,19,5,1.3297635,1,584,1.7131582376500468e-05,easy,negativefb
61,19,6,0.7414463998,1,486,9.581894008744706e-06,medium,negativefb
62,19,6,1.2749469001,1,306,-1.3830113341785523e-05,easy,negativefb
63,19,4,1.4547067001,1,445,4.2117142597310835e-06,medium,negativefb
64,19,5,0.7620234999,1,577,7.70434307752286e-06,medium,negativefb
65,19,6,0.948657,1,375,-5.550767617674694e-06,easy,negativefb
66,19,6,1.2674413,1,296,7.518881506073593e-06,easy,negativefb
67,19,6,0.7949517998,1,416,-2.927047908753714e-06,easy,negativefb
68,19,4,1.2766022,1,2047,1.0362431264071348e-05,easy,negativefb
69,19,5,0.8784614999,1,381,-6.740586882346956e-06,medium,negativefb
70,19,6,0.9788450999,1,505,-2.142948728425573e-07,hard,negativefb
71,19,6,0.7533577001,1,617,1.753907996414861e-06,easy,negativefb
