,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,5,4,1.4034064,1,9181,8.500289041916744e-06,easy,easy
1,5,3,1.8421251,1,5110,7.913742423636844e-06,hard,easy
2,5,6,1.6544373,1,1130,-1.2121442948699175e-05,medium,easy
3,5,6,1.6284369,1,974,4.85087370690697e-06,easy,easy
4,5,5,1.6072463,0,1465,9.04533660792953e-06,medium,easy
5,5,5,1.3454346,1,860,2.0723978950563636e-06,hard,easy
6,5,6,1.4534036,1,788,-2.633875452125961e-06,easy,easy
7,5,6,1.5001554,1,672,7.844953418317389e-07,easy,easy
8,5,6,0.907465,1,724,-3.7633559358047632e-06,medium,easy
9,5,5,1.6233806,1,792,1.2884508353863845e-06,hard,easy
10,5,5,1.4367914,1,915,9.451780123587406e-06,medium,easy
11,5,5,1.5326213,1,788,-9.240972732331983e-06,hard,easy
12,5,6,1.5247447,1,779,2.947166395745705e-06,medium,easy
13,5,4,1.6844295,0,1035,-2.7266594442176874e-06,hard,easy
14,5,6,1.3616687,1,606,-4.944868220404366e-06,easy,easy
15,5,6,1.0121345,1,510,4.3075542172872106e-06,easy,easy
16,5,4,1.7520587,1,855,-8.688841302287734e-06,hard,easy
17,5,5,1.4188585,1,2263,-1.4915037119841816e-06,medium,easy
18,5,6,1.1498494,1,482,-9.125132172988862e-06,easy,easy
19,5,6,1.3649745,1,746,4.236270706695842e-06,medium,easy
20,5,6,1.4183625,1,536,-1.5416212344072807e-06,easy,easy
21,5,6,1.3617247,1,527,1.802828062924337e-06,easy,easy
22,5,4,1.6040493,0,749,8.593849815051519e-07,hard,easy
23,5,5,1.2465047,1,769,-8.097424230074774e-06,hard,easy
24,5,6,0.9291528,1,496,-1.5304879642400926e-05,easy,easy
25,5,5,1.4481752,0,1061,2.7057657073115134e-05,medium,easy
26,5,3,1.8336627,1,1284,-8.400459358036436e-06,hard,easy
27,5,4,0.9527591,1,712,-4.572166806934333e-06,hard,easy
28,5,5,1.6188138,0,669,-1.9554334564449625e-07,hard,easy
29,5,6,1.086719,1,507,1.382255607884382e-06,medium,easy
30,5,4,1.7742092,1,755,8.079749344707741e-06,hard,easy
31,5,5,1.0426991,1,989,-5.91444178881575e-06,easy,easy
32,5,6,0.9744319,1,562,2.7035435835400443e-06,easy,easy
33,5,6,0.8370796,1,509,-7.616102675749111e-06,medium,easy
34,5,6,0.7727379,1,477,-1.3196126621529466e-05,easy,easy
35,5,5,1.634263,1,492,1.6675627096147744e-05,easy,easy
36,5,6,0.7966558,1,565,-1.0344753987282377e-05,medium,easy
37,5,6,0.7336572,1,484,-5.5190446959158875e-06,hard,easy
38,5,5,0.8728658,1,553,6.237722576941253e-06,medium,easy
39,5,6,0.7095801,1,394,-7.618424423461003e-06,hard,easy
40,5,6,1.0044884,1,405,-1.3601241759410765e-05,medium,easy
41,5,6,0.7914235,1,409,9.248417437073311e-06,easy,easy
42,5,6,0.8724485,1,408,1.7821415990196223e-05,hard,easy
43,5,4,1.0020029,0,657,-8.380487778134772e-06,medium,easy
44,5,6,0.8338491,1,411,-5.3996600897683695e-06,easy,easy
45,5,5,1.4864122,1,1282,1.9771635986736468e-05,medium,easy
46,5,4,1.2131599,1,482,-1.0732626735036239e-05,easy,easy
47,5,4,1.601545,1,736,1.6356699186456562e-05,medium,easy
48,5,4,1.3125532,1,689,1.8865340699494995e-06,easy,easy
49,5,6,0.6916731,1,429,-9.316781474689837e-06,hard,easy
50,5,6,0.7323843,1,403,4.574492431546337e-06,easy,easy
51,5,6,0.7304461,1,375,8.578845291272326e-06,easy,easy
52,5,6,1.4672615,1,668,2.194286597042175e-05,hard,easy
53,5,4,1.5434286,0,423,-8.152634228127413e-06,hard,easy
54,5,4,1.0397983,0,464,-6.538016678063737e-06,medium,easy
55,5,6,1.6999321,1,668,1.3972833083352185e-05,easy,easy
56,5,5,1.2779239,1,418,2.785822813935645e-06,hard,easy
57,5,6,1.146238,1,869,-3.900311429290777e-06,medium,easy
58,5,5,1.5117718,1,618,2.398316097687405e-06,easy,easy
59,5,5,0.8124448,1,339,-3.3121954263380267e-06,hard,easy
60,5,6,0.9400214,1,356,9.29242901102539e-06,hard,easy
61,5,6,0.6423248,1,367,-7.91835918411033e-06,easy,easy
62,5,5,1.3463676,1,622,7.753036750849366e-06,medium,easy
63,5,4,1.0926078,1,333,-2.052669271980788e-06,medium,easy
64,5,6,0.7661961,1,436,-7.675245331256915e-06,easy,easy
65,5,5,1.0948652,1,314,-5.626953502080921e-07,hard,easy
66,5,5,0.8849797,1,365,8.994514129880686e-06,easy,easy
67,5,6,0.7823993,1,274,3.882500958215957e-06,medium,easy
68,5,5,1.4489634,1,529,4.2654777494740045e-08,medium,easy
69,5,6,0.8194589,1,382,3.1438336892639045e-06,easy,easy
70,5,6,1.3663959,1,443,1.239530693129622e-05,easy,easy
71,5,6,0.7015357,1,417,4.5788739187103715e-08,easy,easy
72,5,6,0.729075,1,326,3.1891731269890863e-06,easy,easy
73,5,5,1.8211671,1,307,-3.226199194896549e-05,medium,easy
74,5,4,1.9566502,1,668,7.695101360895509e-07,hard,easy
75,5,4,1.2109598,1,356,6.951126245924486e-06,easy,easy
76,5,4,1.207264,1,457,-2.872003947457988e-05,easy,easy
77,5,5,1.4400413,1,240,5.620738613965814e-06,medium,easy
78,5,5,1.5867697,1,393,-1.8419561290878957e-05,medium,easy
79,5,4,1.1866998,0,958,3.4647989604448623e-07,hard,easy
80,5,4,1.3228533,0,406,8.0465886339349e-06,hard,easy
81,5,5,1.7912269,0,353,-1.6497844157506944e-08,hard,easy
82,5,6,1.2596665,1,372,-9.904369871987529e-06,medium,easy
83,5,5,1.7850423,1,263,3.2173505461677815e-05,medium,easy
84,5,6,0.767233,1,322,-8.13206321918794e-06,easy,easy
85,5,5,0.9776272,1,368,8.576732021808142e-06,easy,easy
86,5,6,0.8611204,1,307,2.1982194637753987e-05,medium,easy
87,5,4,1.0234428,1,641,6.820067317393312e-07,medium,easy
88,5,5,1.3564651,1,308,-1.2134974503906823e-05,medium,easy
89,5,6,0.7582047,1,348,-3.0802414785931967e-06,hard,easy
