,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,13,5,10.9442494999,0,2791,-7.074278248650332e-06,hard,easy,3.6183978920983112e-06
1,13,4,7.4432141001,0,449,-3.3613396942365366e-06,medium,easy,3.61490041489831e-06
2,13,4,3.4060168,1,1258,8.339189544276646e-06,easy,easy,8.472492611817607e-06
3,13,6,3.7351143,1,1845,-4.687190008212823e-08,easy,easy,-2.739188899473597e-05
4,13,6,1.2859671001,1,997,2.4299372056843798e-05,medium,easy,1.0197692370957588e-05
5,13,6,0.7779103001,1,465,1.606016779703904e-06,easy,easy,3.7123956560157135e-06
6,13,4,2.8098208,1,2705,-2.550922627733749e-06,hard,easy,1.2858112553739349e-05
7,13,5,1.869739,1,1660,4.585326281333932e-06,easy,easy,-1.2025459080654219e-06
8,13,5,1.1833571,1,508,2.7857688690573553e-06,easy,easy,-3.310089922907311e-06
9,13,6,0.914065,0,632,1.0997710834274348e-05,medium,easy,-1.1310827682914851e-05
10,13,6,0.9426755001,1,444,6.953924278634939e-06,hard,easy,1.4610166192007522e-05
11,13,6,0.9508486,1,374,5.915848560352293e-06,medium,easy,6.316805460716946e-06
12,13,6,0.8150407,1,427,2.8101830804082146e-06,easy,easy,-1.1894965233554385e-05
13,13,6,1.4161736,1,564,6.2042523611577806e-06,medium,easy,5.833238898371356e-06
14,13,5,2.0446083,0,1375,1.46986904819913e-05,medium,easy,-7.005875978467862e-06
15,13,6,1.3006547999,1,342,-8.895979919942652e-06,medium,easy,2.183195934209718e-05
16,13,6,0.876065,1,377,3.4867448338577025e-06,hard,easy,1.58459333941873e-06
17,13,6,0.9651105,1,310,1.6771705804379425e-05,hard,easy,-1.1738793990314207e-05
18,13,6,1.098153,1,325,-1.04152781764711e-05,medium,easy,1.6104848698588163e-05
19,13,6,1.0523318,1,445,1.3119726831049597e-06,medium,easy,3.1354020945476257e-06
20,13,6,1.1991939,1,414,8.941204477749462e-06,medium,easy,-8.199206643107726e-06
21,13,6,1.2323611,1,687,9.290245127095736e-06,hard,easy,-1.4375510794234064e-05
22,13,6,0.9406524999,1,386,-8.510350820340842e-06,easy,easy,7.971720891699278e-06
23,13,6,0.7441489,1,423,1.9659549126267517e-06,hard,easy,-1.2118493494114908e-05
24,13,4,1.9395215,0,1004,1.1454195744198206e-06,hard,easy,-6.861466104248837e-07
25,13,4,3.5209720001,1,842,9.392023866107782e-06,medium,easy,1.3735847124451957e-05
26,13,4,3.2005744,0,843,3.784801695239106e-07,hard,easy,1.013775552657213e-05
27,13,6,1.6324763,1,490,4.4695428549087e-06,medium,easy,-9.255851748723713e-06
28,13,6,1.9172201001,1,366,1.4048220551992876e-05,easy,easy,-3.4266355347293452e-06
29,13,6,1.2586114,1,368,-2.277670423351553e-07,medium,easy,4.44142284813057e-06
30,13,6,1.0070883001,1,316,1.185226077155022e-05,easy,easy,6.97139793773687e-07
31,13,6,1.1246814,1,342,7.758097491847207e-06,hard,easy,1.312176724024191e-05
32,13,6,2.0435906999,0,320,1.845329555318269e-05,medium,easy,1.3608347284412942e-05
33,13,6,0.7724003,1,391,8.416981710574717e-07,easy,easy,9.24304704046939e-06
34,13,6,0.9855961,1,611,5.23233946697394e-06,easy,easy,1.3915481909294282e-05
35,13,6,0.8488638999,1,362,6.625454972515171e-06,medium,easy,2.9493577624050524e-06
36,13,6,1.5122664,0,340,-7.261298021353047e-06,hard,easy,9.389922693783977e-06
37,13,6,0.7679842,1,426,6.960637533581989e-06,medium,easy,1.967099543784129e-06
38,13,6,1.4660153,0,370,-1.335123583891829e-06,hard,easy,1.0649212988860661e-05
39,13,6,1.4054777999,0,365,6.940645044117803e-06,hard,easy,-8.183109415798592e-06
40,13,6,1.2111191,1,353,2.6420601316542453e-07,hard,easy,5.67590489871084e-06
