,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,27,6,1.2605452999,1,1714,-1.8727062175626022e-05,easy,negativefb,-2.1243959710859584e-06
1,27,4,1.3742569997,1,973,-1.2298963656803568e-05,hard,negativefb,-1.1490588893205806e-05
2,27,5,1.4738988997,1,959,-2.862424867049306e-06,medium,negativefb,2.445067262749596e-06
3,27,5,1.7705918998,1,1110,-3.8135549629135908e-06,easy,negativefb,3.707960185282323e-06
4,27,4,1.2718115998,0,824,-2.1229628991847992e-05,hard,negativefb,-9.537568615675974e-07
5,27,4,1.4693820002,1,575,-3.4150844240690425e-06,medium,negativefb,5.993183496637221e-06
6,27,5,1.8880049,1,559,-1.0119200294683904e-05,medium,negativefb,-9.025702151860509e-07
7,27,5,1.1025246,1,881,-3.8167346557731245e-06,medium,negativefb,1.37714428079041e-06
8,27,6,1.0120422998,1,985,1.4886047485389786e-06,medium,negativefb,1.812975547277293e-06
9,27,4,1.7293474004,1,575,-1.457204889221968e-06,medium,negativefb,3.2988666298602562e-06
10,27,4,1.9883520999,0,1484,1.988868785959113e-06,medium,negativefb,-1.0671468520764327e-06
11,27,5,1.1418071999,0,427,-3.3340606438185117e-06,hard,negativefb,8.801035678604508e-06
12,27,4,1.3877953002,1,533,1.8704592750717193e-07,medium,negativefb,-3.487031605930161e-07
13,27,4,1.7293564999,1,814,7.613381129991293e-06,medium,negativefb,-6.145246193020074e-07
14,27,5,1.0646861,0,1094,-1.8652319532558755e-07,hard,negativefb,6.229807499116236e-06
15,27,5,1.0074066999,1,399,-3.2367789025940865e-08,hard,negativefb,-8.482459183984254e-06
16,27,6,1.1961600999,1,498,5.58226011462699e-07,hard,negativefb,-2.876299690388665e-06
17,27,6,1.2635937002,1,319,4.307674912465105e-06,easy,negativefb,-1.4226271521661563e-06
18,27,4,1.0279641999,0,956,2.2310220194464383e-07,hard,negativefb,8.924667190494651e-06
19,27,5,1.2230683002,1,360,-2.5639416578346044e-06,medium,negativefb,-4.4347615799834573e-07
20,27,6,1.2486424004,1,363,4.755721024663984e-06,easy,negativefb,1.7529868303731632e-06
21,27,5,1.4338691998,1,934,8.401215419858897e-08,easy,negativefb,-2.0369800407650607e-06
22,27,4,1.9782469999,0,611,-2.3876516417062606e-06,hard,negativefb,-8.496153326352689e-07
23,27,6,1.3506696001,1,409,7.757576120356535e-06,easy,negativefb,4.689496093016746e-06
24,27,4,1.1190321003,1,863,-3.4092824644556094e-07,easy,negativefb,3.7214421860955144e-06
