,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,32,2,1.2463532002,1,1159,-7.355117139130044e-06,medium,positivefb
1,32,4,1.0705748,0,1471,-1.011108557592088e-06,hard,positivefb
2,32,4,0.8593632001,0,981,-3.615408385285851e-06,easy,positivefb
3,32,4,1.1667585,0,595,-1.2381811801279886e-06,easy,positivefb
4,32,3,1.8989702002,1,802,-8.504937168661099e-06,easy,positivefb
5,32,4,1.0461119004,1,555,7.870628646668976e-06,easy,positivefb
6,32,4,1.0383037003,1,543,-1.0449522435861382e-05,easy,positivefb
7,32,4,1.1119618001,1,799,-1.027617320075749e-05,medium,positivefb
8,32,4,0.9605891001,1,731,5.649160766377786e-06,medium,positivefb
9,32,4,1.2414993001,0,1216,1.8266551482115344e-06,hard,positivefb
10,32,4,1.0608938001,1,518,-6.762665930619307e-06,easy,positivefb
11,32,4,1.3249857002,0,463,1.2746809047168396e-05,easy,positivefb
12,32,4,1.0787180997,1,806,-9.023178222701418e-06,easy,positivefb
13,32,2,1.0723802997,1,861,6.599062278628156e-06,hard,positivefb
14,32,4,1.3984795003,1,405,-2.178146958628155e-05,hard,positivefb
15,32,3,1.7560323002,0,1682,1.1135527568137696e-05,hard,positivefb
16,32,4,1.1232862999,1,501,-3.6582558314374122e-06,medium,positivefb
17,32,4,0.9100166,1,447,-7.748283583669811e-06,easy,positivefb
18,32,4,1.0128803002,1,552,1.1179310430557697e-06,medium,positivefb
19,32,3,0.9249105002,1,543,1.7536966629754484e-05,hard,positivefb
20,32,6,1.2262844001,0,674,-5.312663511285342e-06,easy,positivefb
21,32,4,1.6869105999,1,727,-2.2360913734192797e-05,easy,positivefb
22,32,3,1.1258431999,0,1447,5.054329109839414e-06,easy,positivefb
23,32,4,1.1667032,1,419,-6.396953774689017e-06,easy,positivefb
24,32,4,1.0411869003,1,491,1.4689596598525227e-05,hard,positivefb
25,32,4,1.2471456998,1,617,-9.769185737221098e-07,medium,positivefb
26,32,6,0.8194072,1,475,4.3706976911004937e-07,medium,positivefb
27,32,5,0.8355155,0,873,-8.443612268831757e-06,hard,positivefb
28,32,4,1.0595799,1,520,3.307575998019253e-07,hard,positivefb
29,32,6,1.2090785,1,867,-4.05620874023376e-06,medium,positivefb
30,32,4,1.3666981999,1,520,-1.48638032965545e-05,hard,positivefb
31,32,5,1.1882234002,1,568,-1.800892513128172e-05,medium,positivefb
32,32,3,1.4773949999,1,1322,-1.3953660765629858e-05,hard,positivefb
33,32,3,1.1791992001,0,547,6.926868301914385e-06,hard,positivefb
34,32,3,1.4276771001,0,711,1.0669198183906495e-05,hard,positivefb
35,32,4,1.1099136001,1,994,-3.003050579017705e-06,hard,positivefb
36,32,3,1.2825840996,0,538,5.615964771520343e-07,medium,positivefb
37,32,4,1.0575579,0,444,2.8637265910869476e-07,hard,positivefb
38,32,4,1.4894304001,1,603,-2.7330098182695375e-06,easy,positivefb
39,32,6,1.4647241002,0,853,-1.4111723797461403e-05,hard,positivefb
40,32,4,1.0834784,1,813,-5.9003169905579305e-06,easy,positivefb
41,32,4,1.1630136999,1,529,-5.779913010252659e-06,hard,positivefb
42,32,5,1.7804835998,1,552,-8.655559251210777e-06,hard,positivefb
43,32,5,1.2442872003,1,658,-5.6502990175221755e-06,medium,positivefb
44,32,5,1.2683925,0,616,-8.180019369784292e-07,hard,positivefb
45,32,4,0.8556529996,0,575,7.460022720930323e-07,medium,positivefb
46,32,5,0.8044541003,1,479,-3.849725633110292e-06,medium,positivefb
47,32,5,1.011372,1,659,-5.707016450119069e-06,medium,positivefb
48,32,6,1.1504856003,1,590,-3.427415492225781e-05,easy,positivefb
49,32,6,0.9972478999,1,578,-1.5725456248363647e-05,easy,positivefb
50,32,5,1.1331556998,1,687,-4.491857972222077e-06,medium,positivefb
51,32,6,1.1550281998,1,538,-4.251524386756347e-06,easy,positivefb
52,32,6,1.5766650001,1,552,-1.738699084719854e-06,medium,positivefb
53,32,3,1.5967185004,1,1285,-1.3959022813049313e-05,medium,positivefb
54,32,4,1.3267145003,0,562,-2.831931982244386e-06,hard,positivefb
55,32,4,1.3190120002,1,597,-2.1202501002367025e-05,easy,positivefb
56,32,3,1.6451985999,0,639,-6.8829897378381335e-06,hard,positivefb
57,32,4,1.0592272999,1,446,-1.9091071033830155e-05,hard,positivefb
58,32,4,1.2641611001,1,509,-1.5077297380691817e-05,easy,positivefb
59,32,4,1.0493996004,1,610,-5.976832672539075e-06,hard,positivefb
60,32,5,1.2873491999,1,505,-1.1352301546811629e-05,medium,positivefb
61,32,5,1.1051261998,1,585,-1.1676808160079122e-05,easy,positivefb
62,32,5,1.0082411002,1,703,-3.4156161228837525e-06,easy,positivefb
63,32,5,0.8593418002,1,546,-1.8493860968452257e-05,easy,positivefb
64,32,5,0.8786827996,1,606,1.1280023562151674e-05,hard,positivefb
65,32,5,1.2546763001,1,550,-2.1705687014035874e-05,easy,positivefb
66,32,5,1.2906999998,1,624,-5.849114645138468e-06,easy,positivefb
67,32,3,1.1375015997,1,810,4.313572848575317e-06,easy,positivefb
68,32,5,0.9851772999,1,583,-9.034606403401926e-06,easy,positivefb
69,32,5,0.8478724998,1,481,4.060807875423987e-06,medium,positivefb
70,32,5,0.8796431003,1,925,-1.910299772421079e-05,easy,positivefb
71,32,3,1.7184620001,0,678,-1.188631710165215e-05,medium,positivefb
72,32,5,0.8809322999,0,475,-3.128837712350594e-06,hard,positivefb
73,32,4,1.4164075996,1,530,-9.056288740830673e-06,easy,positivefb
74,32,4,1.0798924998,1,565,1.3099653755727563e-05,medium,positivefb
75,32,4,1.0439183,0,471,2.5375406018620945e-06,medium,positivefb
76,32,4,1.0984905004,1,490,-4.276315926225848e-06,easy,positivefb
77,32,3,1.1408898002,0,572,2.2307718994739087e-05,hard,positivefb
78,32,2,1.8557162001,1,670,-3.3814198474302157e-06,easy,positivefb
79,32,4,1.3046145001,0,386,-2.331554125146527e-06,hard,positivefb
80,32,4,0.9908002997,1,350,-8.200932436678756e-06,medium,positivefb
81,32,4,0.9693805003,1,563,1.0587423811181698e-05,medium,positivefb
