,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,25,5,1.5564477001,1,904,-3.7899033695435323e-06,medium,positivefb
1,25,6,1.1604774001,1,899,1.0446673247249321e-05,easy,positivefb
2,25,4,1.2326839,1,686,1.2861364226901548e-05,easy,positivefb
3,25,5,1.2006339,0,736,9.287697637563267e-06,medium,positivefb
4,25,5,1.5403338999,1,838,3.347444197104166e-06,hard,positivefb
5,25,5,1.9275483999,1,611,-7.573058555929912e-06,hard,positivefb
6,25,6,1.6297599,1,765,8.897402717157768e-07,medium,positivefb
7,25,6,1.4781208001,1,726,1.4063153167843488e-05,easy,positivefb
8,25,4,1.6852864998,1,954,1.4002393779213324e-05,hard,positivefb
9,25,6,1.0749423001,1,1069,1.088652929124225e-05,easy,positivefb
10,25,5,1.2980098999,1,922,1.92970503546297e-05,hard,positivefb
11,25,6,1.3730667001,1,1008,-8.193674517047637e-06,easy,positivefb
12,25,6,1.1940142,1,662,-2.8833468890337226e-06,hard,positivefb
13,25,6,0.9133381001,1,619,3.2203281339527836e-05,hard,positivefb
14,25,5,1.2900047002,0,578,-1.932617977486802e-06,medium,positivefb
15,25,6,1.0925182002,1,818,3.5430096290540423e-06,hard,positivefb
16,25,5,1.6721542,1,549,8.750959665369557e-06,easy,positivefb
17,25,6,1.0974371,1,646,9.107522165747452e-06,easy,positivefb
18,25,6,1.3675974999,1,520,-1.0662338830069095e-06,easy,positivefb
19,25,4,1.1652737001,0,1056,1.808094042628458e-05,hard,positivefb
20,25,6,1.0930154,1,682,5.586406155405716e-06,medium,positivefb
21,25,5,1.0111637001,1,1177,5.510980532962404e-07,hard,positivefb
22,25,6,0.9102697,0,1177,4.996367909693183e-06,easy,positivefb
23,25,6,1.1390358,1,604,-7.3388619010397715e-06,hard,positivefb
24,25,6,0.9041375001,1,611,5.399340773705411e-06,hard,positivefb
25,25,6,0.9122184,1,523,-1.480463449490852e-05,medium,positivefb
