,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,12,5,1.1127926001,1,1414,1.9952545674333862e-05,medium,easy
1,12,6,1.5309028999,0,997,2.0189183420538455e-05,hard,easy
2,12,5,1.4872844,1,960,7.458128801210209e-06,medium,easy
3,12,6,0.9859847,1,949,-1.6095447814405316e-05,easy,easy
4,12,6,0.9008237,1,1066,4.780394324178962e-06,medium,easy
5,12,6,1.1361685999,0,1023,-1.437307494444298e-06,hard,easy
6,12,6,0.8069475,1,1017,6.854608506655775e-06,hard,easy
7,12,6,1.2461172,1,898,1.1081309545879282e-05,medium,easy
8,12,5,1.7326041,1,891,-1.740133591773306e-05,medium,easy
9,12,6,1.5708178,1,716,-3.2782239120460876e-06,medium,easy
10,12,6,0.8797973001,1,831,1.251252286826056e-05,easy,easy
11,12,5,1.4992619,1,774,1.451881056897867e-05,hard,easy
12,12,4,1.6547337,1,792,-1.53819499519348e-05,easy,easy
13,12,6,0.9986002001,1,697,3.874537762087657e-06,easy,easy
14,12,6,1.0919004,1,812,8.576752599445402e-06,medium,easy
15,12,5,1.4666613,1,788,-8.78486562096982e-06,hard,easy
16,12,6,0.8749210001,1,789,-1.5128837238488393e-07,medium,easy
17,12,6,0.8229231,1,745,5.0474706535001125e-06,easy,easy
18,12,6,1.1840353,1,687,-1.790925285188261e-06,hard,easy
19,12,6,1.0118002,1,940,3.577639320826668e-06,hard,easy
20,12,5,1.3554511,1,643,7.90502011381155e-06,medium,easy
21,12,6,1.2864886001,1,665,2.1264831642254778e-07,hard,easy
22,12,5,1.0815309001,1,1046,5.496345165696918e-06,medium,easy
23,12,6,1.3985372999,1,584,6.240897997753129e-06,easy,easy
24,12,6,0.7529238,1,607,-3.0465910504990508e-06,easy,easy
25,12,6,0.9406927,1,738,7.88375458172402e-06,easy,easy
26,12,5,1.6895673,1,740,9.127677537580374e-06,easy,easy
27,12,6,1.6621102,1,707,-1.4222841046538578e-06,easy,easy
28,12,5,1.5059889,1,749,7.491344065256532e-07,hard,easy
29,12,5,1.2616893001,1,1184,1.099850082469353e-05,medium,easy
30,12,5,1.2623262,1,737,-7.956755478561369e-06,hard,easy
31,12,6,1.2414004999,1,677,3.327221935922362e-06,easy,easy
32,12,5,1.2862402,1,570,5.789536337541584e-06,hard,easy
33,12,6,0.9419448,1,801,1.3347474858483102e-05,easy,easy
34,12,6,0.9114972,1,719,3.8956402351598244e-07,medium,easy
35,12,4,1.2874667001,1,755,-1.1410785830313723e-06,hard,easy
36,12,5,1.2578745,1,582,3.0277613222778824e-06,medium,easy
37,12,5,1.4104733,1,745,-6.652136034415505e-06,medium,easy
38,12,5,1.1816097,0,895,-1.353180185651174e-05,easy,easy
39,12,5,1.2846063001,1,539,5.247904718952306e-07,medium,easy
40,12,5,0.7905705001,1,665,-3.075679314578829e-06,hard,easy
41,12,4,1.5125300001,1,997,2.9376256867870218e-06,medium,easy
42,12,6,0.8318689,1,671,-1.414246851308598e-05,easy,easy
43,12,5,1.3561777,1,1074,9.912504087955259e-06,easy,easy
44,12,5,1.0564065001,1,1023,1.0960187058925041e-05,hard,easy
45,12,6,0.9233782999,1,740,5.299956844920366e-06,hard,easy
46,12,6,0.721725,1,717,1.1070683778174725e-06,medium,easy
47,12,6,0.7949224999,1,772,4.835344757873056e-07,medium,easy
48,12,6,0.6744405,0,829,9.63400550652144e-06,hard,easy
49,12,5,1.0339474999,1,758,-1.1056422717520037e-06,hard,easy
50,12,6,0.836491,0,697,5.449275216627078e-07,hard,easy
51,12,5,1.01581,1,632,8.186522432304448e-06,medium,easy
52,12,6,0.9977675,1,666,7.3476387424177345e-06,hard,easy
53,12,6,0.9129802999,1,734,3.31600276455667e-06,easy,easy
54,12,5,1.4951208,0,792,-9.137546507136797e-06,medium,easy
55,12,6,1.0191944999,1,659,5.048566350046506e-07,hard,easy
56,12,6,0.936475,1,741,8.183178541779554e-06,easy,easy
57,12,5,1.1881413,1,668,-2.255603935432024e-06,easy,easy
58,12,1,0.745278,0,1590,4.29950313162771e-06,easy,easy
59,12,6,1.4198859,1,788,6.823812261535527e-06,medium,easy
60,12,6,0.9897666001,1,880,8.149804746278307e-06,easy,easy
61,12,6,0.8991612,1,732,-6.127093071652588e-06,hard,easy
62,12,6,0.9811594,1,699,-5.00881480565743e-06,easy,easy
63,12,6,1.0332581,1,710,-1.3151223932950516e-06,hard,easy
64,12,6,1.7702864,1,742,-9.353125014214443e-06,easy,easy
65,12,6,1.2559118001,1,616,-5.407143689954923e-07,medium,easy
66,12,5,1.2856043,1,761,4.397331263070371e-06,medium,easy
67,12,6,1.7342643,1,552,9.290282391922552e-07,hard,easy
68,12,5,1.2592913001,1,579,-3.628990696108304e-06,easy,easy
69,12,5,1.3549359001,1,756,1.9710474488976457e-06,medium,easy
70,12,5,0.8738142001,0,742,1.0819976850127126e-05,medium,easy
71,12,6,0.9383334001,0,709,8.95551794987474e-06,hard,easy
72,12,6,0.9023245999,1,616,-1.1101845044888403e-05,easy,easy
73,12,6,0.829839,0,610,-9.504340687024479e-07,hard,easy
74,12,5,0.9366234,1,647,2.147312935677908e-06,hard,easy
75,12,5,0.8984808,0,604,-5.231321325496429e-07,hard,easy
76,12,6,1.2576378001,1,581,-3.6205752446895573e-06,easy,easy
77,12,6,0.8323406,1,687,-1.2366707778143622e-06,medium,easy
78,12,6,0.9075887999,1,659,-3.7746233539106004e-06,hard,easy
79,12,6,0.7363941,1,798,1.1714009298458122e-05,medium,easy
80,12,6,0.7978836,1,706,2.1753560298622427e-06,easy,easy
81,12,6,0.9057204999,1,758,1.6530985248878214e-07,medium,easy
82,12,5,1.3869891,1,708,-1.726476565100272e-06,hard,easy
83,12,5,1.3474885999,1,1018,1.7632800716774717e-06,hard,easy
84,12,6,1.343673,1,735,1.894678693645721e-05,easy,easy
85,12,6,0.8882191,1,624,-1.6186967227789707e-05,easy,easy
86,12,6,0.9552512,1,1459,1.33809087520008e-05,hard,easy
87,12,5,1.7366227,1,647,4.42066223060406e-06,easy,easy
88,12,5,1.0376130999,0,689,-4.143371780765464e-07,hard,easy
89,12,6,0.7730531,1,586,4.418306973087169e-06,easy,easy
90,12,6,0.6275136,1,636,8.343023380082902e-06,medium,easy
91,12,6,0.6936515,1,746,6.374530535641766e-06,medium,easy
92,12,6,0.6834691,1,708,-4.821417217106065e-06,medium,easy
93,12,6,0.8048531001,1,699,3.111675514269979e-06,hard,easy
94,12,6,0.7298721001,1,773,-2.2317922713114104e-06,medium,easy
95,12,5,1.0408242999,1,831,2.1716029205278746e-05,hard,easy
96,12,6,0.7137101999,1,725,3.958051723224272e-06,easy,easy
97,12,5,1.5219754,1,686,5.217884996789654e-07,hard,easy
98,12,6,1.3759634,1,895,3.6739418817406455e-06,easy,easy
99,12,6,0.8361465,1,749,8.208461913335851e-07,easy,easy
100,12,3,1.2807494,0,32,-7.114981737098874e-06,medium,easy
101,12,5,1.4139992,1,856,-4.103971576069751e-06,hard,easy
102,12,6,1.5061615,1,541,4.668945880290752e-08,medium,easy
103,12,5,1.3877666,1,707,-2.977018363992548e-06,hard,easy
104,12,6,0.855268,1,663,-1.3624051841248809e-06,easy,easy
105,12,6,0.7983741,1,848,8.344113398994218e-06,easy,easy
106,12,6,1.2981516001,1,654,1.4241544202591371e-06,easy,easy
107,12,6,0.8421385001,1,757,-1.6271058719697135e-06,easy,easy
108,12,6,0.7375145999,1,748,1.5754879893949665e-06,hard,easy
109,12,6,0.9157716001,1,701,-7.990686817454233e-06,medium,easy
110,12,5,1.6197794999,0,587,-1.0498321136792372e-06,hard,easy
111,12,6,0.7084606,1,698,1.68294700959381e-06,medium,easy
112,12,5,1.6448679999,1,930,1.1365517787909785e-05,medium,easy
113,12,6,0.8638519001,1,797,1.1409478192864546e-05,easy,easy
114,12,6,0.7163136,1,819,7.646787604990047e-06,hard,easy
115,12,6,0.7259153,1,713,-9.824817120202065e-07,medium,easy
116,12,4,1.7327549,1,634,4.025500296125985e-06,easy,easy
117,12,6,1.0761894,1,680,1.1808697410597144e-06,easy,easy
118,12,6,1.1157161,1,724,5.388534037949655e-07,hard,easy
119,12,6,0.9221989,0,742,7.76878076608361e-06,hard,easy
120,12,6,1.0539277,0,657,-8.090161069980023e-06,hard,easy
121,12,6,1.1893933,1,666,3.1119724896214554e-06,medium,easy
122,12,6,1.2796145,1,687,-1.5678364233850313e-06,easy,easy
123,12,6,0.9902992999,1,671,-1.376434027091249e-06,easy,easy
124,12,6,0.891491,1,708,2.8733486493639996e-06,medium,easy
125,12,5,0.9605865,1,669,-7.825622475406209e-06,easy,easy
126,12,6,1.4251869,1,621,-1.0107629883628808e-05,hard,easy
127,12,6,0.907091,1,675,6.499936077532178e-06,easy,easy
128,12,5,1.2871080999,1,1000,4.6570285043608073e-07,easy,easy
129,12,4,1.2794509,0,1055,1.7629164375789896e-05,medium,easy
130,12,4,1.1243358999,1,731,-2.552839578516519e-06,hard,easy
131,12,4,1.1649067,1,899,7.294323386588425e-06,hard,easy
132,12,6,0.9957460001,1,650,-8.875208895912504e-06,hard,easy
133,12,5,0.9806806,1,556,1.3132495860614832e-06,medium,easy
134,12,5,1.4047438001,1,497,-3.218685702045833e-06,hard,easy
135,12,6,0.9325192,1,586,-1.0344582090273405e-06,hard,easy
136,12,6,0.8933791,1,562,1.2992731582200432e-05,hard,easy
137,12,6,0.7169458,1,611,2.2320308212339436e-06,easy,easy
138,12,6,0.7000247999,1,722,7.365507232576932e-06,medium,easy
139,12,5,0.7741795999,1,793,-2.966166030354386e-06,medium,easy
140,12,6,0.9683541,1,720,1.2052191676681423e-05,hard,hard
141,12,6,0.8946171999,1,498,5.634354907087792e-07,easy,hard
142,12,6,0.66276,1,555,9.712523430951194e-06,hard,hard
143,12,6,0.8936817,1,437,-3.3491217416052036e-06,medium,hard
144,12,6,0.8120955999,0,486,-4.890170869362933e-06,hard,hard
145,12,6,0.8457699,1,500,-2.741660940666336e-06,hard,hard
146,12,6,0.6164683,1,602,-5.854098153953569e-06,hard,hard
147,12,6,0.6464591,1,619,-4.76397357242744e-06,easy,hard
148,12,6,0.8609728999,1,580,2.2385082262658432e-06,easy,hard
149,12,6,0.7018907,1,532,-2.009560672915142e-06,easy,hard
150,12,6,0.8662224,0,527,1.794204798041625e-05,hard,hard
151,12,6,0.7554828001,1,559,4.363704395704181e-06,easy,hard
152,12,6,0.9399723,1,566,-2.9658065739880907e-06,hard,hard
153,12,6,0.6647786,1,585,4.642775918493162e-06,easy,hard
154,12,6,0.7303384,1,631,2.5908779292807833e-06,medium,hard
155,12,6,0.7159259,1,628,5.2697985702881306e-06,easy,hard
156,12,6,0.7197674001,1,642,-5.63375919775195e-08,easy,hard
157,12,4,1.7060669999,1,551,-9.334249254443043e-07,medium,hard
158,12,5,1.113842,0,584,8.212533348004706e-07,hard,hard
159,12,5,1.1973836999,1,500,-3.984191827849864e-06,medium,hard
160,12,4,1.8148538,0,778,6.7884847032679025e-06,medium,hard
161,12,5,1.1352254,1,497,3.5940423922160724e-06,hard,hard
162,12,6,1.2335056,1,1071,-4.969286606176942e-06,hard,hard
163,12,6,1.0101455,1,559,9.139412794812612e-07,medium,hard
164,12,6,0.7556141,1,734,-7.885432707326838e-06,easy,hard
165,12,6,0.8317046,1,579,6.523262578430612e-06,easy,hard
166,12,5,0.7529705,1,497,-4.3989551432093986e-06,medium,hard
167,12,5,1.0345927,1,518,-4.169624285639169e-06,hard,hard
168,12,6,0.9288428,1,496,-4.81941090097976e-06,medium,hard
169,12,6,0.9365223,1,506,8.494407233600112e-06,easy,hard
170,12,6,0.9087367,1,516,-5.279547339888889e-07,medium,hard
171,12,6,0.6648293,1,568,1.1929925978483717e-06,easy,hard
172,12,6,1.2629555,0,562,6.643534974234056e-06,hard,hard
173,12,6,0.7016245,1,451,-9.4787823091189e-06,medium,hard
174,12,6,0.6471522,1,410,4.375124515281621e-06,medium,hard
175,12,6,0.6711816,1,386,-1.0917300270932646e-05,easy,hard
176,12,6,0.6455377,1,380,-4.490625785974312e-06,medium,hard
177,12,6,0.5342350999,1,395,-6.654639244853422e-06,easy,hard
178,12,6,0.6546927,1,420,-5.300870038028175e-06,medium,hard
179,12,6,0.5780231,1,432,1.3066611676546664e-06,easy,hard
180,12,6,0.4506263001,1,480,-3.806922548261683e-06,easy,hard
181,12,6,0.6693175,1,325,-9.411192568329802e-06,hard,hard
182,12,6,0.6894303,1,415,-1.1325545903726583e-06,medium,hard
183,12,6,0.6153337,1,346,-7.887032830702504e-06,easy,hard
184,12,6,0.7103347,1,443,-1.7243762523306128e-06,medium,hard
185,12,6,0.8229932,1,395,1.5000494835786915e-06,easy,hard
186,12,6,0.7354825999,1,418,-1.0660142318946581e-06,hard,hard
187,12,6,0.7129999,1,391,-4.852175149345059e-06,medium,hard
188,12,6,0.6402987,1,354,-5.590192580027046e-07,easy,hard
189,12,6,1.2270845,1,422,4.488664471658053e-06,hard,hard
190,12,6,1.2428564,1,358,7.844576408659975e-07,hard,hard
191,12,6,0.8064470999,1,331,-3.4895896930329185e-06,medium,hard
192,12,4,1.8988606,0,549,-3.467390354112125e-06,hard,hard
193,12,5,0.8827572,1,366,-2.3054956005635796e-06,medium,hard
