,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,15,5,1.7951035998,1,1683,-5.093099889169135e-07,medium,hard
1,15,5,1.6577680002,1,576,-3.879867457363015e-06,medium,hard
2,15,6,1.4828097001,1,1136,3.3546406014943236e-06,easy,hard
3,15,5,1.7320387999,1,582,2.8052117802058216e-06,medium,hard
4,15,6,1.1628006001,1,595,-5.055280189605215e-06,easy,hard
5,15,4,1.4610325999,1,969,-1.2979363552504843e-06,medium,hard
6,15,5,1.4591998002,1,652,4.288098276225058e-06,easy,hard
7,15,5,1.1223513,1,678,-5.084265310315669e-06,hard,hard
8,15,5,1.6935927998,1,717,-5.326344531420348e-06,easy,hard
9,15,4,1.3542188001,1,529,-1.396961559337385e-05,medium,hard
10,15,4,1.2966643001,1,1226,-5.005452070965673e-06,hard,hard
11,15,5,1.9329005,0,1023,-1.2695688518049924e-05,hard,hard
12,15,5,1.8331923999,1,433,3.1389816628622797e-06,easy,hard
13,15,5,1.3591175999,0,331,1.556993595491407e-06,hard,hard
14,15,6,1.2956447001,1,491,-5.811720386856561e-06,easy,hard
15,15,5,1.3019939,1,453,-4.740172275217755e-06,hard,hard
16,15,3,1.8505171002,0,386,-4.6031813091310615e-06,hard,hard
17,15,5,1.356709,1,351,-1.1263011332202841e-05,hard,hard
18,15,4,1.3579356,1,509,-5.978546384511446e-06,easy,hard
19,15,4,1.4149439,1,820,-3.834190891062035e-06,easy,hard
20,15,5,1.9596233,1,2215,-9.906805552688624e-06,hard,hard
21,15,5,1.1464408,1,436,-4.684438983690972e-06,easy,hard
22,15,4,1.1609447,1,593,-1.3452435602084184e-05,medium,hard
23,15,4,0.9485076999,1,3080,2.0215772843445246e-07,easy,hard
24,15,5,1.0783170999,1,2580,-2.9718189347487402e-06,hard,hard
25,15,5,1.9460187999,1,353,8.499031362214003e-06,medium,hard
26,15,5,0.9208152001,1,322,5.012929124685533e-06,hard,hard
27,15,5,0.9366321999,1,354,4.274548344622111e-06,medium,hard
28,15,5,1.2352127,1,265,-1.019995731060001e-05,easy,hard
29,15,4,1.1894375999,1,645,-5.524864255303867e-06,medium,hard
30,15,3,1.6799918001,1,571,-2.780393536738362e-06,hard,hard
31,15,3,1.3474021,1,1036,2.131491707129409e-06,hard,hard
32,15,4,1.5891807,1,1734,2.644883691023185e-06,easy,hard
33,15,4,1.2099649,1,1090,-1.0822222473924844e-05,hard,hard
34,15,5,1.8438390999,1,868,-2.0696675220736935e-06,easy,hard
35,15,5,0.9936617,1,393,-1.2716049835756574e-05,easy,hard
36,15,5,1.0987639001,1,337,6.433590331314169e-06,medium,hard
37,15,5,1.2049173,1,262,-4.378507281214119e-06,hard,hard
38,15,5,0.9820048001,1,328,-4.914049328961316e-06,hard,hard
39,15,5,1.664778,1,1194,-1.130715444592009e-05,medium,hard
40,15,5,1.1644231998,1,303,2.6052902770318324e-06,easy,hard
41,15,5,1.9262517001,1,1538,-8.585401694845506e-06,medium,hard
42,15,5,1.6863344999,1,532,-9.006015168872356e-06,medium,hard
43,15,5,1.1432403999,1,548,-1.3075948397095845e-05,easy,hard
44,15,5,1.9435465999,1,835,-3.6210285471130023e-06,hard,hard
45,15,5,1.1176547999,1,205,6.35210521351291e-06,easy,hard
46,15,4,1.4340162,1,1152,-5.5482643628558844e-06,hard,hard
47,15,5,1.2790049999,1,3277,4.355337089540568e-06,medium,hard
48,15,2,1.3970829002,1,1925,-5.0997248875629294e-06,hard,hard
49,15,5,1.1783429999,1,368,-9.171088696575354e-06,easy,hard
50,15,6,1.1052682998,1,457,-5.5963741782364895e-06,medium,hard
51,15,6,0.8678348002,1,342,-1.4663830920718566e-07,easy,hard
52,15,5,1.3961084001,1,487,-1.292843257929906e-05,easy,hard
53,15,5,0.8532994001,1,565,-1.0396669058346797e-05,medium,hard
54,15,2,1.7931535998,1,970,4.150085584947977e-06,medium,hard
55,15,5,1.4135733,1,548,-3.3773315212156653e-06,hard,hard
56,15,5,0.9750545998,1,346,2.407317110677274e-06,easy,hard
57,15,5,1.215879,1,416,1.1907582190607793e-06,easy,hard
58,15,2,1.3773494998,1,618,-5.680404049555291e-06,medium,hard
59,15,5,1.0902418001,1,279,-1.2145820526340943e-05,easy,hard
60,15,5,0.7428273,1,307,-5.540793095615063e-06,easy,hard
61,15,3,1.383739,1,931,-2.8485554962463003e-06,easy,hard
62,15,5,1.5902129998,0,484,2.680305445034134e-07,medium,hard
63,15,5,1.0228675001,1,300,-8.432784256502386e-08,easy,hard
64,15,3,1.3010028,1,1270,-1.1598484979214682e-05,hard,hard
65,15,3,1.1715268001,0,631,-6.586987454552308e-06,hard,hard
66,15,3,1.3412798999,0,559,-8.714269594278572e-06,hard,hard
67,15,4,1.1979457999,1,525,-2.209131680544781e-06,hard,hard
68,15,3,1.7668619,0,868,-1.0145988058148596e-05,hard,hard
69,15,5,1.8569999,1,1481,-1.7200777097023493e-06,medium,hard
70,15,5,1.0616236001,1,775,-2.5724144433243646e-06,medium,hard
71,15,5,0.9194019998,1,310,1.6504849042355978e-06,medium,hard
72,15,5,0.8678919,1,505,6.996962355734103e-06,easy,hard
73,15,5,1.2525789,1,389,-4.032127483298397e-06,medium,hard
74,15,5,0.8667106,1,296,-9.600888086637156e-06,medium,hard
75,15,5,1.3293812,1,538,-2.0305812378343957e-06,medium,hard
76,15,5,1.1207174999,1,282,8.664180396146789e-06,hard,hard
77,15,6,0.9441526998,1,540,-8.154255760491533e-06,easy,hard
78,15,5,1.7561760999,1,1403,-3.378052739020695e-06,medium,hard
79,15,5,1.5600114001,1,273,-8.959958716600697e-06,hard,hard
80,15,5,0.9502781001,1,675,1.6652300516264537e-07,easy,hard
81,15,5,1.2162649999,1,250,3.3694267778031214e-06,medium,hard
82,15,3,1.3084034,0,943,-7.869001852393363e-06,hard,hard
83,15,5,1.5157782,1,478,-8.035770485981264e-06,medium,hard
84,15,5,1.1966136,1,510,6.403912783699497e-06,medium,hard
85,15,5,0.9645089998,1,246,3.865891732331214e-06,medium,hard
86,15,2,1.9154961999,0,351,-3.300710623134756e-06,hard,hard
87,15,5,1.0939781,1,313,-4.5455285147938035e-06,easy,hard
88,15,6,0.9520332001,1,361,-7.494618744638927e-07,easy,hard
89,15,3,1.0572472,0,2634,4.182768106450869e-06,medium,hard
90,15,4,1.1739656001,1,901,3.2761352729415228e-06,hard,hard
91,15,3,1.3411510999,1,1709,8.586137562616221e-06,hard,hard
92,15,5,1.0654531,1,642,-1.0960643486702987e-05,medium,hard
93,15,5,1.0667237998,1,2015,7.830687577151625e-06,easy,hard
94,15,4,1.2628708,1,796,-2.071642322166297e-06,hard,hard
95,15,5,0.9484674002,1,329,-3.6503433866084446e-06,medium,hard
96,15,5,0.8796665,1,1420,-2.983604027662629e-06,easy,hard
97,15,3,1.9541925001,0,2488,4.391732603078929e-06,hard,hard
98,15,5,1.0375579,1,430,-8.67118672973266e-06,medium,hard
99,15,2,1.8463492,1,6646,9.332936849717005e-06,easy,hard
100,15,2,1.9582966999,0,453,-6.844370201438089e-06,hard,hard
101,15,5,1.2545749999,1,531,-9.592438170288405e-06,medium,hard
102,15,3,1.6933011001,1,798,3.6680828715983855e-06,medium,hard
103,15,5,1.1227616,1,823,-1.1236067854609142e-07,easy,hard
104,15,5,0.8684028001,1,359,-1.0539425753810178e-05,easy,hard
105,15,5,1.034149,1,354,-1.959100858095949e-05,easy,hard
106,15,5,1.3162282002,1,178,6.952054977928709e-06,medium,hard
107,15,5,1.4328370001,1,1045,-1.993781109253174e-06,easy,hard
108,15,5,1.0805281999,1,1011,1.1393628274813254e-05,medium,hard
109,15,5,0.846593,1,284,-2.8632360775576995e-06,hard,hard
110,15,4,1.1081900999,1,695,1.4961447634349008e-06,easy,hard
111,15,4,0.8802137,1,1756,5.064062809194384e-06,easy,hard
112,15,5,0.7848732001,1,408,7.05115664964794e-06,easy,hard
113,15,6,0.8871150999,1,504,6.0201655873213255e-06,easy,hard
114,15,4,1.887836,0,1435,-8.151681083535399e-06,hard,hard
115,15,4,1.1081593002,1,822,9.405348360991272e-06,easy,hard
116,15,4,1.0496318,1,529,-1.0182738142370468e-06,medium,hard
117,15,4,1.3793327,0,1383,6.278034956760855e-07,hard,hard
118,15,5,1.0242556001,1,346,-2.1048225762671952e-07,easy,hard
119,15,3,1.3663816,1,1368,-1.6551199734527524e-06,hard,hard
120,15,3,0.9071224001,1,1584,-1.934512227695865e-06,easy,hard
121,15,5,0.9071894998,1,415,-1.3864878358768618e-05,hard,hard
122,15,6,0.8963711001,1,782,-6.874325300005097e-06,medium,hard
123,15,4,0.9254063002,0,445,3.0343797606576215e-06,medium,hard
124,15,5,1.0621259999,1,243,-1.1098795494884587e-05,easy,hard
125,15,4,1.5148736001,1,704,-1.2066847914497612e-05,hard,hard
126,15,1,1.5708043,0,1672,-1.2287011627233792e-06,hard,hard
127,15,5,0.7062903,1,918,2.2851282227430093e-06,easy,easy
128,15,6,0.6417391,1,410,-7.036057512515027e-07,easy,easy
129,15,4,1.284611,1,746,-3.5703136208853982e-06,hard,easy
130,15,6,0.6990267001,1,563,-1.5646019882071155e-06,medium,easy
131,15,6,0.7964588001,1,1489,-2.469900541322091e-06,easy,easy
132,15,6,0.6401505999,1,541,-6.882669322082823e-06,easy,easy
133,15,4,1.2193986,0,922,-5.185518902666895e-06,hard,easy
134,15,5,1.0035337,1,337,-9.010714403612287e-06,hard,easy
135,15,6,0.7409383999,1,312,-3.881283366445054e-06,hard,easy
136,15,4,0.8497775001,1,589,-1.1453126643511714e-05,hard,easy
137,15,6,0.7383339999,1,395,-5.103117172376887e-06,hard,easy
138,15,5,1.0155616,1,886,-4.523115134154385e-06,medium,easy
