,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,16,6,1.1303798,0,3020,-1.8756577679891158e-06,hard,positivefb,7.938325501418338e-06
1,16,6,1.0349279998,1,2093,1.7243045935852523e-06,hard,positivefb,-9.847754433122969e-06
2,16,5,0.7656289001,1,1758,-7.85538786900249e-06,hard,positivefb,1.5462293869285384e-05
3,16,6,0.8493069001,1,664,5.987969208445344e-06,medium,positivefb,4.265970656244933e-06
4,16,5,0.5775909,1,730,1.054693035954333e-05,easy,positivefb,-6.342088130789413e-06
5,16,6,0.6947316001,1,419,4.901374636039928e-06,easy,positivefb,5.756011081737707e-06
6,16,6,1.4050177,0,525,-7.643408047181302e-07,easy,positivefb,1.8321970224944174e-06
7,16,6,0.7654795998,1,620,3.548089864660673e-06,easy,positivefb,-1.2462870280624614e-07
8,16,6,0.6046158001,1,623,6.919060483251061e-06,easy,positivefb,2.8380445975688255e-06
9,16,6,1.0849307,0,430,-3.087405562904915e-06,medium,positivefb,2.978029746120544e-06
10,16,5,0.7484195,1,514,-5.0864539453899075e-06,hard,positivefb,-4.758552059404526e-07
11,16,6,0.6301871,1,407,-3.6358671397530882e-06,medium,positivefb,-6.025701785701534e-07
12,16,6,0.7520674001,0,395,-2.339686315934082e-06,hard,positivefb,-2.107912305860702e-06
13,16,5,0.5824034,0,1797,-4.596137257497872e-06,hard,positivefb,2.72804346415465e-06
14,16,6,1.0408709999,1,377,-6.328002239163247e-06,easy,positivefb,1.2490131936372786e-05
15,16,6,0.8631861,1,362,-2.130377604774491e-06,medium,positivefb,4.063015865956687e-06
16,16,6,0.5452662001,1,409,1.927811145485056e-06,medium,positivefb,-6.600015474282177e-06
17,16,5,0.6976814999,1,431,2.666845157741158e-06,medium,positivefb,2.3418762012279937e-06
18,16,5,0.7777388999,1,386,3.2675996816012916e-06,easy,positivefb,-2.3060616817510976e-06
19,16,6,0.5732298999,1,319,-4.1726464332351145e-07,easy,positivefb,-8.721399556808514e-06
