,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,2,6,0.900751,1,1002,5.223427122230283e-06,hard,negativefb
1,2,6,0.9168747,1,685,-4.808021279063771e-06,easy,negativefb
2,2,6,0.5306903,1,895,4.855482639606744e-06,easy,negativefb
3,2,6,0.9336861,1,779,4.751348171887625e-06,hard,negativefb
4,2,6,0.5520666,1,966,1.7467437972737593e-05,easy,negativefb
5,2,6,0.4938589,1,561,-9.899026410260463e-06,easy,negativefb
6,2,6,0.6169263,1,531,3.7129663562672425e-06,medium,negativefb
7,2,6,0.6811753,1,471,-1.5975237770081253e-06,easy,negativefb
8,2,6,1.1731704,1,744,1.2188496331564407e-05,medium,negativefb
9,2,1,0.4711073,0,1609,2.9261237795989952e-06,medium,negativefb
10,2,6,1.187808,1,637,3.183906339098024e-06,medium,negativefb
11,2,6,1.094005,1,411,-2.8530082256623357e-05,medium,negativefb
12,2,6,1.4530775,1,613,-7.633617593490674e-07,hard,negativefb
13,2,6,1.2022169,1,462,-1.705767752910952e-06,easy,negativefb
14,2,6,0.8994969,1,459,2.416156724301408e-07,easy,negativefb
15,2,6,1.0193251,1,435,1.3489211318472213e-05,medium,negativefb
16,2,6,1.5069677,1,601,1.4834941191175396e-06,hard,negativefb
17,2,6,0.8620168,1,576,-4.39056838603884e-08,hard,negativefb
18,2,6,0.6682586,1,449,-4.069170062992804e-06,hard,negativefb
19,2,6,0.5174879,1,397,-6.9302489992247565e-06,medium,negativefb
20,2,6,0.8623737,1,590,-7.943608394321012e-08,hard,negativefb
21,2,6,0.6231763,1,659,1.735984258984455e-05,medium,negativefb
22,2,5,0.8872243,1,1544,-2.3487626658053317e-06,medium,negativefb
23,2,6,0.6329259,1,612,3.4775356729457915e-06,easy,negativefb
24,2,5,1.1602921,0,1065,2.5490492236290884e-06,hard,negativefb
25,2,5,1.0660444,0,1479,-1.808661651796009e-05,medium,negativefb
26,2,6,0.7838509,1,513,-5.83441144697986e-06,easy,negativefb
27,2,6,0.8020949,1,367,3.7344602052446053e-06,hard,negativefb
28,2,5,1.096282,1,744,-1.8300604190462424e-06,hard,negativefb
29,2,5,1.4203788,1,484,-2.80288412841768e-05,medium,negativefb
30,2,6,0.6637725,1,505,-1.0306133695865753e-05,easy,negativefb
31,2,6,1.15722,1,474,1.2784160012345743e-05,hard,negativefb
32,2,5,0.7578064,0,1227,-2.537577462438468e-06,hard,negativefb
33,2,6,0.8364982,1,445,-6.759022480166146e-06,easy,negativefb
34,2,6,0.9742678,1,437,-1.92277608503837e-05,easy,negativefb
35,2,5,1.2058416,1,663,-2.3389767854104873e-06,hard,negativefb
36,2,5,1.6838998,1,572,-3.2706865571875925e-06,hard,negativefb
37,2,6,1.0568735,0,729,-1.3580635081573278e-05,medium,negativefb
38,2,6,0.8229297,1,414,3.420077333267846e-07,easy,negativefb
39,2,6,0.5825896,1,408,-4.1077953394420724e-06,hard,negativefb
40,2,5,1.417499,1,915,1.2789353217335706e-06,hard,negativefb
41,2,5,0.734819,0,1380,-3.953417006276542e-06,medium,negativefb
42,2,6,0.6008661,0,808,-7.310916692732232e-06,easy,negativefb
43,2,5,0.802245,1,921,3.0134980817034657e-06,medium,negativefb
44,2,5,0.7606909,1,617,3.3153834735440524e-06,easy,negativefb
45,2,5,1.0224228,0,890,9.761536912036388e-06,hard,negativefb
46,2,5,1.2036477,1,923,-8.589892822875131e-06,medium,negativefb
47,2,5,1.2574818,1,486,-1.4084821591457246e-05,medium,negativefb
48,2,5,0.9580714,1,559,1.156656637899473e-06,easy,negativefb
49,2,5,0.8077094,1,794,3.635361936542999e-06,easy,negativefb
50,2,5,0.501474,1,554,2.194624036463718e-06,medium,negativefb
51,2,5,1.358706,1,466,-6.426545662765189e-06,hard,negativefb
52,2,5,0.8639878,1,565,1.0285811807491573e-05,hard,negativefb
53,2,4,0.8457604,1,1121,-1.6763964071181676e-05,easy,negativefb
54,2,4,1.0946407,1,923,6.098744857224284e-06,easy,negativefb
55,2,5,0.6909139,1,509,-7.007104945704102e-06,medium,negativefb
56,2,5,0.5725552,1,853,6.612269321196615e-06,easy,negativefb
57,2,4,1.294335,0,1011,2.0766880753296627e-06,hard,negativefb
58,2,5,1.1195405,1,849,1.1553935692152206e-05,hard,negativefb
59,2,6,1.1653306,1,386,-5.24324546843349e-07,easy,negativefb
60,2,6,0.7743726,1,408,3.9383165194002e-06,medium,negativefb
61,2,6,0.6074383,1,499,-1.5136121852714607e-05,easy,negativefb
62,2,6,0.7654048,1,804,-1.538708888496428e-05,hard,negativefb
63,2,6,0.6779358,1,412,-3.287652810910237e-06,medium,negativefb
64,2,5,1.1691879,0,944,-3.7758054237878683e-06,hard,negativefb
65,2,4,1.3026842,1,697,-1.0207577144155932e-07,medium,negativefb
66,2,5,0.6864847,1,627,-9.863872682330019e-06,hard,negativefb
67,2,5,0.7374455,1,863,-2.5170102795191324e-06,medium,negativefb
68,2,5,0.7163993,1,384,4.232724596513211e-06,medium,negativefb
69,2,4,1.0622664,1,1106,6.47145185346642e-06,hard,negativefb
70,2,5,0.8928662,0,677,4.27906652894593e-06,hard,negativefb
71,2,5,0.6589862,1,716,8.572000901501128e-06,easy,negativefb
