,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,14,5,1.7317526001,1,788,4.969713557724365e-06,easy,hard,4.908999954650089e-06
1,14,5,0.9463116999,1,816,-1.0481399715263526e-06,medium,hard,5.072913526147433e-06
2,14,5,0.8899175001,1,544,-5.659131048714835e-06,easy,hard,8.56057808384806e-06
3,14,4,1.2811602,1,842,1.4137972861400296e-05,medium,hard,-9.481792701252635e-06
4,14,5,0.8327645999,1,986,4.75405022875783e-06,easy,hard,6.653259413324884e-06
5,14,4,1.0737935,1,458,3.85204081946367e-06,hard,hard,1.806378879353382e-05
6,14,6,0.7185419002,1,973,8.15816812334241e-06,medium,hard,1.249194920220724e-05
7,14,5,0.7838375999,1,587,3.1307999875950235e-06,hard,hard,-5.710749198077747e-06
8,14,5,0.7379959999,1,425,6.113399178739493e-06,hard,hard,-9.536825477417344e-06
9,14,5,0.6327450001,1,850,3.8860677734930646e-05,easy,hard,-1.157030351499734e-05
10,14,3,1.7600292999,1,2108,1.6433071763909028e-05,hard,hard,2.52331705094199e-06
11,14,4,1.1862927999,1,602,-3.4438859148656124e-07,hard,hard,6.433286530288067e-06
12,14,5,0.8046089001,1,759,3.058054392188824e-06,medium,hard,1.168095048864458e-05
13,14,4,1.4002004,1,355,-1.1798419606035644e-06,medium,hard,1.0949101082134658e-05
14,14,3,3.4050218002,0,1134,5.10919300257501e-06,hard,hard,9.519459854654294e-06
15,14,5,1.2592241,1,833,7.969244072154127e-06,hard,hard,-1.9254838956311458e-05
16,14,2,1.8076500001,1,956,-6.270290883448523e-06,hard,hard,9.38961502592138e-06
17,14,5,1.4190012,1,704,8.643515094654833e-06,medium,hard,-9.301938230781693e-06
18,14,4,1.0543811999,1,524,2.724277443423784e-06,hard,hard,-4.45875138534021e-07
19,14,5,1.4674346002,1,384,4.729176100216943e-06,hard,hard,3.499036856810364e-06
20,14,4,0.7403134999,1,646,7.193085299282374e-06,medium,hard,6.728526534434241e-06
21,14,5,0.7471740001,1,304,1.3347286286899968e-05,medium,hard,-9.446636530387154e-07
22,14,6,0.7400885001,1,601,5.107760612354375e-06,easy,hard,-6.480185242211248e-06
23,14,5,0.5407771,1,366,4.158781678573807e-06,hard,hard,1.4285331275456966e-05
24,14,6,0.6595053,1,360,5.614042277821134e-06,easy,hard,5.867595083322382e-06
25,14,1,0.5625547001,0,1287,2.3362686462963772e-07,medium,hard,6.412430574673794e-08
26,14,5,1.037518,1,397,-1.753519617573525e-06,hard,hard,-5.689332764817225e-06
27,14,6,0.8121030999,1,368,9.265442995198243e-06,easy,hard,1.6145874762994931e-06
28,14,4,1.456791,1,826,4.072547711387777e-06,medium,hard,5.74725676151767e-07
29,14,3,3.5149860999,1,656,2.10823136604096e-06,medium,hard,7.639645179146546e-07
30,14,5,0.6873992002,1,331,1.7906937851994818e-07,medium,hard,1.3809682389230952e-05
31,14,4,0.9428746002,1,1181,1.3055836438315721e-05,hard,hard,4.525418961127692e-06
32,14,5,0.9640184999,1,682,1.2320963301475105e-07,hard,hard,1.2901870287713977e-06
33,14,4,2.8270824,1,561,7.710154318299825e-06,hard,hard,1.0025025502630989e-05
34,14,5,0.7823402002,1,524,8.054553608432691e-06,medium,hard,-5.598137426194839e-06
35,14,6,0.6514478999,1,400,-4.1480344940857815e-06,easy,hard,-1.036241504107488e-06
36,14,6,0.5752328001,1,365,-1.5929344183028403e-06,medium,hard,-2.0973415015010385e-06
37,14,3,2.8933047,0,1215,1.2144046507806245e-05,hard,hard,9.086688132336779e-07
38,14,5,0.9961550999,1,504,3.850869925064473e-06,medium,hard,-1.3072149161366565e-06
39,14,5,0.7529893999,1,458,1.1931974367323848e-05,easy,hard,4.6305942415873116e-07
40,14,4,1.0842261999,1,463,-2.551208279219567e-06,hard,hard,8.526968349392574e-06
41,14,5,0.9299757001,1,427,-1.101904796239953e-06,easy,hard,-3.251311924048422e-06
42,14,5,0.5641182,1,326,-2.067955815560929e-06,hard,hard,4.0912592131370485e-06
43,14,6,1.0331937,1,306,4.691370818620966e-06,easy,hard,-3.7842418741519365e-07
44,14,5,1.0586407001,1,559,-2.5159537992160518e-06,medium,hard,9.137898179125011e-07
