,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,18,6,0.9805266999,1,454,-6.777365882947854e-06,medium,negativefb
1,18,4,1.292839,1,1231,4.696981409075908e-06,easy,negativefb
2,18,5,1.9116567001,1,420,5.6465613693400365e-06,hard,negativefb
3,18,3,2.2210678,1,353,4.3824635464764896e-06,medium,negativefb
4,18,6,0.7280483001,1,356,6.587593469029158e-06,hard,negativefb
5,18,6,0.6848150999,1,318,-4.696232205420892e-06,medium,negativefb
6,18,5,1.5405214,1,391,8.399222691966215e-06,medium,negativefb
7,18,2,1.0569558998,0,825,9.33086738155196e-06,medium,negativefb
8,18,4,1.2019944,1,730,1.70227795538234e-06,hard,negativefb
9,18,4,1.1931157999,0,354,1.0571276624378617e-05,hard,negativefb
10,18,2,1.5062243,1,858,1.8876130079139695e-06,hard,negativefb
11,18,6,0.7985547001,1,411,1.778770726096895e-06,easy,negativefb
12,18,5,0.9818840001,1,486,1.1024912380568796e-05,easy,negativefb
13,18,5,1.3566228999,1,575,-1.7626372277083655e-06,easy,negativefb
14,18,5,0.7266495998,1,324,-7.159507705262558e-06,hard,negativefb
15,18,6,0.7173332998,1,269,-1.4942815819205141e-06,medium,negativefb
16,18,5,0.9547945999,0,559,8.885506021142047e-06,medium,negativefb
17,18,6,0.7492405998,1,238,-9.078724395352866e-06,easy,negativefb
18,18,6,0.6866812999,1,299,6.534628869221835e-06,easy,negativefb
19,18,4,1.2778254,0,829,-8.60165372943864e-06,hard,negativefb
20,18,6,0.6758635,1,230,-3.1193162766992914e-06,easy,negativefb
21,18,5,0.9443919999,1,442,6.614382581645421e-06,hard,negativefb
22,18,3,1.3725899998,1,495,8.141151929529574e-06,hard,negativefb
23,18,5,1.1142444999,1,785,9.445393190609112e-06,easy,negativefb
24,18,5,1.0584531,1,473,1.1307411106286365e-05,easy,negativefb
25,18,4,0.8521750001,0,1287,6.5719138137444324e-06,hard,negativefb
26,18,6,0.7066589999,1,392,8.160474425211984e-06,easy,negativefb
27,18,5,1.0142921,1,534,1.216749158822933e-05,hard,negativefb
28,18,4,1.5578598001,0,692,8.028614264877765e-06,easy,negativefb
29,18,5,1.0158084,1,898,7.593934107877484e-06,hard,negativefb
30,18,6,0.7110580001,1,277,5.9912007075367364e-06,medium,negativefb
31,18,6,1.1335233001,1,239,1.550371161538513e-06,easy,negativefb
32,18,6,1.8403196002,1,351,3.030361643345446e-06,hard,negativefb
33,18,6,0.7764073,1,229,-5.344326574971078e-07,hard,negativefb
34,18,5,0.8802635001,0,428,9.202528700826208e-06,medium,negativefb
35,18,5,1.4816989999,1,307,7.458219541535224e-06,easy,negativefb
36,18,6,0.8351473,1,199,9.751894679314146e-06,medium,negativefb
37,18,6,0.7435262001,1,197,8.169195917236216e-06,easy,negativefb
38,18,6,0.6120916,1,184,-1.031843988806562e-05,medium,negativefb
39,18,5,0.8921661,1,270,-4.7150861484479925e-06,medium,negativefb
40,18,2,1.1881836001,1,344,3.1500852305009985e-06,hard,negativefb
41,18,5,1.0632467999,1,707,9.146824482549978e-06,easy,negativefb
42,18,5,0.8017736999,1,314,4.725338495605424e-07,easy,negativefb
43,18,4,0.9430571001,1,523,6.869905903727741e-06,medium,negativefb
44,18,3,1.2541834002,1,390,8.380943861982492e-06,hard,negativefb
45,18,4,2.0279404002,1,582,8.723963831070832e-06,hard,negativefb
46,18,3,1.2216909002,1,498,1.5563257179277294e-06,medium,negativefb
47,18,6,0.6781164,1,197,7.06339844344561e-06,easy,negativefb
48,18,6,0.8630626001,1,190,-2.699439844299756e-07,medium,negativefb
49,18,5,0.8876364999,1,486,1.4094235392659103e-06,medium,negativefb
50,18,6,0.8886849,0,1330,2.9140728627230873e-06,easy,negativefb
