,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,7,6,1.0227922,1,370,-4.169865258346755e-06,medium,hard
1,7,5,1.8113507,1,431,4.989984256381076e-06,medium,hard
2,7,4,1.9084703999,1,403,1.6724566939393494e-05,hard,hard
3,7,5,1.1933764999,1,550,5.804929659191266e-07,hard,hard
4,7,5,1.3744221,1,402,-1.0313481344148917e-06,medium,hard
5,7,6,0.9432702,1,320,-2.105529567005088e-06,easy,hard
6,7,6,0.811111,1,406,-5.81061209408392e-06,hard,hard
7,7,1,1.1760762,0,1114,-8.536981929744796e-06,hard,hard
8,7,6,1.6087177999,1,921,-3.7903881265350085e-06,medium,hard
9,7,6,0.8941251,1,389,-1.4881271894027915e-06,hard,hard
10,7,5,0.8028986,1,398,-1.6545364481030804e-05,easy,hard
11,7,5,1.5309981001,1,372,3.928217041852967e-06,hard,hard
12,7,5,2.0241257,1,504,5.214431495116061e-06,hard,hard
13,7,6,0.912008,1,210,-3.575070392095764e-06,easy,hard
14,7,6,0.7364855999,1,288,-8.22389584253104e-06,easy,hard
15,7,6,0.8781086999,1,243,-4.033824841333762e-06,easy,hard
16,7,5,1.1892045999,1,637,2.12945331691186e-07,medium,hard
17,7,5,0.9432933,1,354,-1.0293215183285034e-05,medium,hard
18,7,6,0.9434819,1,274,-7.335771761964317e-06,easy,hard
19,7,6,0.8050532,1,282,-1.2539189684084939e-06,hard,hard
20,7,6,0.7324003001,1,260,-8.139511383719699e-07,hard,hard
21,7,6,0.7546786,1,271,-6.942230238478021e-06,hard,hard
22,7,6,0.9764849,1,257,-2.734481415385227e-06,medium,hard
23,7,6,0.7420779,1,283,-4.485808927285512e-06,medium,hard
24,7,6,0.9635399,1,445,-8.779597586756568e-06,easy,hard
25,7,6,1.4878052,1,594,-4.774237218239066e-06,medium,hard
26,7,6,0.9321828999,1,269,-1.4336739676348176e-05,easy,hard
27,7,6,0.7296517,1,233,-2.160353133025368e-06,medium,hard
28,7,6,0.7311203,1,229,1.0499453964575837e-06,easy,hard
29,7,6,0.8527330001,1,238,-2.316333416147258e-05,easy,hard
30,7,5,0.7248650001,1,970,4.868289224055499e-06,medium,hard
31,7,6,0.9105137,1,242,1.706519568828378e-06,easy,hard
32,7,6,1.0551407001,1,289,2.0523053656016375e-06,medium,hard
33,7,6,0.9248516001,1,276,-7.851655590926334e-06,easy,hard
34,7,5,1.5707445,1,237,-2.363394504418348e-06,medium,hard
35,7,6,0.9078086,1,247,-2.8641748538079884e-05,easy,hard
36,7,6,0.9824418999,1,345,5.4333141904596544e-06,medium,hard
37,7,4,1.1018657,1,1058,-3.3160031332849194e-06,hard,hard
38,7,5,1.4158756,1,377,3.01581355751835e-06,hard,hard
39,7,5,1.1876478001,1,364,-2.6786744921795245e-06,easy,hard
40,7,6,1.0814565,1,310,3.941769003924451e-06,easy,hard
41,7,6,0.7052880999,1,238,-9.785215667581779e-06,easy,hard
42,7,6,0.7746436,1,299,-9.73840504522255e-06,easy,hard
43,7,6,0.7254424,1,245,1.538361302690394e-06,easy,hard
44,7,6,0.6854925,1,243,-9.662317687276449e-06,medium,hard
45,7,6,0.7051994001,1,241,-3.833996894735823e-06,easy,hard
46,7,4,1.024431,1,637,-8.368498440338033e-07,hard,hard
47,7,6,0.7275406,1,266,2.287889011168348e-06,easy,hard
48,7,5,0.7099019,1,523,5.803885095135356e-06,medium,hard
49,7,6,1.3185513,1,377,-2.759726860177316e-06,easy,hard
50,7,5,1.0546025999,1,211,-9.668104035263714e-06,easy,hard
51,7,6,0.6518740001,1,260,7.958520890353228e-08,easy,hard
52,7,6,0.7711732001,1,190,4.773834515586464e-06,easy,hard
53,7,6,0.7419098,1,188,-3.321042024641225e-06,medium,hard
54,7,4,1.4930214999,0,492,-2.4650516713631856e-05,hard,hard
55,7,5,1.0059234999,1,643,5.215921204907689e-06,hard,hard
56,7,6,0.7448900001,1,246,8.242899399061144e-06,easy,hard
57,7,5,0.997599,1,1066,-2.575385073398388e-05,easy,hard
58,7,5,1.3324559,1,301,-1.095837041505564e-05,hard,hard
59,7,5,0.7146489001,1,774,2.6595145448218345e-06,medium,hard
60,7,5,0.9716743,1,372,-2.0402143105180862e-05,medium,hard
61,7,5,1.8581811,1,591,-3.834571399942033e-06,hard,hard
62,7,6,0.6736176,1,448,-8.837940679595818e-06,hard,hard
63,7,6,0.7979218001,1,337,-9.623997861842281e-06,medium,hard
64,7,6,0.6619038,1,252,-1.0117550101970042e-05,hard,hard
65,7,5,1.3294277,0,273,-1.1900408861183233e-05,hard,hard
66,7,6,0.6898207,1,189,1.1046584669990849e-05,easy,hard
67,7,6,0.6931468999,1,173,7.413670136284314e-06,medium,hard
68,7,6,0.7248662,1,236,-1.2145973051995642e-05,medium,hard
69,7,6,1.2665968001,1,350,-6.80147155844775e-07,medium,hard
70,7,6,1.0649222999,1,201,7.2651467948723154e-06,hard,hard
71,7,6,0.7810843,1,229,-9.421164335046344e-06,easy,hard
72,7,6,1.2686941001,1,252,-1.8864814391023086e-06,easy,hard
73,7,6,0.8770090999,1,226,-1.238527275231698e-05,medium,hard
74,7,6,0.9385514,1,166,6.445903581422858e-07,medium,hard
75,7,6,0.9978136,1,619,-1.3259579154920403e-05,easy,hard
76,7,6,0.943568,1,274,-1.1683307858469047e-05,easy,hard
77,7,6,0.7590226,1,427,5.396992543436841e-06,easy,hard
78,7,5,0.9789079999,1,560,6.893147246321484e-06,hard,hard
79,7,6,0.8050415,1,220,3.240982215659281e-06,medium,hard
80,7,6,0.7584922001,1,201,-7.972041230182159e-06,easy,hard
81,7,6,0.8969731999,1,240,7.72078644103326e-06,medium,hard
82,7,6,0.7708269999,1,347,7.984970996339731e-06,medium,hard
83,7,6,0.7664176,1,194,-5.474856492846297e-06,easy,hard
84,7,6,0.6199814001,1,132,-2.726949631737999e-06,easy,hard
85,7,6,1.1818782,1,163,-2.196012413025726e-05,easy,hard
86,7,6,0.8702795,1,203,-1.2984229242219657e-05,hard,hard
87,7,6,1.0613479,1,173,-6.416330805884984e-06,medium,hard
88,7,6,0.6905654001,1,190,-8.524871088214459e-06,hard,hard
89,7,6,0.8063365,1,185,-3.2581352050109423e-06,easy,hard
90,7,4,1.1120344,1,472,-3.1522463044966166e-06,hard,hard
91,7,5,1.210434,1,584,-7.4343105369768935e-06,hard,hard
92,7,6,0.8790326,1,146,-1.0478842216629334e-05,medium,hard
93,7,6,0.6682183,1,148,3.143513434221311e-06,easy,hard
94,7,4,1.8184209999,0,169,-3.1499604822032497e-06,hard,hard
95,7,4,1.7456201999,1,303,-9.903107366272914e-06,hard,hard
96,7,5,1.260776,1,196,-9.718438810177054e-06,hard,hard
97,7,6,0.8663366,1,140,-2.772976767064373e-06,medium,hard
98,7,6,0.7537127,1,359,-1.0091706837962671e-05,easy,hard
99,7,5,0.9034809,1,264,-1.6909874711680333e-05,easy,hard
100,7,5,1.0180786999,1,152,5.2894438402812746e-06,easy,hard
101,7,6,0.597438,1,301,-1.0180483756833752e-05,easy,hard
102,7,5,1.5635222,0,358,-4.715402535260512e-06,medium,hard
103,7,6,0.8209467999,1,122,-5.122927386094275e-07,medium,hard
104,7,6,0.6077181,1,160,-1.2202647144061386e-06,easy,hard
105,7,6,0.6220037,1,676,-1.675977491370736e-05,hard,hard
106,7,6,0.8227976001,1,155,-2.1539751202686962e-06,medium,hard
107,7,6,0.7037541,1,562,-9.027736927174799e-06,medium,hard
108,7,6,0.7693603999,1,128,-8.248731074890041e-06,medium,hard
109,7,6,0.7034954,1,162,-3.801976584657721e-06,easy,hard
110,7,6,0.6197014,1,166,-1.888057255859656e-05,easy,hard
111,7,3,1.2145296,0,1330,-7.292547662660124e-06,hard,hard
112,7,6,0.9160289,1,187,-6.90902781793486e-06,medium,hard
113,7,6,0.7104059,1,155,5.278251693614341e-06,easy,hard
114,7,6,0.736362,1,177,1.0427629810812925e-05,easy,hard
115,7,5,0.7042719,1,625,8.10182945676937e-06,easy,hard
116,7,6,0.9220586,1,198,-1.4301266490040224e-05,easy,hard
117,7,6,0.7175309,1,148,-6.946213239949135e-06,medium,hard
118,7,6,0.8337138999,1,127,-1.2746809046791493e-06,hard,hard
119,7,4,1.4804774,0,1016,-6.863061857069363e-07,hard,hard
120,7,5,1.1790605,1,452,-5.146998994398883e-07,hard,hard
121,7,6,1.364453,1,318,-9.906224114611965e-07,hard,hard
122,7,6,0.8441132,1,132,-5.7225632273778315e-06,easy,hard
123,7,6,0.867596,1,157,-4.061466305282013e-06,hard,hard
124,7,6,0.7062564,1,127,-7.414337385091372e-06,medium,hard
125,7,6,1.4354171,0,132,-4.835250685214443e-06,hard,hard
126,7,6,1.0137228,1,185,-1.012553800447727e-05,hard,hard
127,7,6,0.7597894999,1,167,-2.1171393246572114e-05,medium,hard
128,7,5,1.5485905999,1,165,1.1560466139058965e-05,hard,hard
129,7,4,0.782684,1,1202,4.1132595637367374e-06,medium,hard
130,7,4,2.3033857,0,179,-3.83566825609851e-06,hard,hard
131,7,6,0.7507613,1,176,1.1144819215715418e-05,easy,hard
132,7,6,1.4384252001,1,179,3.598110185524789e-06,easy,hard
133,7,6,0.899859,1,203,-1.2907646697236612e-06,easy,hard
134,7,6,0.7265651,0,281,-5.938031399710414e-06,hard,hard
135,7,6,0.8292159,1,177,-8.35471036334447e-06,medium,hard
136,7,6,0.9220702001,1,231,-2.3213147575173564e-05,easy,hard
137,7,6,0.6669677,1,197,-4.215790102374216e-06,hard,hard
138,7,5,1.4992236999,0,326,-3.2058819168251823e-05,hard,hard
139,7,6,0.6732061,1,145,-1.748667847827112e-05,medium,hard
140,7,6,0.6348525001,1,197,8.376103940054241e-07,hard,hard
141,7,4,1.7818535001,1,507,1.2671380657203254e-05,medium,hard
142,7,4,1.851901,0,198,-7.504109544583955e-06,medium,hard
143,7,6,0.8495051999,1,174,-1.1015156863156662e-05,easy,hard
144,7,6,0.7916078001,1,154,-4.854381372889144e-06,medium,hard
145,7,6,0.8855385,1,170,6.8634028021281095e-06,medium,easy
146,7,5,1.4605573,1,331,2.1724329235361793e-05,hard,easy
147,7,6,0.8653586999,1,127,8.54238901115691e-06,easy,easy
148,7,6,0.9234744,1,180,8.666814301368917e-06,hard,easy
149,7,6,0.8672231,1,205,1.4868200391542728e-05,hard,easy
150,7,6,0.8596165,1,166,-2.1361476541291412e-06,easy,easy
151,7,6,0.6644764,1,136,3.5159431837847368e-06,easy,easy
152,7,5,1.7247538,1,193,-3.272206143852366e-06,easy,easy
153,7,6,0.8698907,1,202,7.264230964716083e-07,easy,easy
154,7,6,0.8791744,0,130,3.556999811676454e-07,easy,easy
155,7,6,0.7152989999,1,195,1.212275833149161e-06,hard,easy
156,7,6,1.2860498,1,138,2.428198243274705e-06,easy,easy
157,7,6,1.2247966001,1,183,1.0994337124604098e-05,medium,easy
158,7,6,0.8805529,1,192,2.015696033488308e-06,easy,easy
159,7,4,2.4565312,0,185,1.5452048527953978e-05,medium,easy
160,7,5,0.8946771,1,177,-1.0786346623736183e-05,hard,easy
161,7,6,0.6019872,1,149,-3.8274764428483927e-07,medium,easy
162,7,6,0.6130151,1,154,1.0039034943231128e-05,hard,easy
163,7,6,0.6279260999,1,174,8.236279443452306e-06,medium,easy
164,7,6,0.6566230999,1,160,-4.125586806789308e-07,easy,easy
165,7,6,1.1515489999,1,207,2.881367821789193e-07,easy,easy
166,7,6,0.9575476,1,147,-9.146064614716537e-06,easy,easy
167,7,6,0.766877,1,130,6.791390135092505e-06,hard,easy
168,7,6,0.6677917,1,166,2.700041501718189e-06,medium,easy
169,7,6,0.8813193,1,190,7.525789098330759e-06,easy,easy
170,7,6,1.2384541,1,152,3.0264693656835644e-06,medium,easy
171,7,6,0.6931392,1,154,-1.4729536479612467e-06,medium,easy
172,7,4,1.977788,0,152,-1.4024617236557838e-05,easy,easy
173,7,5,1.3752573,1,366,-1.2257258260204589e-06,easy,easy
174,7,6,0.8290743,1,128,2.920316904565776e-06,medium,easy
175,7,6,1.2413700001,1,262,-1.9840747629498193e-05,hard,easy
176,7,6,0.818512,1,158,-6.0904544445545845e-06,easy,easy
177,7,6,0.895226,1,178,-1.497990453597595e-05,hard,easy
178,7,6,1.2196117,0,77,2.0201998409273973e-06,hard,easy
179,7,6,0.8030837,1,157,-6.063477638878447e-06,medium,easy
180,7,5,1.5300361,1,692,2.1332820523903867e-07,medium,easy
181,7,6,0.9539236,1,198,-1.42812571939836e-05,medium,easy
182,7,4,0.8996090001,1,701,-1.0784448140816621e-05,hard,easy
183,7,5,0.8606693001,1,258,-2.414253130721941e-06,medium,easy
184,7,5,1.4397237001,1,593,1.697773694565055e-06,medium,easy
185,7,5,1.1692384999,0,1118,-2.448131569809693e-05,hard,easy
186,7,5,0.9655973001,1,252,3.890505064402808e-06,hard,easy
187,7,5,2.0610346,1,323,4.211504496664479e-06,easy,easy
188,7,5,1.5526584999,1,237,-1.0279088221433571e-06,medium,easy
