,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,8,6,0.6528473999,1,1503,1.145056149384593e-05,easy,positivefb
1,8,6,0.4619924,1,692,-2.3996446524807755e-06,medium,positivefb
2,8,6,0.5418327,1,725,3.5897164362016083e-06,easy,positivefb
3,8,6,0.495687,1,913,4.583579978046811e-07,easy,positivefb
4,8,1,0.9188494,1,666,-4.450632032719401e-06,hard,positivefb
5,8,6,0.5731581999,1,915,8.240277536934902e-06,easy,positivefb
6,8,6,0.9837475,1,715,3.5953753974521376e-06,easy,positivefb
7,8,6,0.7395902,1,1053,9.436890403774188e-06,easy,positivefb
8,8,5,0.7565928,1,1244,1.7946773644292008e-05,hard,positivefb
9,8,6,0.4366062999,1,1004,4.835208155913044e-08,hard,positivefb
10,8,3,0.6545361001,0,1954,1.186261299344034e-05,medium,positivefb
11,8,6,0.7789555,1,1255,6.746673211611198e-06,easy,positivefb
12,8,5,0.9247681,1,1477,7.849024689313843e-06,medium,positivefb
13,8,4,0.4523607,1,1210,8.148837029385984e-06,medium,positivefb
14,8,5,0.5500762,1,1622,6.444099518687053e-06,medium,positivefb
15,8,6,0.6604137,1,925,8.985868371901322e-06,easy,positivefb
16,8,4,0.7052450001,0,1007,7.112785907094462e-06,easy,positivefb
17,8,6,0.590687,1,627,1.1370715214572616e-05,medium,positivefb
18,8,6,0.7035753999,1,782,1.605082055534428e-05,hard,positivefb
19,8,6,0.4819898,1,671,8.304663613661876e-06,easy,positivefb
20,8,6,0.3787257,1,727,9.799584069614505e-06,hard,positivefb
21,8,2,0.3697942999,0,1616,-2.2515103036929887e-06,hard,positivefb
22,8,2,0.4475090001,0,848,3.042710450459718e-06,medium,positivefb
23,8,6,0.6666751001,1,1031,3.1098648427557175e-06,medium,positivefb
24,8,5,0.5832149,1,1065,3.0958235651276e-06,hard,positivefb
25,8,6,0.4500016,1,687,-9.670403632172684e-07,medium,positivefb
26,8,6,0.5436101001,1,754,9.617970705620646e-07,medium,positivefb
27,8,6,0.4597404,1,613,3.1438570946194276e-07,medium,positivefb
28,8,6,0.5852951001,1,696,2.3691663770507775e-06,easy,positivefb
29,8,6,0.4867134,1,603,-4.261020539443707e-06,easy,positivefb
30,8,6,0.5434265001,1,689,8.8595524950539e-06,medium,positivefb
31,8,6,0.5580541,1,819,5.989445732550483e-07,easy,positivefb
32,8,1,0.4427933,0,1062,6.600351776433687e-06,easy,positivefb
33,8,6,0.785114,1,768,-4.316626378047537e-07,easy,positivefb
34,8,4,0.5975802001,1,955,1.5782571256318347e-06,hard,positivefb
35,8,6,0.708721,1,861,1.2115526906279443e-05,medium,positivefb
36,8,6,0.5170626,1,537,7.377887990428982e-07,medium,positivefb
