,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,2,5,1.0465598,1,6529,3.3248438500239616e-05,hard,negativefb
1,2,6,1.1387978,1,2769,4.90949396974203e-06,easy,negativefb
2,2,6,1.0089666,0,2029,-2.4300211024558356e-06,medium,negativefb
3,2,6,0.900751,1,1002,1.2702879560868824e-06,hard,negativefb
4,2,5,1.2112139,1,1749,1.4600230373903033e-06,medium,negativefb
5,2,6,0.9168747,1,685,6.219280243233703e-06,easy,negativefb
6,2,6,0.5306903,1,895,1.6281109759220246e-05,easy,negativefb
7,2,6,0.9336861,1,779,1.3394685987015226e-05,hard,negativefb
8,2,5,0.7511661,1,2161,4.975468577713618e-06,easy,negativefb
9,2,6,0.5520666,1,966,7.361481418219981e-06,easy,negativefb
10,2,6,0.4938589,1,561,1.273193073503742e-05,easy,negativefb
11,2,6,0.6169263,1,531,1.065230592034598e-05,medium,negativefb
12,2,6,0.6811753,1,471,1.1906716744009266e-05,easy,negativefb
13,2,5,1.2353394,1,2270,2.2291112115111266e-05,medium,negativefb
14,2,6,1.1731704,1,744,1.9214062054231053e-05,medium,negativefb
15,2,1,0.4711073,0,1609,3.8075392934090132e-06,medium,negativefb
16,2,6,1.187808,1,637,9.261436702415657e-06,medium,negativefb
17,2,6,1.094005,1,411,1.126230616819844e-05,medium,negativefb
18,2,6,1.4530775,1,613,-2.7792536318522564e-06,hard,negativefb
19,2,6,1.2022169,1,462,2.8651566016779737e-07,easy,negativefb
20,2,6,0.8994969,1,459,1.4262426274336745e-05,easy,negativefb
21,2,6,1.0193251,1,435,-4.032740194977185e-06,medium,negativefb
22,2,6,1.5069677,1,601,2.2151810491733713e-06,hard,negativefb
23,2,5,1.2450789,1,2050,-4.788065593872085e-06,medium,negativefb
24,2,6,0.8620168,1,576,-8.945754329609862e-06,hard,negativefb
25,2,6,0.6682586,1,449,1.3394161442529776e-05,hard,negativefb
26,2,6,0.5174879,1,397,1.52286666133239e-05,medium,negativefb
27,2,6,0.8623737,1,590,9.421744815087452e-06,hard,negativefb
28,2,6,0.6231763,1,659,-1.2718735106275958e-05,medium,negativefb
29,2,5,0.8872243,1,1544,2.452541116365102e-07,medium,negativefb
30,2,6,0.6329259,1,612,1.958224407516858e-07,easy,negativefb
31,2,5,0.8020237,1,1854,5.977023433468708e-06,easy,negativefb
32,2,5,1.1602921,0,1065,-2.9928314087913596e-06,hard,negativefb
33,2,5,1.0660444,0,1479,1.639493636063475e-05,medium,negativefb
34,2,6,0.7838509,1,513,9.623013534540422e-06,easy,negativefb
35,2,6,0.8020949,1,367,1.0751202387467671e-05,hard,negativefb
36,2,5,1.096282,1,744,-1.2698814846865619e-05,hard,negativefb
37,2,5,1.4203788,1,484,1.5315209476725454e-05,medium,negativefb
38,2,6,0.6637725,1,505,9.441242501387952e-06,easy,negativefb
39,2,6,1.15722,1,474,-7.196000164540049e-06,hard,negativefb
40,2,5,0.7578064,0,1227,1.0993973781758941e-05,hard,negativefb
41,2,6,0.8364982,1,445,-8.35368773565392e-06,easy,negativefb
42,2,6,0.9742678,1,437,1.8740181258443978e-05,easy,negativefb
43,2,5,1.2058416,1,663,1.4518768396616904e-05,hard,negativefb
44,2,5,1.6838998,1,572,-7.739915676261369e-06,hard,negativefb
45,2,4,1.3893611,1,1618,-1.9618632006605596e-06,hard,negativefb
46,2,6,1.0568735,0,729,7.563924043478469e-06,medium,negativefb
47,2,6,0.8229297,1,414,8.505647880557487e-06,easy,negativefb
48,2,6,0.5825896,1,408,-1.4047882342759344e-07,hard,negativefb
49,2,5,1.417499,1,915,-1.9184481749500793e-05,hard,negativefb
50,2,5,0.734819,0,1380,1.3980736733130545e-05,medium,negativefb
51,2,6,0.6008661,0,808,7.0852178744487095e-06,easy,negativefb
52,2,5,0.802245,1,921,6.987792236002206e-06,medium,negativefb
53,2,5,0.7606909,1,617,1.5600744017938333e-05,easy,negativefb
54,2,5,1.0224228,0,890,1.7972515598546124e-05,hard,negativefb
55,2,5,1.2036477,1,923,1.6334101794301605e-05,medium,negativefb
