,sub,cj,rt,cor,rtcj,average_fr_amplitude,difficulty,condition
0,13,6,1.2859671001,1,997,1.8693404411584575e-05,medium,easy
1,13,6,0.7779103001,1,465,4.185987674319508e-06,easy,easy
2,13,5,1.1833571,1,508,-4.843931621688316e-06,easy,easy
3,13,6,0.914065,0,632,-1.4428433583006509e-05,medium,easy
4,13,6,0.9426755001,1,444,1.697467531114577e-05,hard,easy
5,13,6,0.9508486,1,374,-3.3550094349625625e-06,medium,easy
6,13,6,0.8150407,1,427,-2.0437082191353567e-05,easy,easy
7,13,6,1.4161736,1,564,6.718597071173308e-06,medium,easy
8,13,6,1.3006547999,1,342,3.7479798385861794e-05,medium,easy
9,13,6,0.876065,1,377,-6.824040683179505e-06,hard,easy
10,13,6,0.9651105,1,310,-1.0241152704536864e-05,hard,easy
11,13,6,1.098153,1,325,1.1741895480817963e-05,medium,easy
12,13,6,1.0523318,1,445,-1.4687882889382829e-05,medium,easy
13,13,6,1.1991939,1,414,-5.166731568572033e-06,medium,easy
14,13,6,1.2323611,1,687,-1.2560386028889594e-05,hard,easy
15,13,6,0.9406524999,1,386,-2.978055761344156e-06,easy,easy
16,13,6,0.7441489,1,423,-2.675604026519108e-05,hard,easy
17,13,6,1.6324763,1,490,-2.0911676557215738e-05,medium,easy
18,13,6,1.9172201001,1,366,4.5551870199978764e-06,easy,easy
19,13,6,1.2586114,1,368,-6.583050822928858e-06,medium,easy
20,13,6,1.0070883001,1,316,-2.1721545652970474e-05,easy,easy
21,13,6,1.1246814,1,342,9.898848879159335e-06,hard,easy
22,13,6,2.0435906999,0,320,7.014906609291515e-06,medium,easy
23,13,6,0.7724003,1,391,4.796718917088545e-06,easy,easy
24,13,6,0.9855961,1,611,1.9256656099027118e-05,easy,easy
25,13,6,0.8488638999,1,362,-1.2141070387834907e-05,medium,easy
26,13,6,1.5122664,0,340,-4.234730797035388e-06,hard,easy
27,13,6,0.7679842,1,426,-6.7465450986575e-06,medium,easy
28,13,6,1.4660153,0,370,-4.422126774323757e-06,hard,easy
29,13,6,1.4054777999,0,365,-6.119954469390446e-06,hard,easy
30,13,6,1.2111191,1,353,-1.2247632033569161e-05,hard,easy
31,13,6,0.9681127,1,243,-1.3558354554177492e-05,hard,easy
32,13,6,1.0503338,1,355,-3.4773103834868015e-06,medium,easy
33,13,6,0.772277,1,440,-5.8004789745238365e-06,easy,easy
34,13,6,0.9345365,0,325,-1.734990036705869e-06,medium,easy
35,13,6,0.6665892,1,368,7.95375977489087e-06,easy,easy
36,13,6,0.8413122999,1,386,-4.1639779782025694e-06,easy,easy
37,13,6,0.9907639,1,495,-1.4702980404059156e-05,hard,easy
38,13,6,0.6465803001,0,404,9.602970904481069e-06,hard,easy
39,13,6,0.9920505,1,352,1.5649132507850562e-06,hard,easy
40,13,6,1.1738755001,1,357,-9.912548458964044e-06,easy,easy
41,13,6,0.7855796,1,298,7.980560215966022e-07,medium,easy
42,13,6,1.1761063,1,355,-6.308172269520567e-06,easy,easy
43,13,6,0.9524998,1,353,-1.0833255629044624e-05,easy,easy
44,13,6,1.7089973,1,905,-9.799785277772744e-06,easy,easy
45,13,6,1.8326064,1,416,-1.1428421803437215e-05,hard,easy
46,13,6,1.0759966,1,375,-8.580353604804814e-06,hard,easy
47,13,6,0.9671349,1,372,1.2152828276181345e-05,easy,easy
48,13,5,1.8944749001,1,482,-1.764112238296449e-05,easy,easy
49,13,5,1.5600798,1,900,5.750683559360877e-07,medium,easy
50,13,5,2.0593491001,1,576,-2.241586659331582e-05,medium,easy
51,13,6,1.0999306999,1,415,-1.0171389252342632e-05,easy,easy
52,13,6,0.9926699999,1,378,4.435482875514657e-06,easy,easy
53,13,6,0.9471167,1,824,-1.0731353228581267e-05,medium,easy
54,13,6,0.8220635001,1,394,-7.667991817186986e-06,easy,easy
55,13,6,1.3013208,1,409,-6.444497085921709e-06,easy,easy
56,13,6,0.9154303999,1,343,5.215028880370109e-06,hard,easy
57,13,6,0.9658631,0,341,-2.1051776076213577e-05,hard,easy
58,13,6,0.8685242001,1,375,1.3423814957929062e-06,medium,easy
59,13,6,1.8282553001,1,438,-8.783553487158535e-06,easy,easy
60,13,6,1.2079836,1,327,-1.3020869846986999e-05,easy,easy
61,13,6,0.9943226,1,614,-4.393383823615543e-06,medium,easy
62,13,6,1.0756754,1,360,9.600040936792736e-06,easy,easy
63,13,6,1.3301981001,0,360,-1.866391240260499e-05,medium,easy
