,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,3,5,1.4760868,1,3652,-2.0755894024866494e-05,medium,negativefb,1.3956433913122147e-05
1,3,4,1.7561225,0,2574,-2.9168192318087326e-07,hard,negativefb,-9.73764653950325e-07
2,3,5,1.6224399,1,2154,6.616801057551195e-06,easy,negativefb,-1.7684770485607612e-05
3,3,5,1.0101919,1,1246,-1.1017710160405774e-07,easy,negativefb,-4.1574857134177425e-07
4,3,4,1.2181168,0,959,9.165115047778553e-06,medium,negativefb,-7.0564072554181425e-06
5,3,6,1.3047409,1,936,6.284329200948631e-06,easy,negativefb,5.922610475002218e-06
6,3,4,0.9266356,0,1105,2.1245498622725914e-05,hard,negativefb,-1.2422922612170766e-05
7,3,5,1.3765825,1,673,-1.4331003911428253e-06,hard,negativefb,4.080005951315681e-06
8,3,4,1.8076481,1,353,6.9142461131340985e-06,easy,negativefb,-1.7208316857556332e-05
9,3,5,1.6444548,1,324,1.9725513936013662e-05,medium,negativefb,-1.5959183099759415e-05
10,3,5,1.0394508,1,721,1.4317583637457064e-05,hard,negativefb,-1.3181747332308467e-05
11,3,4,2.1910111,1,1088,3.669634315826556e-06,hard,negativefb,9.282895280091832e-06
12,3,4,1.8444322,1,2413,7.72638316431695e-06,hard,negativefb,-1.1448546281192326e-05
13,3,3,1.7357082,1,1227,4.707569082073505e-06,medium,negativefb,-6.65720013648785e-07
14,3,4,1.353043,1,1383,9.104966181246213e-06,medium,negativefb,-6.368853475447129e-06
15,3,5,1.2145559,1,818,1.4535151514303463e-05,medium,negativefb,-2.2075804461974128e-05
16,3,4,1.4458982,1,523,1.1713474479410722e-05,medium,negativefb,-3.893412174827278e-06
17,3,4,1.6754525,0,422,9.662596463930864e-06,hard,negativefb,-1.5915512562599704e-06
18,3,5,1.2584887,1,550,1.4654917298573609e-05,medium,negativefb,-4.620923064034473e-06
19,3,3,2.4782331,1,720,-1.7877838974967433e-06,hard,negativefb,1.0443498565391625e-05
20,3,4,1.1273912,1,793,3.0953497819796324e-06,easy,negativefb,-4.142012680958199e-06
21,3,5,1.7028184,1,1113,5.9145476834315905e-06,hard,negativefb,2.3553405324602e-06
22,3,4,1.2008456,1,640,7.081112958889872e-06,easy,negativefb,-2.713723708245172e-05
23,3,5,1.2420602,1,248,1.2819486992554043e-05,easy,negativefb,-1.1276274555779997e-05
24,3,5,1.1839195,1,434,7.373521583564602e-06,easy,negativefb,-5.560088464404761e-06
25,3,4,2.0967098,1,687,8.407422996891668e-06,hard,negativefb,-7.452208988385115e-07
26,3,5,1.3937556,1,528,7.010392823322963e-06,easy,negativefb,-1.736756593153868e-05
