,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,17,3,1.2975143001,1,5989,8.75569502018657e-06,easy,positivefb
1,17,5,1.6663894001,1,3352,-7.892830891979838e-06,easy,positivefb
2,17,5,0.8736480002,0,962,-6.412677788095304e-07,hard,positivefb
3,17,2,0.8464499,1,812,5.965498940076876e-06,medium,positivefb
4,17,5,1.0488727,1,2048,4.521708668912723e-06,medium,positivefb
5,17,5,0.9974021001,1,1450,3.627981465428406e-06,medium,positivefb
6,17,2,1.7926556,0,1115,-2.0565031533272377e-06,easy,positivefb
7,17,5,0.8599592999,1,942,4.024925519772124e-06,medium,positivefb
8,17,4,1.5165518001,1,2400,7.2993241020392965e-06,easy,positivefb
9,17,5,0.9748938999,1,1676,-1.3325611108181473e-06,easy,positivefb
10,17,5,0.8166006999,0,955,8.018360699102316e-06,hard,positivefb
11,17,5,1.0703808998,1,700,4.978779944540569e-06,hard,positivefb
12,17,4,1.2109411,1,1646,7.317292429505237e-06,hard,positivefb
13,17,4,1.0112113,1,1063,8.95808904536244e-07,medium,positivefb
14,17,4,1.6126281999,1,527,1.0052296795122758e-05,hard,positivefb
15,17,5,1.2971989,1,1369,3.1683813514449067e-07,hard,positivefb
16,17,5,0.8895950001,1,850,1.2931686897637339e-05,medium,positivefb
17,17,5,1.5252262,1,918,6.636208285400608e-06,easy,positivefb
18,17,5,0.9406025,0,558,1.4659010855119282e-05,easy,positivefb
19,17,5,0.8156554,1,650,4.284478476125963e-06,medium,positivefb
20,17,4,1.4426517999,1,521,-1.322894528203254e-06,medium,positivefb
21,17,4,1.5100117,1,916,6.936519881415022e-06,medium,positivefb
22,17,5,0.8639702001,1,607,-2.2635168635328734e-06,hard,positivefb
23,17,6,1.2219449,1,537,6.995458288618498e-06,easy,positivefb
24,17,5,1.3747818002,1,464,3.2925196143448843e-06,hard,positivefb
25,17,5,1.4521711001,1,735,5.439769448522361e-06,easy,positivefb
26,17,4,1.7753657,1,365,-1.945908905968093e-07,medium,positivefb
27,17,5,0.8091416999,1,705,4.510238674795296e-06,medium,positivefb
28,17,5,0.7689918,1,505,9.15079272453923e-06,medium,positivefb
29,17,4,1.5525698999,0,506,1.0398235869708128e-05,easy,positivefb
30,17,4,1.2005228999,0,1432,1.1620405698137967e-05,medium,positivefb
31,17,5,0.9346624999,1,421,9.16652623127533e-06,easy,positivefb
32,17,5,1.0211593001,0,510,9.602207632912087e-06,hard,positivefb
33,17,5,1.0333855001,1,419,1.4571186469293663e-06,medium,positivefb
34,17,5,0.8719668002,1,418,1.2355938328065493e-05,medium,positivefb
35,17,5,0.8566008001,1,434,3.6678567627873185e-06,easy,positivefb
36,17,5,1.2559472001,1,658,9.478830445581867e-07,easy,positivefb
37,17,5,0.8831616,1,999,-5.442622932132356e-06,hard,positivefb
38,17,5,0.9585986999,1,459,6.701047248911838e-06,hard,positivefb
39,17,5,0.7149783999,1,432,-7.370525287440314e-06,hard,positivefb
40,17,4,1.6929039001,1,301,5.915952080120984e-06,hard,positivefb
41,17,4,1.8896751001,1,536,1.0794166387586913e-05,easy,positivefb
42,17,5,0.7476810999,1,352,-9.775620739942804e-06,medium,positivefb
43,17,5,0.7401206999,0,342,7.509524703004404e-07,easy,positivefb
44,17,5,1.4211836001,1,883,1.104411598378312e-05,hard,positivefb
45,17,5,0.8403528999,1,305,-3.206963077022468e-07,easy,positivefb
46,17,5,0.9528635999,1,754,1.0771356822547174e-05,easy,positivefb
47,17,4,1.1880995,1,438,1.411925639080445e-05,easy,positivefb
48,17,4,1.7368055,1,1587,1.150198479833704e-05,hard,positivefb
49,17,4,0.977774,1,1353,7.827266279416917e-07,medium,positivefb
50,17,5,1.4576907,1,364,1.019475757147932e-05,easy,positivefb
51,17,5,0.8535569999,1,1519,-8.421090724475325e-07,easy,positivefb
52,17,4,0.9359853,0,1006,1.28265293418474e-05,easy,positivefb
53,17,5,0.8519092002,1,472,9.132640151966754e-06,easy,positivefb
54,17,5,1.2210245,1,583,9.259904915775008e-07,medium,positivefb
55,17,5,0.9766287999,1,955,-1.185105986015234e-06,easy,positivefb
56,17,4,1.2867962001,1,629,1.513273986912475e-05,hard,positivefb
57,17,4,0.7133972,0,1043,1.0015348627300224e-05,medium,positivefb
58,17,5,0.8343533,1,427,1.045408246586431e-05,medium,positivefb
59,17,6,0.8848311,1,473,7.283681268947207e-06,easy,positivefb
60,17,5,1.5175445999,0,332,-7.64139441000401e-06,hard,positivefb
61,17,6,0.9214808,1,562,1.2193527611481943e-05,medium,positivefb
62,17,4,1.6632930001,1,1723,6.23536631196248e-06,hard,positivefb
63,17,4,1.4365703,0,671,-4.082778786498877e-06,medium,positivefb
64,17,5,0.9202095999,1,1682,4.912413775690401e-07,easy,positivefb
65,17,5,1.4103196999,1,537,1.8968709822452053e-05,medium,positivefb
66,17,5,0.9524017998,1,994,3.679445069588443e-06,easy,positivefb
67,17,4,1.1346849999,1,912,5.55271746987284e-06,medium,positivefb
68,17,5,0.8952007,1,363,1.1465479066050973e-05,easy,positivefb
69,17,4,1.1947885999,1,592,-1.2694785819757159e-06,medium,positivefb
70,17,5,0.7175359998,1,380,-6.352534741276472e-06,hard,positivefb
71,17,4,1.2239546,0,1777,7.1039163547819746e-06,hard,positivefb
72,17,4,1.2804576999,1,426,-8.762662740076448e-06,medium,positivefb
73,17,4,0.8020164999,1,1082,-3.0384328055814785e-07,hard,positivefb
74,17,4,1.4912256,1,1159,1.239291972500647e-05,easy,positivefb
75,17,4,0.9176370001,1,439,8.740883926293549e-06,easy,positivefb
76,17,4,1.0869282,1,573,-8.279017767064089e-07,medium,positivefb
77,17,4,1.0350519998,1,736,1.2847329653045498e-05,easy,positivefb
78,17,4,1.5402817,1,615,1.5583050102032376e-05,hard,positivefb
79,17,4,1.0919307999,0,278,-5.040519920681901e-07,hard,positivefb
80,17,4,1.0478253001,0,484,-3.3690804575684893e-06,medium,positivefb
81,17,5,0.7730526,1,533,8.551607668209593e-06,medium,positivefb
82,17,5,0.7414469998,1,323,5.778046637383275e-07,hard,positivefb
83,17,4,0.7655341001,1,812,1.107795496149954e-05,easy,positivefb
84,17,5,0.7796682999,1,304,4.1467146022488e-06,hard,positivefb
85,17,5,1.2869201999,1,659,-2.3763022437117294e-06,easy,positivefb
86,17,5,1.1147902999,1,735,9.939689718273188e-06,hard,positivefb
87,17,5,0.8064905,1,612,-9.228240799702613e-06,easy,positivefb
88,17,5,1.0803044001,1,1220,-4.024599286205846e-06,easy,positivefb
89,17,5,0.8583861999,1,403,1.1706450901137367e-05,easy,positivefb
90,17,6,0.9706979999,1,543,8.581179111755643e-06,easy,positivefb
91,17,5,1.8729779001,1,690,5.477706994224889e-06,hard,positivefb
92,17,4,1.6373858999,1,343,1.6175289770283113e-05,hard,positivefb
93,17,5,0.8302651001,0,636,1.1952942029403138e-05,hard,positivefb
94,17,5,0.8908432999,1,289,3.1544984557068728e-06,medium,positivefb
95,17,4,0.9363013001,0,1443,-1.4448440149636985e-06,easy,positivefb
96,17,4,1.9137063001,1,833,8.264744517162052e-06,hard,positivefb
97,17,5,0.7833783999,1,476,5.974080650980617e-06,medium,positivefb
98,17,5,0.8143521,1,508,8.588089828952447e-07,easy,positivefb
99,17,5,0.7318906002,1,653,1.3736766650487275e-05,hard,positivefb
100,17,6,0.7076704002,1,393,4.840471959403806e-06,easy,positivefb
101,17,4,1.2351637001,1,819,-1.787582213797616e-06,hard,positivefb
102,17,4,1.4236334001,0,365,7.479643410093677e-06,hard,positivefb
103,17,5,1.0028176,1,1391,1.225978288564383e-05,easy,positivefb
104,17,5,1.9672582,1,748,6.827918213660278e-06,easy,positivefb
105,17,5,1.0263175,1,648,1.440905388001309e-06,medium,positivefb
106,17,5,1.7918722001,1,378,4.2995270859232235e-06,medium,positivefb
107,17,6,0.9735234,1,1134,-1.2802729245372168e-06,easy,positivefb
108,17,6,0.9748152001,1,588,-5.082654337194677e-06,easy,positivefb
109,17,5,1.1707535,1,519,1.0108231263078609e-06,easy,positivefb
110,17,5,1.2168695,1,378,7.2700484154533835e-06,hard,positivefb
111,17,5,1.3657302998,0,260,5.311515634153571e-06,hard,positivefb
112,17,2,1.2300152001,0,2620,4.62444173523777e-06,medium,positivefb
113,17,4,0.9707760999,1,1616,5.265886094151528e-06,medium,positivefb
114,17,4,1.4419133002,1,938,4.000673758339232e-06,easy,positivefb
115,17,4,1.8210476001,1,1214,-2.564348944620834e-06,medium,positivefb
116,17,4,1.6530269,1,1991,-5.406296740963756e-07,easy,positivefb
117,17,4,1.2334687,1,585,-2.497174779578707e-06,medium,positivefb
118,17,5,1.1267694,0,324,-1.0104124066487995e-06,medium,positivefb
119,17,5,1.3671116,1,739,4.6430006302971944e-06,hard,positivefb
120,17,4,1.451507,1,1023,2.2139882161917e-06,medium,positivefb
121,17,4,1.9919773,0,627,1.1238451853212187e-06,hard,positivefb
122,17,5,0.939127,1,400,1.0729403144858845e-05,easy,positivefb
123,17,4,0.9758293999,1,492,-4.203373401229883e-06,easy,positivefb
124,17,4,1.2855539001,1,968,4.903596254924155e-06,hard,positivefb
125,17,5,1.1222969,1,327,5.225719730284814e-06,medium,positivefb
126,17,4,1.3140352,1,793,1.5128925543765843e-05,medium,positivefb
127,17,5,1.0165372002,1,612,7.987094244105614e-06,easy,positivefb
128,17,5,0.7970693999,1,430,-1.1956852361177096e-05,medium,positivefb
129,17,5,0.7443272001,1,242,-3.384011492076639e-06,medium,positivefb
130,17,5,0.8989563999,1,231,-8.344277145521598e-06,medium,positivefb
131,17,5,0.8755764998,1,590,2.247664400618211e-05,easy,positivefb
132,17,5,1.0663038001,0,319,5.66224423197861e-06,medium,positivefb
133,17,5,0.7384818001,1,472,1.8849821965943683e-06,easy,positivefb
134,17,4,0.9366756999,1,866,3.4786935304618356e-07,hard,positivefb
135,17,4,1.3258444001,1,685,1.5599142100872198e-05,medium,positivefb
136,17,5,0.9553717,1,303,4.9976161252635155e-06,hard,positivefb
137,17,5,0.9716071,1,287,-4.857498425491174e-06,easy,positivefb
138,17,4,1.8258531999,0,653,-5.03169551778217e-06,hard,positivefb
139,17,5,0.8872939001,1,323,1.8845838036057926e-06,hard,positivefb
140,17,5,1.0363520999,1,351,1.9326049812659972e-05,hard,positivefb
141,17,5,0.7066621,1,280,7.44695648542286e-07,medium,positivefb
142,17,4,0.8129,1,335,7.489073939787985e-06,hard,positivefb
143,17,5,0.7386767999,1,263,5.351394412163234e-06,easy,positivefb
144,17,4,1.1441800999,0,290,-8.058240774686387e-07,medium,positivefb
145,17,4,0.7425693001,1,1456,-4.730852907410936e-06,medium,negativefb
146,17,4,0.9001238998,1,772,9.86181608156881e-06,hard,negativefb
147,17,4,1.3073068,1,1316,-6.4522083283656476e-06,hard,negativefb
148,17,5,1.1130373999,1,342,-3.8897805862808745e-06,hard,negativefb
149,17,5,0.6975302,1,336,1.5150200643909322e-07,medium,negativefb
150,17,4,1.1584129001,1,678,1.4640041855479615e-05,easy,negativefb
151,17,4,1.3472811999,1,1272,4.813339225319763e-06,hard,negativefb
152,17,5,1.0744736001,1,636,2.63316017391034e-06,medium,negativefb
153,17,4,1.2046721,0,1269,8.722721624866056e-06,medium,negativefb
154,17,5,1.2398468,1,933,-3.235558122266335e-07,easy,negativefb
155,17,5,0.8402472001,1,802,-3.429001977145466e-06,easy,negativefb
156,17,5,0.8909006999,1,337,4.2517606103444776e-08,medium,negativefb
157,17,5,1.1209,1,681,7.480143840423253e-06,easy,negativefb
158,17,5,0.8266987999,1,673,2.1450581600517563e-05,hard,negativefb
159,17,5,0.7853941,1,297,-8.276853854113397e-07,easy,negativefb
160,17,4,1.6983334001,1,1304,7.125207529969818e-06,hard,negativefb
161,17,4,0.7707414001,1,392,-2.339577941230924e-06,easy,negativefb
162,17,5,1.2661830999,1,1144,-5.610432513287733e-06,hard,negativefb
163,17,5,0.7120588999,1,242,-5.921646031006865e-06,hard,negativefb
164,17,5,0.7859740001,1,267,4.713821627594901e-06,medium,negativefb
165,17,5,0.6565280999,1,377,7.407634763350151e-06,easy,negativefb
166,17,5,0.6812892,1,418,1.0040595610920997e-05,hard,negativefb
167,17,5,0.7407275999,0,311,-7.187773274398016e-06,medium,negativefb
168,17,5,0.9471080999,1,263,-1.7469495305456583e-06,easy,negativefb
169,17,4,0.6708042999,1,334,1.4889454229741318e-05,easy,negativefb
170,17,5,1.1588852999,1,1045,1.390958496842907e-05,easy,negativefb
171,17,4,1.1632493001,1,320,1.6998658999817036e-05,hard,negativefb
172,17,4,0.7894154,1,262,4.446594403999959e-06,easy,negativefb
173,17,4,0.9627186998,0,1048,3.326891453431161e-06,hard,negativefb
174,17,5,0.8596684001,1,863,-9.172861263096844e-06,easy,negativefb
175,17,4,1.5287580001,0,803,-4.2767859608845685e-06,hard,negativefb
176,17,5,0.5925332,1,459,6.010567417958873e-06,easy,negativefb
177,17,5,0.5193002999,1,341,3.503943226941337e-05,medium,negativefb
178,17,5,0.9321837001,1,422,-3.3279395174870575e-06,easy,negativefb
179,17,5,0.5879154999,1,337,8.644391514372609e-07,easy,negativefb
180,17,5,0.6228612,1,349,5.341838115716276e-06,hard,negativefb
181,17,3,0.7429996999,1,1173,1.1537953807479746e-05,medium,negativefb
182,17,4,0.7873780001,0,632,-2.9262711894487786e-06,medium,negativefb
183,17,5,0.9106405999,0,623,-1.7848862899818754e-05,easy,negativefb
184,17,5,0.6186649001,1,224,3.171968900133677e-06,hard,negativefb
185,17,5,0.9670289,1,307,2.1746835733112626e-05,hard,negativefb
186,17,5,0.8181039998,1,217,-1.8647146288342561e-06,easy,negativefb
187,17,5,0.8767018002,1,399,-6.282020554596553e-06,hard,negativefb
188,17,5,0.7409581,0,262,3.7369446450393796e-06,hard,negativefb
189,17,4,0.8150074,0,493,2.249922978404735e-05,medium,negativefb
190,17,5,0.7636560001,1,333,-9.528942846010283e-06,medium,negativefb
191,17,5,0.8417499,1,642,-6.592817796781574e-07,medium,negativefb
192,17,4,0.9173166,1,392,5.6932639326094065e-06,medium,negativefb
193,17,5,1.1991289002,1,491,-4.34680669572507e-07,medium,negativefb
194,17,5,0.7629345001,1,286,1.5659852093248057e-06,medium,negativefb
195,17,5,0.7434390001,1,244,6.569473596483377e-06,easy,negativefb
196,17,5,1.1426347999,1,304,5.312481877097414e-09,easy,negativefb
197,17,5,1.2697862999,1,324,4.704748514262874e-06,medium,negativefb
198,17,5,0.8886728,1,327,-6.107771160689988e-07,easy,negativefb
199,17,5,1.2856073,1,313,4.791290787808868e-06,hard,negativefb
200,17,5,0.9785493999,0,360,-3.6071524462087102e-06,hard,negativefb
