,sub,cj,rt,cor,rtcj,average_PE_amplitude,difficulty,condition
0,18,5,1.6193545,1,4403,1.2404325390738647e-06,medium,negativefb
1,18,3,1.8491734001,0,3964,-2.4745059194016323e-06,medium,negativefb
2,18,4,1.4612265001,1,2518,-7.105177194327477e-06,hard,negativefb
3,18,6,0.9805266999,1,454,2.8584117329111654e-06,medium,negativefb
4,18,4,1.7952404998,0,1399,-1.250683557864548e-05,medium,negativefb
5,18,4,1.292839,1,1231,5.857199108298011e-07,easy,negativefb
6,18,5,1.9116567001,1,420,-3.1607937213743863e-06,hard,negativefb
7,18,6,0.7280483001,1,356,6.13815415453211e-06,hard,negativefb
8,18,6,0.6848150999,1,318,4.8775846919588745e-06,medium,negativefb
9,18,5,1.5405214,1,391,6.259781491538148e-06,medium,negativefb
10,18,2,1.0569558998,0,825,-3.0667534683955227e-07,medium,negativefb
11,18,4,1.2019944,1,730,1.6521360670713628e-06,hard,negativefb
12,18,4,1.1931157999,0,354,5.248098863155574e-06,hard,negativefb
13,18,2,1.5062243,1,858,8.745738506510993e-06,hard,negativefb
14,18,6,0.7985547001,1,411,3.3680316540726543e-06,easy,negativefb
15,18,5,0.9818840001,1,486,3.1753838985367334e-06,easy,negativefb
16,18,5,1.3566228999,1,575,-1.0942843274989205e-06,easy,negativefb
17,18,4,1.8822616001,1,848,1.9954951248972887e-05,medium,negativefb
18,18,5,0.7266495998,1,324,3.879572133658513e-06,hard,negativefb
19,18,6,0.7173332998,1,269,9.808612855848033e-07,medium,negativefb
20,18,5,0.9547945999,0,559,8.755393007689704e-06,medium,negativefb
21,18,6,0.7492405998,1,238,1.5213325291718415e-06,easy,negativefb
22,18,6,0.6866812999,1,299,-4.644982291904984e-06,easy,negativefb
23,18,4,1.2778254,0,829,1.672313637907522e-06,hard,negativefb
24,18,6,0.6758635,1,230,3.832870754028462e-06,easy,negativefb
25,18,5,0.9443919999,1,442,4.3842377545055625e-06,hard,negativefb
26,18,3,1.3725899998,1,495,9.690615927187986e-06,hard,negativefb
27,18,5,1.1142444999,1,785,7.30097235693062e-06,easy,negativefb
28,18,5,1.0584531,1,473,4.715307948415727e-07,easy,negativefb
29,18,4,0.8521750001,0,1287,6.0296048186084315e-06,hard,negativefb
30,18,6,0.7066589999,1,392,4.3236708751741094e-07,easy,negativefb
31,18,5,1.0142921,1,534,-4.004642754434388e-06,hard,negativefb
32,18,4,1.5578598001,0,692,5.545760345648864e-06,easy,negativefb
33,18,5,1.0158084,1,898,-3.9537716127895026e-06,hard,negativefb
34,18,6,0.7110580001,1,277,6.939686628950271e-06,medium,negativefb
35,18,6,1.1335233001,1,239,4.2851795569243595e-06,easy,negativefb
36,18,6,1.8403196002,1,351,2.582793650764475e-07,hard,negativefb
37,18,6,0.7764073,1,229,1.380228942929544e-06,hard,negativefb
38,18,5,0.8802635001,0,428,-1.9618741246316333e-06,medium,negativefb
39,18,5,1.4816989999,1,307,1.2626781408089056e-05,easy,negativefb
40,18,6,0.8351473,1,199,1.9723018787763544e-06,medium,negativefb
41,18,6,0.7435262001,1,197,1.7916341332681738e-06,easy,negativefb
42,18,6,0.6120916,1,184,2.5420444175976788e-06,medium,negativefb
43,18,5,0.8921661,1,270,8.178034820656263e-06,medium,negativefb
44,18,2,1.1881836001,1,344,1.1510542659465503e-05,hard,negativefb
45,18,5,1.0632467999,1,707,-1.4272722631948567e-06,easy,negativefb
46,18,5,0.8017736999,1,314,3.62803485175808e-06,easy,negativefb
47,18,4,0.9430571001,1,523,3.905474423454759e-06,medium,negativefb
48,18,3,1.2541834002,1,390,-4.207784193213983e-07,hard,negativefb
49,18,3,1.2216909002,1,498,2.9598027785629857e-06,medium,negativefb
50,18,6,0.6781164,1,197,-1.278425337705679e-06,easy,negativefb
51,18,6,0.8630626001,1,190,2.463271835379537e-06,medium,negativefb
