,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,2,5,1.0465598,1,6529,3.034375599310791e-05,hard,negativefb,-8.003912774292781e-06
1,2,6,1.1387978,1,2769,3.4631602725137183e-06,easy,negativefb,-3.41203771530863e-06
2,2,6,1.0089666,0,2029,6.692483600365201e-06,medium,negativefb,-6.414084193069934e-06
3,2,6,0.900751,1,1002,4.681846550083458e-06,hard,negativefb,-3.6899362027312557e-06
4,2,5,1.2112139,1,1749,6.940809127588401e-06,medium,negativefb,-4.016514875868725e-06
5,2,6,0.9168747,1,685,6.494549198606597e-06,easy,negativefb,-2.905137841917146e-06
6,2,6,0.5306903,1,895,7.247736510189787e-06,easy,negativefb,1.2732054076228394e-06
7,2,6,0.9336861,1,779,1.3487252123975578e-05,hard,negativefb,-3.5577032360622346e-06
8,2,5,0.7511661,1,2161,1.0597964653412104e-05,easy,negativefb,-5.6250234519243035e-06
9,2,6,0.5520666,1,966,3.958777220148909e-06,easy,negativefb,8.38157620106393e-06
10,2,6,0.4938589,1,561,7.913763031534067e-06,easy,negativefb,-2.449418646298555e-06
11,2,6,0.6169263,1,531,-1.79356599676401e-07,medium,negativefb,8.813265467281563e-06
12,2,6,0.6811753,1,471,7.751839993734116e-06,easy,negativefb,-1.407443449978848e-06
13,2,5,1.2353394,1,2270,2.1557276391012908e-05,medium,negativefb,-2.1820986661512617e-06
14,2,6,1.1731704,1,744,2.16296256614645e-05,medium,negativefb,-2.4176842552132595e-06
15,2,1,0.4711073,0,1609,9.121116224957333e-06,medium,negativefb,-9.028808570604705e-06
16,2,6,1.187808,1,637,6.754251913923407e-06,medium,negativefb,-4.321560246487252e-06
17,2,6,1.094005,1,411,1.6307393598608724e-05,medium,negativefb,-9.695001069483616e-06
18,2,6,1.4530775,1,613,1.5905981317614192e-05,hard,negativefb,-9.525682590787893e-06
19,2,6,1.2022169,1,462,5.2956707528964986e-06,easy,negativefb,-4.60503373368981e-06
20,2,6,0.8994969,1,459,7.785451708759543e-06,easy,negativefb,-2.140235412877408e-06
21,2,6,1.0193251,1,435,-1.7330875887232722e-06,medium,negativefb,6.099097048869751e-06
22,2,6,1.5069677,1,601,3.428988365258365e-06,hard,negativefb,-1.0082853316963404e-05
