,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,23,6,5.2608609998,1,1261,2.310018212983431e-06,medium,hard,1.3999519414761437e-06
1,23,5,3.7075968001,1,1855,3.1910685268455564e-06,hard,hard,-4.5392518469970103e-07
2,23,6,2.0522221001,0,1030,8.234686123707208e-06,hard,hard,2.855866011013948e-06
3,23,3,3.9770022,0,1713,-4.8107274772282694e-06,medium,hard,1.937939421229658e-06
4,23,6,2.2773458001,1,1589,1.4907334790144618e-06,easy,hard,-8.294781696166617e-07
5,23,6,1.6430915,1,1011,5.986980600872325e-07,easy,hard,1.3682611739524114e-05
6,23,6,1.5169542001,1,753,2.9143985106482562e-06,easy,hard,-5.465360175390243e-07
7,23,5,2.1894269001,0,1710,3.7467933915125944e-06,hard,hard,7.893823537910216e-07
8,23,6,1.6656462001,1,522,3.1023957224263503e-06,easy,hard,5.759291893168429e-06
9,23,6,1.3027740999,1,644,-1.4919418524241467e-06,hard,hard,8.510324277251711e-06
10,23,2,2.0148159,1,1453,-3.3673378578324266e-06,hard,hard,-5.770080322733523e-06
11,23,3,2.7061877002,1,2505,-3.2967891776239363e-06,hard,hard,9.069256655475556e-06
12,23,6,1.3014167,1,617,2.291533726658583e-06,easy,hard,1.228492106986113e-05
13,23,6,1.3281706001,1,894,2.7620880388842073e-06,medium,hard,8.26218443737858e-06
14,23,6,2.0026650999,1,494,1.2471856978287231e-05,easy,hard,-6.263643172387066e-06
15,23,6,1.3481608999,1,647,-3.3121053495417515e-06,medium,hard,9.540899011365403e-06
16,23,6,1.0608828999,0,742,-4.765002731311556e-06,hard,hard,9.831126004587762e-06
17,23,6,1.0380267,1,610,2.29127868626751e-06,easy,hard,6.517508328509274e-06
18,23,6,0.9158604001,1,647,-1.7018294786322766e-06,easy,hard,3.238029181016511e-06
19,23,4,1.9317925998,1,1011,-4.331190866172679e-06,hard,hard,5.09452462840757e-06
20,23,5,2.1809663,1,1302,-4.390032348727666e-06,hard,hard,-1.8653767033110028e-06
21,23,6,1.0897434,1,410,1.0284503854888837e-05,medium,hard,4.4776138772384935e-06
22,23,5,1.4832440999,1,850,3.0014575018232346e-07,easy,hard,-4.362740866888498e-06
23,23,5,2.0262260002,1,1025,5.06587395257808e-06,hard,hard,3.6399688211512637e-06
24,23,6,1.2014138999,1,587,3.2728912174394642e-06,hard,hard,-9.377354910140464e-07
25,23,3,2.3050198001,0,1578,4.4588320466441245e-06,hard,hard,-7.3786442436039375e-06
26,23,5,1.965139,1,928,-1.0560528627638237e-05,easy,hard,8.397343616531367e-06
27,23,6,1.1816171999,1,429,3.882955186490991e-06,hard,hard,-3.8098558678865143e-06
28,23,6,1.7281942,1,779,8.491304173007803e-06,medium,hard,-1.6628904600486497e-06
29,23,6,0.8817761,1,508,6.756793317845235e-06,easy,hard,1.0329691256481357e-05
30,23,6,1.3013522001,1,567,1.0683283300765857e-05,medium,hard,-1.975251774204097e-06
31,23,6,0.8378252999,1,545,4.854854783097256e-06,medium,hard,3.159102115230278e-06
32,23,5,1.5664392,1,1855,6.002575719663686e-07,medium,hard,-2.461460060536891e-06
33,23,6,1.0059042999,1,434,-9.032411467359476e-07,medium,hard,1.8284200670692868e-05
34,23,3,1.5717882998,1,1768,-1.0737981352210549e-05,medium,hard,6.1788517563157105e-06
35,23,6,0.7914483,1,436,6.538059374719382e-06,medium,hard,9.31005756319022e-06
36,23,5,1.4890117999,1,763,5.718364902291517e-06,medium,hard,-5.0382636799626705e-06
37,23,5,3.1112077001,0,562,-1.4157564942937537e-05,hard,hard,-9.98162727872747e-07
38,23,4,2.5312842,1,505,-5.495105007139639e-06,medium,hard,7.562404842189349e-06
39,23,6,0.9914436,1,480,-3.879607468529859e-06,easy,hard,2.6265043149842717e-06
40,23,5,1.6942702001,1,1643,4.5340640657976e-06,easy,hard,-1.894221345799284e-06
41,23,6,1.8798203,1,322,-4.722693047926664e-06,medium,hard,5.772836424731621e-06
42,23,5,1.5389874,1,650,-3.3662885963298575e-06,easy,hard,5.484379138962348e-06
43,23,6,0.8906697999,1,544,4.4563473937136274e-07,easy,hard,-2.4995057892025862e-06
44,23,6,1.1325482,1,528,8.473498104342851e-07,hard,hard,9.08207412136537e-06
45,23,6,1.1682014,1,782,-6.444247083431199e-06,easy,hard,3.421764059132875e-06
46,23,6,0.8770518999,1,638,3.2622677651306514e-06,hard,hard,4.008763921113156e-06
47,23,6,0.6861261001,1,541,4.013334106883802e-06,hard,hard,-6.108333634342167e-06
48,23,5,1.1499130002,1,605,4.0955262025527855e-06,hard,hard,-1.7291119222245397e-06
49,23,6,0.7570343001,1,439,-4.5233417837281974e-07,medium,hard,1.0626403192510972e-05
50,23,6,0.7520446002,1,284,-7.355187108956672e-07,medium,hard,6.514035766541295e-06
51,23,6,0.7737083,1,358,-5.865447667338063e-07,easy,hard,-7.712169455231651e-06
52,23,5,2.130565,1,1859,-9.455936039139948e-06,medium,hard,2.769564000233043e-06
53,23,6,0.7621319001,1,1004,-5.079562324973451e-06,easy,hard,2.192574388284026e-06
54,23,6,0.8841999001,1,453,7.938587920862689e-06,medium,hard,1.0903776296891875e-07
55,23,4,1.2926313998,1,577,-5.229358196545677e-06,medium,hard,-6.627990350584744e-08
56,23,5,2.0302896998,1,412,-1.0872291006610714e-05,hard,hard,7.330507938652003e-06
57,23,2,1.3626029,0,2456,2.5311975845739073e-06,hard,hard,-1.6518278080029082e-06
58,23,6,1.0674635,1,430,6.670830829158296e-06,easy,hard,2.896348342893139e-06
59,23,5,1.162301,0,464,1.0899465207080286e-06,hard,hard,3.672145484105286e-06
60,23,6,0.9585380999,1,283,2.137450717334598e-06,easy,hard,-4.241360150551945e-06
61,23,6,0.9251483001,1,686,1.4312684291603492e-07,medium,hard,-2.6788468554366966e-06
62,23,6,0.7863296999,1,344,-1.6484851343090104e-06,medium,hard,4.7474641310721e-06
63,23,5,0.9632977999,1,630,6.422161067372887e-06,medium,hard,1.8128020369957918e-06
64,23,3,1.5439661001,1,979,8.608915268996652e-06,easy,hard,2.1489734765856341e-07
65,23,1,2.1290167,1,1353,1.8890935456364564e-07,hard,hard,2.162129377136195e-06
66,23,6,0.8554608999,1,339,-3.76654047132972e-06,easy,hard,7.0846587470710115e-06
67,23,4,2.0521529999,1,391,1.4390419355818825e-06,easy,hard,1.7627311795620974e-06
68,23,3,2.0835634,1,663,2.694330853923761e-06,easy,hard,-5.39419230633493e-06
69,23,6,0.7281204001,1,690,2.4174576261091944e-06,easy,hard,4.587848987332035e-06
70,23,6,0.9847550001,1,418,-2.7138502412672264e-06,medium,hard,1.3678418277396146e-06
71,23,6,1.2067604,1,628,2.6655517830588727e-06,easy,hard,1.5238606096632514e-06
72,23,6,0.8802268999,1,347,-6.818211804680941e-07,medium,hard,8.254301701770216e-07
73,23,6,0.9120853001,1,427,-1.7337228772150105e-06,medium,hard,6.758635062755518e-07
74,23,4,1.347849,1,632,1.477863065837323e-07,hard,hard,6.032906173499002e-06
75,23,5,0.8451395,1,543,-8.122093764682792e-06,medium,hard,1.0683087340014572e-05
76,23,6,0.7827971,1,381,1.059698502622367e-05,easy,hard,-1.0701583661700356e-06
77,23,6,0.7269564001,1,292,-1.4745517501078478e-06,hard,hard,5.805328413092637e-06
78,23,5,2.4490330999,1,537,3.218531391253339e-07,easy,hard,-2.1662872519536215e-07
79,23,5,1.8715028001,1,588,-4.2979736684025e-06,easy,hard,4.583086726089011e-06
