,sub,cj,rt,cor,rtcj,average_P3_amplitude,difficulty,condition,frontal_P3_amplitude
0,5,4,1.4034064,1,9181,-1.0492685539302281e-06,easy,easy,-9.721992152603103e-06
1,5,3,1.8421251,1,5110,3.6158823468517595e-06,hard,easy,1.2993176215027708e-05
2,5,6,1.6544373,1,1130,-1.8467768933580577e-06,medium,easy,-2.4333660034526975e-05
3,5,6,1.6284369,1,974,1.0199352628187545e-05,easy,easy,-1.7045071521839124e-05
4,5,5,1.6072463,0,1465,3.193079708005391e-06,medium,easy,-7.58540045247501e-06
5,5,5,1.3454346,1,860,8.073228119140667e-06,hard,easy,-1.2645985100489832e-05
6,5,6,1.4534036,1,788,1.1370535291421397e-05,easy,easy,-5.193576431675497e-06
7,5,5,3.3406395,1,1025,-1.1196942131870278e-06,hard,easy,-2.689270697639965e-06
8,5,6,1.5001554,1,672,7.705501220036226e-06,easy,easy,-1.7450790477319015e-05
9,5,6,0.907465,1,724,9.374950549558872e-06,medium,easy,-3.305815776278033e-06
10,5,5,1.6233806,1,792,4.241900204267945e-06,hard,easy,-2.047300413705763e-06
11,5,5,1.4367914,1,915,2.0969217755790916e-05,medium,easy,-7.603862620648237e-06
12,5,5,1.5326213,1,788,7.859697230510227e-06,hard,easy,-6.763930118810817e-06
13,5,6,1.5247447,1,779,1.2710783652481974e-05,medium,easy,-7.107485870331295e-06
14,5,4,1.6844295,0,1035,5.387551191217887e-06,hard,easy,6.7215933178017e-07
15,5,6,1.3616687,1,606,5.225315261532577e-06,easy,easy,2.992212220079564e-06
16,5,4,2.1907569999,0,754,-2.267965136622752e-06,medium,easy,3.460699098578086e-06
17,5,6,1.0121345,1,510,2.5833957301677722e-05,easy,easy,-5.148018436391808e-06
18,5,4,1.7520587,1,855,-5.170614443412592e-06,hard,easy,2.0650292350872264e-05
19,5,4,2.5417405,0,546,1.0524795789902192e-05,hard,easy,-1.6603474304158517e-05
20,5,5,1.4188585,1,2263,2.7924032945539037e-06,medium,easy,-1.9896725449026717e-06
21,5,6,1.1498494,1,482,-1.2172700028376355e-06,easy,easy,-1.0590298663598656e-06
22,5,6,1.3649745,1,746,1.013832386205473e-05,medium,easy,-1.0772613567252528e-05
23,5,6,1.4183625,1,536,2.883548986073192e-06,easy,easy,4.276500789931619e-06
24,5,6,1.3617247,1,527,1.037098640984522e-05,easy,easy,-9.820334072931883e-06
25,5,4,1.6040493,0,749,1.680749376601285e-05,hard,easy,-1.088057221091717e-05
26,5,5,1.2465047,1,769,1.1238313576353983e-05,hard,easy,-9.27929876808795e-06
27,5,6,0.9291528,1,496,7.398032267654715e-06,easy,easy,-2.6407309468506157e-06
28,5,5,1.4481752,0,1061,2.2635131054862372e-05,medium,easy,-8.808614610420076e-06
29,5,3,1.8336627,1,1284,6.516905699270297e-06,hard,easy,-1.054374855692513e-05
30,5,4,2.2285155,1,811,8.873427325438872e-06,medium,easy,-1.2221911447564678e-05
31,5,4,0.9527591,1,712,1.1450616458306667e-06,hard,easy,-8.754654182952577e-07
32,5,5,1.6188138,0,669,6.619490423858958e-06,hard,easy,2.1990535754486468e-06
33,5,6,1.086719,1,507,9.44467390413487e-06,medium,easy,-6.9231796568371e-06
34,5,4,1.7742092,1,755,5.509567180543191e-06,hard,easy,-2.1147965710748345e-06
35,5,5,1.0426991,1,989,8.219022749433936e-06,easy,easy,-5.8428407426834615e-06
36,5,6,0.9744319,1,562,1.1199497521636759e-05,easy,easy,-1.2809892144860183e-05
37,5,6,0.8370796,1,509,4.448270423549006e-06,medium,easy,-4.111100605273864e-06
38,5,6,0.7727379,1,477,-8.764574936680356e-06,easy,easy,9.917387746897703e-07
39,5,5,1.634263,1,492,1.4617382141893437e-05,easy,easy,-1.6114759059166476e-05
40,5,6,0.7966558,1,565,4.041796805590813e-06,medium,easy,-4.515952208667254e-06
41,5,6,0.7336572,1,484,1.2944655387857481e-05,hard,easy,-9.693005588756314e-06
42,5,4,2.1465251,1,542,1.9582789475876237e-05,hard,easy,-4.951505559282045e-06
43,5,5,0.8728658,1,553,5.1066607339664e-06,medium,easy,-4.526079838142959e-06
44,5,6,0.7095801,1,394,8.638037092906469e-06,hard,easy,-5.362082760423098e-06
45,5,6,1.0044884,1,405,-4.7898941167353575e-06,medium,easy,-6.499299014189557e-06
46,5,6,0.7914235,1,409,2.239729492011493e-05,easy,easy,-1.5805139267121234e-05
47,5,6,0.8724485,1,408,1.2239457149617412e-05,hard,easy,-7.505969121318165e-06
48,5,4,1.0020029,0,657,-2.8228094228834808e-06,medium,easy,-5.2118212453740715e-06
49,5,6,0.8338491,1,411,8.606582727401877e-06,easy,easy,-4.913517733189097e-06
50,5,5,1.4864122,1,1282,1.9796067650647235e-05,medium,easy,-1.1270358380130372e-05
51,5,4,1.2131599,1,482,2.7541220966433145e-06,easy,easy,-8.714621712886405e-06
52,5,4,1.601545,1,736,4.873504432177727e-06,medium,easy,-1.937590188509229e-06
53,5,4,1.3125532,1,689,7.079677669806535e-06,easy,easy,9.498125163010704e-06
54,5,6,0.6916731,1,429,8.862196759209153e-06,hard,easy,-1.211165630658397e-05
55,5,6,0.7323843,1,403,8.44448098492024e-06,easy,easy,-7.299327515758932e-06
56,5,6,0.7304461,1,375,4.408032366121772e-06,easy,easy,-6.320177648023827e-07
57,5,6,1.4672615,1,668,1.1718478246272317e-05,hard,easy,-1.6688824113698704e-05
